geography_id,region_name,sub_region_name,country_name,country_code,currency_code,currency_name,currency_symbol,timezone,created_at,created_by
1,North America,Northern America,United States,USA,USD,US Dollar,$,Europe/Minsk,2025-01-03 05:39:29,david.cabrera119@dataops.example.com
2,North America,Northern America,Canada,CAN,CAD,Canadian Dollar,C$,America/Guatemala,2025-01-10 10:34:20,brandi.carter038@dataops.example.com
3,Europe,Northern Europe,United Kingdom,GBR,GBP,Pound Sterling,£,Europe/Malta,2025-01-15 09:51:37,kristen.bailey110@analytics.example.com
4,Europe,Western Europe,Germany,DEU,EUR,Euro,€,Europe/Vilnius,2025-01-28 18:45:28,michael.berger060@platform.example.com
5,Europe,Western Europe,France,FRA,EUR,Euro,€,Asia/Rangoon,2025-01-28 15:25:14,patrick.gonzalez035@dataops.example.com
6,Europe,Southern Europe,Spain,ESP,EUR,Euro,€,Asia/Tbilisi,2025-01-10 16:00:13,katelyn.pitts017@commerce.example.com
7,Europe,Southern Europe,Italy,ITA,EUR,Euro,€,Pacific/Truk,2025-01-05 04:30:48,renee.harvey080@dataops.example.com
8,Europe,Western Europe,Netherlands,NLD,EUR,Euro,€,Europe/Chisinau,2025-01-17 05:43:17,adam.henson113@dataops.example.com
9,Oceania,Australia and New Zealand,Australia,AUS,AUD,Australian Dollar,A$,Asia/Riyadh,2025-01-20 04:23:22,jeffery.miller012@commerce.example.com
10,Asia,Eastern Asia,Japan,JPN,JPY,Japanese Yen,¥,Atlantic/Cape_Verde,2025-01-13 18:22:55,mary.jordan048@analytics.example.com
11,Asia,South-eastern Asia,Singapore,SGP,SGD,Singapore Dollar,S$,Africa/Kigali,2025-01-02 03:23:03,victor.palmer071@platform.example.com
12,Asia,Southern Asia,India,IND,INR,Indian Rupee,₹,Africa/Douala,2025-01-29 23:17:26,katelyn.pitts017@commerce.example.com
13,Asia,Western Asia,United Arab Emirates,ARE,AED,UAE Dirham,د.إ,Pacific/Apia,2025-01-12 13:06:50,jimmy.washington028@commerce.example.com
14,South America,South America,Brazil,BRA,BRL,Brazilian Real,R$,America/El_Salvador,2025-01-29 14:59:17,stephen.jordan063@commerce.example.com
15,North America,Central America,Mexico,MEX,MXN,Mexican Peso,MX$,Africa/Nouakchott,2025-01-05 23:12:19,yesenia.arnold040@platform.example.com
