currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2024-11-29 18:59:48,linda.daniels047@dataops.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2024-11-11 02:50:03,andrew.ellis102@analytics.example.com
GBP,Pound Sterling,£,2,FIAT,true,2024-11-04 16:30:37,joann.clark089@commerce.example.com
EUR,Euro,€,2,FIAT,true,2024-11-07 13:04:26,juan.simmons120@platform.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2024-11-27 14:07:19,brittany.rose019@commerce.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2024-11-20 09:49:46,andrea.cummings039@platform.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2024-11-07 04:43:20,kimberly.harmon088@commerce.example.com
INR,Indian Rupee,₹,2,FIAT,true,2024-11-29 22:50:09,dominic.hodges075@platform.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2024-11-19 22:54:24,grace.gonzales099@dataops.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2024-11-22 10:44:44,benjamin.brooks117@dataops.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2024-11-17 05:16:34,renee.harvey080@dataops.example.com
