currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2024-07-21 22:46:45,timothy.cannon081@analytics.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2024-07-10 02:53:50,jennifer.yu037@dataops.example.com
GBP,Pound Sterling,£,2,FIAT,true,2024-07-14 22:32:16,kevin.mathews014@analytics.example.com
EUR,Euro,€,2,FIAT,true,2024-07-06 17:15:42,diana.williams116@analytics.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2024-07-25 11:13:58,megan.cunningham013@commerce.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2024-07-19 15:11:30,christine.carter112@commerce.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2024-07-13 01:39:34,brian.taylor114@analytics.example.com
INR,Indian Rupee,₹,2,FIAT,true,2024-07-02 18:20:57,brian.taylor114@analytics.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2024-07-01 15:06:23,david.cabrera119@dataops.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2024-07-26 02:29:27,juan.simmons120@platform.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2024-07-17 23:36:34,megan.cunningham013@commerce.example.com
