event_record_id,event_id,event_timestamp,session_id,customer_id,product_id,order_id,event_name,event_category,page_name,page_url,referrer_url,search_query,product_position,quantity,unit_price_local,event_value_local,local_currency,country_name,country_code,region_name,device_type,platform,operating_system,browser,traffic_source,traffic_medium,campaign_id,created_at,created_by
,EVT-202201-000000000000,2022-01-24 19:49:59,SES-202201-0000014099,CUST-0000507375,,,page_view,engagement,Home,https://shop.example.com/checkout,https://google.com,,,0,0,0,AED,United Arab Emirates,ARE,Asia,Laptop,iOS,Linux,Samsung Internet,Instagram,organic,CAMP-2022-0036,2022-01-24 19:49:59,joseph.johnson049@dataops.example.com
,EVT-202201-000000000001,2022-01-21 19:59:09,SES-202201-0000022278,CUST-0000502512,,,page_view,engagement,Product,https://shop.example.com/cart,https://bing.com,,,0,0,0,BRL,Brazil,BRA,South America,Mobile,Mobile Web,ChromeOS,Firefox,TikTok,email,,2022-01-21 19:59:09,timothy.cannon081@analytics.example.com
,EVT-202201-000000000002,2022-01-28 01:39:53,SES-202201-0000018376,CUST-0000504757,PROD-0000268725,,checkout_start,commerce,Checkout,https://shop.example.com/product,https://bing.com,,12,5,765.28,3826.4,EUR,Netherlands,NLD,Europe,Mobile,Android,ChromeOS,Chrome,Email,affiliate,,2022-01-28 01:39:53,tiffany.freeman101@analytics.example.com
,EVT-202201-000000000003,2022-01-07 11:42:26,SES-202201-0000027024,CUST-0000500948,,,page_view,engagement,Home,https://shop.example.com/home,https://instagram.com,,,0,0,0,AUD,Australia,AUS,Oceania,Tablet,Android,Windows,Chrome,Instagram,organic,CAMP-2022-0013,2022-01-07 11:42:26,michael.johnson061@platform.example.com
,EVT-202201-000000000004,2022-01-30 15:27:40,SES-202201-0000003869,CUST-0000508016,,,search,engagement,Cart,https://shop.example.com/search,https://bing.com,Lot opportunity.,,0,0,0,AED,United Arab Emirates,ARE,Asia,Desktop,Android,macOS,Samsung Internet,TikTok,direct,,2022-01-30 15:27:40,anita.garcia021@dataops.example.com
,EVT-202201-000000000005,2022-01-29 06:07:32,SES-202201-0000003694,CUST-0000506039,PROD-0000268487,,wishlist_add,engagement,Cart,https://shop.example.com/search,https://instagram.com,,44,1,1008.68,1008.68,JPY,Japan,JPN,Asia,Mobile,Web,ChromeOS,Chrome,Email,referral,,2022-01-29 06:07:32,christine.carter078@commerce.example.com
,EVT-202201-000000000006,2022-01-07 11:16:34,SES-202201-0000001839,CUST-0000500237,PROD-0000270195,,add_to_cart,commerce,Search,https://shop.example.com/product,https://bing.com,,41,1,853.02,853.02,EUR,Germany,DEU,Europe,Mobile,Android,ChromeOS,Firefox,Email,cpc,,2022-01-07 11:16:34,timothy.cannon081@analytics.example.com
,EVT-202201-000000000007,2022-01-01 09:32:16,SES-202201-0000010553,CUST-0000506395,,,page_view,engagement,Checkout,https://shop.example.com/checkout,https://google.com,,,0,0,0,EUR,Italy,ITA,Europe,Mobile,Web,iOS,Samsung Internet,Organic,organic,CAMP-2022-0017,2022-01-01 09:32:16,chelsea.patel065@commerce.example.com
,EVT-202201-000000000008,2022-01-31 23:33:01,SES-202201-0000011189,CUST-0000496028,PROD-0000277351,,product_view,commerce,Checkout,https://shop.example.com/cart,https://facebook.com,,20,3,38.43,115.29,JPY,Japan,JPN,Asia,Desktop,Android,Windows,Safari,YouTube,organic,CAMP-2022-0029,2022-01-31 23:33:01,david.cabrera119@dataops.example.com
,EVT-202201-000000000009,2022-01-02 19:35:57,SES-202201-0000024784,CUST-0000497754,PROD-0000274627,,checkout_start,commerce,Checkout,https://shop.example.com/cart,https://instagram.com,,46,5,523.61,2618.05,CAD,Canada,CAN,North America,Mobile,Android,iOS,Edge,Organic,affiliate,CAMP-2022-0011,2022-01-02 19:35:57,sylvia.diaz107@dataops.example.com
,EVT-202201-000000000010,2022-01-18 14:24:17,SES-202201-0000002286,CUST-0000508148,PROD-0000275821,ORD-202201-0000015503,payment_attempt,commerce,Checkout,https://shop.example.com/checkout,https://facebook.com,,30,5,847.18,4235.9,EUR,France,FRA,Europe,Laptop,iOS,ChromeOS,Firefox,Google,cpc,CAMP-2022-0031,2022-01-18 14:24:17,darren.anderson025@dataops.example.com
,EVT-202201-000000000011,2022-01-11 04:54:15,SES-202201-0000021700,CUST-0000502050,,,search,engagement,Product,https://shop.example.com/product,https://bing.com,Economy current pass.,,0,0,0,BRL,Brazil,BRA,South America,Laptop,iOS,Android,Safari,Facebook,organic,,2022-01-11 04:54:15,james.proctor094@dataops.example.com
,EVT-202201-000000000012,2022-01-25 01:19:59,SES-202201-0000022012,CUST-0000499149,PROD-0000275908,,product_view,commerce,Cart,https://shop.example.com/product,https://google.com,,42,2,272.91,545.82,BRL,Brazil,BRA,South America,Tablet,Mobile Web,macOS,Chrome,Facebook,cpc,CAMP-2022-0003,2022-01-25 01:19:59,katelyn.pitts017@commerce.example.com
,EVT-202201-000000000013,2022-01-04 04:32:26,SES-202201-0000007680,CUST-0000513422,,,page_view,engagement,Checkout,https://shop.example.com/product,https://bing.com,,,0,0,0,EUR,Spain,ESP,Europe,Desktop,Web,macOS,Firefox,Direct,cpc,,2022-01-04 04:32:26,john.mullins109@commerce.example.com
,EVT-202201-000000000014,2022-01-29 11:32:44,SES-202201-0000017038,CUST-0000498096,PROD-0000268844,,remove_from_cart,commerce,Search,https://shop.example.com/product,https://instagram.com,,39,4,680.78,2723.12,EUR,Germany,DEU,Europe,Desktop,Web,Windows,Safari,Google,direct,CAMP-2022-0009,2022-01-29 11:32:44,eric.horton058@analytics.example.com
,EVT-202201-000000000015,2022-01-16 18:56:07,SES-202201-0000001713,CUST-0000512556,PROD-0000267587,,product_view,commerce,Home,https://shop.example.com/product,https://bing.com,,43,1,831.96,831.96,BRL,Brazil,BRA,South America,Desktop,iOS,Linux,Chrome,TikTok,organic,,2022-01-16 18:56:07,stephen.daniels076@commerce.example.com
,EVT-202201-000000000016,2022-01-01 18:19:52,SES-202201-0000026396,CUST-0000504555,,,page_view,engagement,Search,https://shop.example.com/checkout,https://google.com,,,0,0,0,JPY,Japan,JPN,Asia,Laptop,Mobile Web,ChromeOS,Chrome,Facebook,affiliate,,2022-01-01 18:19:52,katelyn.pitts017@commerce.example.com
,EVT-202201-000000000017,2022-01-31 13:03:26,SES-202201-0000008818,CUST-0000508260,PROD-0000276923,,product_view,commerce,Cart,https://shop.example.com/product,https://bing.com,,21,3,324.83,974.49,EUR,Italy,ITA,Europe,Tablet,Mobile Web,macOS,Samsung Internet,TikTok,direct,,2022-01-31 13:03:26,taylor.cunningham023@commerce.example.com
,EVT-202201-000000000018,2022-01-04 20:25:09,SES-202201-0000014035,CUST-0000503411,PROD-0000269760,,review_view,engagement,Home,https://shop.example.com/checkout,https://facebook.com,,30,2,1265.41,2530.82,EUR,Germany,DEU,Europe,Tablet,Android,Linux,Samsung Internet,Email,affiliate,,2022-01-04 20:25:09,michael.berger060@platform.example.com
,EVT-202201-000000000019,2022-01-28 20:59:56,SES-202201-0000000414,CUST-0000499981,PROD-0000267796,,product_view,commerce,Cart,https://shop.example.com/product,https://bing.com,,39,4,1143.7,4574.8,CAD,Canada,CAN,North America,Mobile,Android,Android,Samsung Internet,Affiliate,social,CAMP-2022-0010,2022-01-28 20:59:56,adam.gordon030@commerce.example.com
,EVT-202201-000000000020,2022-01-31 04:28:31,SES-202201-0000018876,CUST-0000504965,PROD-0000276062,,product_view,commerce,Home,https://shop.example.com/cart,https://google.com,,23,5,1312.53,6562.65,EUR,Germany,DEU,Europe,Tablet,Mobile Web,Windows,Samsung Internet,Direct,direct,CAMP-2022-0040,2022-01-31 04:28:31,megan.cunningham013@commerce.example.com
,EVT-202201-000000000021,2022-01-19 23:56:10,SES-202201-0000026686,CUST-0000510239,PROD-0000276438,,product_view,commerce,Cart,https://shop.example.com/product,https://bing.com,,45,3,286.82,860.46,AED,United Arab Emirates,ARE,Asia,Desktop,Android,Android,Chrome,Email,organic,,2022-01-19 23:56:10,micheal.hall064@dataops.example.com
,EVT-202201-000000000022,2022-01-10 23:27:13,SES-202201-0000008843,CUST-0000498303,,,search,engagement,Account,https://shop.example.com/cart,https://bing.com,Pull stop cup.,,0,0,0,SGD,Singapore,SGP,Asia,Mobile,Mobile Web,Android,Firefox,Organic,direct,,2022-01-10 23:27:13,michelle.sims041@analytics.example.com
,EVT-202201-000000000023,2022-01-21 10:06:59,SES-202201-0000023274,CUST-0000503205,PROD-0000271568,,product_view,commerce,Product,https://shop.example.com/cart,https://google.com,,43,1,965.35,965.35,EUR,Spain,ESP,Europe,Laptop,Web,macOS,Chrome,Bing,direct,,2022-01-21 10:06:59,katelyn.pitts017@commerce.example.com
