exchange_rate_id,rate_date,base_currency,target_currency,exchange_rate,rate_source,rate_type,created_at,created_by
,2020-01-31,AUD,GBP,0.6123184219,Bloomberg,Daily,2020-01-31 21:54:34,patrick.gonzalez035@dataops.example.com
,2020-01-08,EUR,JPY,0.7959437267,Internal FX,Spot,2020-01-08 17:44:16,michael.johnson061@platform.example.com
,2020-01-18,SGD,AED,2.3452720471,ECB,Closing,2020-01-18 05:01:33,ashley.marks069@commerce.example.com
,2020-01-26,USD,JPY,3.5181358943,Bloomberg,Daily,2020-01-26 09:35:55,maria.ashley046@analytics.example.com
,2020-01-16,INR,BRL,2.1403291711,ECB,Daily,2020-01-16 08:34:30,michael.berger060@platform.example.com
,2020-01-14,EUR,BRL,0.6749359593,Internal FX,Daily,2020-01-14 14:34:51,adam.gordon030@commerce.example.com
,2020-01-20,USD,SGD,1.0029614686,Bloomberg,Spot,2020-01-20 13:08:02,stephen.clark001@analytics.example.com
,2020-01-27,MXN,INR,2.3789148685,Reuters,Spot,2020-01-27 11:15:15,ryan.steele043@commerce.example.com
,2020-01-17,AED,CAD,1.5383890847,Bloomberg,Daily,2020-01-17 19:55:44,stephen.daniels076@commerce.example.com
,2020-01-26,INR,EUR,1.0750657257,Bloomberg,Daily,2020-01-26 08:34:01,patrick.gonzalez035@dataops.example.com
,2020-01-13,AUD,MXN,4.9779395699,Bloomberg,Closing,2020-01-13 05:21:22,david.cabrera119@dataops.example.com
,2020-01-06,GBP,AUD,1.3497002843,Reuters,Closing,2020-01-06 03:48:54,james.proctor094@dataops.example.com
,2020-01-02,SGD,BRL,0.1818411804,ECB,Closing,2020-01-02 02:42:28,lance.williams029@platform.example.com
,2020-01-11,BRL,INR,0.9198798493,ECB,Closing,2020-01-11 23:42:39,patrick.gonzalez035@dataops.example.com
,2020-01-30,AED,EUR,0.2911433527,ECB,Closing,2020-01-30 23:01:29,tina.williams074@commerce.example.com
,2020-01-18,MXN,AED,1.3972604684,ECB,Spot,2020-01-18 14:38:15,maria.ashley046@analytics.example.com
,2020-01-19,MXN,EUR,0.2668030388,Internal FX,Daily,2020-01-19 21:35:08,jennifer.hudson020@analytics.example.com
,2020-01-20,EUR,BRL,2.3239613659,ECB,Closing,2020-01-20 09:24:57,lance.williams029@platform.example.com
,2020-01-09,MXN,AUD,1.9460667889,Reuters,Spot,2020-01-09 07:01:41,lance.williams029@platform.example.com
,2020-01-07,INR,AUD,0.632261422,Bloomberg,Spot,2020-01-07 15:37:33,michelle.bender024@analytics.example.com
,2020-01-06,USD,CAD,2.6579536987,Bloomberg,Daily,2020-01-06 00:01:39,peter.martinez098@platform.example.com
,2020-01-27,BRL,EUR,0.6527389611,Internal FX,Closing,2020-01-27 21:03:21,stephen.clark001@analytics.example.com
,2020-01-09,AED,AUD,0.5186661525,Internal FX,Daily,2020-01-09 21:55:45,michael.johnson061@platform.example.com
,2020-01-24,INR,JPY,0.329985478,ECB,Spot,2020-01-24 06:05:35,brandi.carter038@dataops.example.com
,2020-01-16,SGD,MXN,0.7144535317,Bloomberg,Daily,2020-01-16 01:07:43,eric.horton058@analytics.example.com
,2020-01-18,MXN,EUR,0.7097799846,Bloomberg,Spot,2020-01-18 12:40:31,jennifer.hudson020@analytics.example.com
,2020-01-06,USD,GBP,1.0252313582,Internal FX,Closing,2020-01-06 04:40:20,stephen.clark001@analytics.example.com
,2020-01-25,INR,CAD,1.3756159981,Reuters,Spot,2020-01-25 04:43:36,ashley.marks069@commerce.example.com
,2020-01-05,GBP,MXN,0.7848956944,Reuters,Spot,2020-01-05 12:21:34,john.mullins109@commerce.example.com
