shipment_record_id,shipment_id,order_id,warehouse_id,country_code,region_name,carrier,shipping_method,shipment_status,shipped_timestamp,estimated_delivery_date,actual_delivery_timestamp,delivery_attempts,delivery_country,created_at,created_by
,SHP-202201-0000000000,ORD-202201-0000001848,WH-00043,JPN,Asia,FedEx,Pickup,Delivered,2022-01-20 09:27:01,2022-01-29,2022-01-28 13:27:01,1,United States,2022-01-20 09:27:01,kelsey.taylor010@platform.example.com
,SHP-202201-0000000001,ORD-202201-0000002463,WH-00214,CAN,Asia,Australia Post,Express,In Transit,2022-01-11 15:49:31,2022-01-21,,2,Germany,2022-01-11 15:49:31,michael.johnson061@platform.example.com
,SHP-202201-0000000002,ORD-202201-0000004120,WH-00130,CAN,Europe,USPS,Express,Delivered,2022-01-22 05:23:19,2022-01-25,2022-01-29 17:23:19,1,United Kingdom,2022-01-22 05:23:19,jennifer.hudson020@analytics.example.com
,SHP-202201-0000000003,ORD-202201-0000000702,WH-00163,IND,Asia,Australia Post,Same Day,Delivered,2022-01-03 04:36:17,2022-01-07,2022-01-11 10:36:17,1,Netherlands,2022-01-03 04:36:17,tiffany.freeman101@analytics.example.com
,SHP-202201-0000000004,ORD-202201-0000001148,WH-00179,CAN,Europe,Royal Mail,Express,Delivered,2022-01-05 15:29:06,2022-01-13,2022-01-11 22:29:06,1,United States,2022-01-05 15:29:06,susan.rice083@commerce.example.com
,SHP-202201-0000000005,ORD-202201-0000001543,WH-00181,GBR,Asia,USPS,Economy,Returned,2022-01-30 19:43:15,2022-02-08,,1,Canada,2022-01-30 19:43:15,timothy.cannon081@analytics.example.com
,SHP-202201-0000000006,ORD-202201-0000004346,WH-00247,JPN,Europe,Australia Post,Standard,In Transit,2022-01-25 22:27:13,2022-02-04,,1,Canada,2022-01-25 22:27:13,sylvia.diaz107@dataops.example.com
,SHP-202201-0000000007,ORD-202201-0000004362,WH-00106,SGP,Europe,USPS,Pickup,Delivered,2022-01-30 17:34:50,2022-02-05,2022-02-08 05:34:50,1,United Kingdom,2022-01-30 17:34:50,kelsey.taylor010@platform.example.com
,SHP-202201-0000000008,ORD-202201-0000004231,WH-00041,NLD,South America,DPD,Same Day,In Transit,2022-01-21 17:07:47,2022-01-24,,2,Japan,2022-01-21 17:07:47,jason.franklin045@dataops.example.com
,SHP-202201-0000000009,ORD-202201-0000002049,WH-00133,ITA,Asia,Royal Mail,Same Day,Delivered,2022-01-31 23:01:56,2022-02-08,2022-02-04 07:01:56,1,Mexico,2022-01-31 23:01:56,anita.garcia021@dataops.example.com
,SHP-202201-0000000010,ORD-202201-0000004185,WH-00011,CAN,North America,DPD,Same Day,Delivered,2022-01-05 16:19:30,2022-01-10,2022-01-18 01:19:30,4,Germany,2022-01-05 16:19:30,tiffany.freeman101@analytics.example.com
,SHP-202201-0000000011,ORD-202201-0000002432,WH-00134,SGP,Europe,DPD,Express,Delivered,2022-01-29 20:56:51,2022-02-02,2022-02-05 05:56:51,1,Singapore,2022-01-29 20:56:51,stephen.clark001@analytics.example.com
,SHP-202201-0000000012,ORD-202201-0000003796,WH-00185,CAN,North America,DHL,Same Day,Delivered,2022-01-08 11:22:32,2022-01-11,2022-01-10 12:22:32,1,United Kingdom,2022-01-08 11:22:32,grace.gonzales099@dataops.example.com
,SHP-202201-0000000013,ORD-202201-0000003772,WH-00193,SGP,Europe,DPD,Standard,Delivered,2022-01-28 23:52:52,2022-02-01,2022-02-01 23:52:52,1,United Arab Emirates,2022-01-28 23:52:52,brandon.yu006@analytics.example.com
,SHP-202201-0000000014,ORD-202201-0000001937,WH-00114,BRA,North America,DPD,Same Day,Delayed,2022-01-04 05:51:08,2022-01-14,,1,India,2022-01-04 05:51:08,timothy.cameron104@commerce.example.com
,SHP-202201-0000000015,ORD-202201-0000002615,WH-00016,IND,Europe,USPS,Economy,Delivered,2022-01-09 07:23:48,2022-01-16,2022-01-18 10:23:48,1,France,2022-01-09 07:23:48,jimmy.washington028@commerce.example.com
