currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2026-06-07 12:32:50,elizabeth.mullins042@platform.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2026-06-06 04:47:25,brandon.yu006@analytics.example.com
GBP,Pound Sterling,£,2,FIAT,true,2026-06-16 23:44:26,oscar.owens072@analytics.example.com
EUR,Euro,€,2,FIAT,true,2026-06-18 14:55:30,victoria.medina044@dataops.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2026-06-30 19:04:25,jennifer.shepherd015@analytics.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2026-06-30 03:45:54,kathleen.white007@analytics.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2026-06-04 08:00:41,richard.bradshaw051@platform.example.com
INR,Indian Rupee,₹,2,FIAT,true,2026-06-07 08:57:09,jonathan.jimenez057@platform.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2026-06-26 21:41:50,stephen.clark001@analytics.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2026-06-25 21:17:08,stephanie.miller092@analytics.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2026-06-11 00:18:33,arthur.ortiz082@platform.example.com
