review_record_id,review_id,customer_id,product_id,order_id,rating,review_title,review_text,verified_purchase,helpful_votes,review_timestamp,country_code,region_name,sentiment,created_at,created_by
,REV-202605-0000000000,CUST-0002099432,PROD-0001165683,ORD-202605-0000002139,5,Fast delivery,Wife catch stock budget couple charge billion. Rule defense score standard. Whole glass project line whole.,true,4,2026-05-16 14:31:11,NLD,Asia,Positive,2026-05-16 14:31:11,kelsey.taylor010@platform.example.com
,REV-202605-0000000001,CUST-0002101394,PROD-0001154210,ORD-202605-0000008977,5,Highly recommended,Lose candidate difficult city difference. Arrive yard head enjoy price trouble start process.,true,4,2026-05-11 17:17:54,ARE,Europe,Positive,2026-05-11 17:17:54,kristin.krueger034@analytics.example.com
,REV-202605-0000000002,CUST-0002089891,PROD-0001164398,ORD-202605-0000003984,1,Highly recommended,In season analysis surface close three.,false,5,2026-05-23 22:23:05,AUS,North America,Negative,2026-05-23 22:23:05,brandon.yu006@analytics.example.com
,REV-202605-0000000003,CUST-0002110671,PROD-0001155525,ORD-202605-0000006483,5,Not as expected,Either major door leave. Tend pass finally politics mission agency environmental. Really explain lot report fund. See class outside lay difficult ball stand certainly. Its seem likely science gun.,true,3,2026-05-20 23:41:07,SGP,North America,Positive,2026-05-20 23:41:07,tammy.smith009@platform.example.com
,REV-202605-0000000004,CUST-0002080137,PROD-0001156977,ORD-202605-0000007590,3,Not as expected,Will room plant last lawyer.,true,6,2026-05-30 07:58:29,BRA,Europe,Neutral,2026-05-30 07:58:29,curtis.williams033@dataops.example.com
,REV-202605-0000000005,CUST-0002111043,PROD-0001168596,ORD-202605-0000010016,5,Could be better,Body present industry stock partner toward enough. Sport he institution especially.,true,1,2026-05-29 00:44:08,AUS,Europe,Positive,2026-05-29 00:44:08,jennifer.atkins003@platform.example.com
,REV-202605-0000000006,CUST-0002102431,PROD-0001154261,ORD-202605-0000004279,5,Great product,Probably wide age clear agree. Prepare evening agent property. Popular however right per often while wide. Marriage pay understand add new he report responsibility. Spend specific and quite.,true,5,2026-05-21 09:39:20,IND,Asia,Positive,2026-05-21 09:39:20,joseph.griffin070@analytics.example.com
,REV-202605-0000000007,CUST-0002089673,PROD-0001167021,ORD-202605-0000009476,5,Great product,Drug red fear detail they land open. Right world candidate want side hundred population. Deep morning according base least open old.,true,3,2026-05-21 00:51:31,MEX,Europe,Positive,2026-05-21 00:51:31,chelsea.patel065@commerce.example.com
,REV-202605-0000000008,CUST-0002099841,PROD-0001154998,ORD-202605-0000004501,5,Fast delivery,Behind place science outside.,true,0,2026-05-05 22:13:47,IND,Europe,Positive,2026-05-05 22:13:47,eric.horton058@analytics.example.com
,REV-202605-0000000009,CUST-0002104581,PROD-0001159200,ORD-202605-0000008641,4,Excellent quality,Opportunity and central sense decision spring.,false,1,2026-05-14 17:04:20,BRA,North America,Positive,2026-05-14 17:04:20,kathleen.white007@analytics.example.com
