review_record_id,review_id,customer_id,product_id,order_id,rating,review_title,review_text,verified_purchase,helpful_votes,review_timestamp,country_code,region_name,sentiment,created_at,created_by
,REV-202012-0000000000,CUST-0000199084,PROD-0000118640,ORD-202012-0000003620,5,Average experience,Have economic technology experience food you discussion east.,true,8,2020-12-28 00:13:42,JPN,Europe,Positive,2020-12-28 00:13:42,ashley.marks069@commerce.example.com
,REV-202012-0000000001,CUST-0000223903,PROD-0000119994,ORD-202012-0000005477,5,Worth the money,Memory term itself no.,true,19,2020-12-27 02:26:25,CAN,Europe,Positive,2020-12-27 02:26:25,stephen.clark001@analytics.example.com
,REV-202012-0000000002,CUST-0000212386,PROD-0000115528,ORD-202012-0000003934,5,Could be better,Store newspaper car amount.,true,6,2020-12-06 08:21:24,JPN,North America,Positive,2020-12-06 08:21:24,john.mullins109@commerce.example.com
,REV-202012-0000000003,CUST-0000226429,PROD-0000114289,ORD-202012-0000007210,5,Excellent quality,Significant look instead power. Man building north commercial think.,true,2,2020-12-03 01:01:21,SGP,Europe,Positive,2020-12-03 01:01:21,victor.palmer071@platform.example.com
,REV-202012-0000000004,CUST-0000202013,PROD-0000111183,ORD-202012-0000002418,3,Could be better,Center couple small specific population part church. Today garden wear college mouth education.,true,14,2020-12-20 18:36:36,BRA,Europe,Neutral,2020-12-20 18:36:36,jennifer.hudson020@analytics.example.com
,REV-202012-0000000005,CUST-0000216940,PROD-0000121525,ORD-202012-0000004330,5,Fast delivery,Go best with test. Beyond themselves rate western both.,true,32,2020-12-27 21:52:48,USA,Asia,Positive,2020-12-27 21:52:48,andrea.cummings039@platform.example.com
,REV-202012-0000000006,CUST-0000202967,PROD-0000123501,ORD-202012-0000003950,4,Excellent quality,Everybody everyone trade claim summer nothing know.,true,5,2020-12-30 03:22:28,BRA,Asia,Positive,2020-12-30 03:22:28,timothy.cameron104@commerce.example.com
,REV-202012-0000000007,CUST-0000221371,PROD-0000117373,ORD-202012-0000000088,4,Not as expected,Marriage executive score street.,true,9,2020-12-11 11:09:35,ITA,Europe,Positive,2020-12-11 11:09:35,ashley.marks069@commerce.example.com
,REV-202012-0000000008,CUST-0000212676,PROD-0000118411,ORD-202012-0000006244,4,Worth the money,Fill recognize matter should.,true,11,2020-12-18 10:36:49,ITA,Asia,Positive,2020-12-18 10:36:49,timothy.cannon081@analytics.example.com
,REV-202012-0000000009,CUST-0000204691,PROD-0000119735,ORD-202012-0000001840,3,Great product,Suddenly between concern class phone ready feel. Easy note specific middle hard which. Message but prove return while billion culture address. Rise still adult me our million almost. Doctor write marriage all mission.,true,4,2020-12-31 09:45:28,MEX,Europe,Neutral,2020-12-31 09:45:28,anita.garcia021@dataops.example.com
