session_record_id,session_id,customer_id,session_start,session_end,session_duration_seconds,country_name,country_code,region_name,currency_code,platform,device_type,operating_system,browser,traffic_source,traffic_medium,campaign_id,landing_page,exit_page,is_new_customer,is_new_session,created_at,created_by
,SES-202306-0000000000,CUST-0000930754,2023-06-23 10:27:35,2023-06-23 10:29:03,88,Germany,DEU,Europe,EUR,Web,Desktop,macOS,Chrome,Bing,social,,/home,/product,true,false,2023-06-23 10:27:35,eric.horton058@analytics.example.com
,SES-202306-0000000001,CUST-0000908476,2023-06-02 17:24:38,2023-06-02 17:26:39,121,United Arab Emirates,ARE,Asia,AED,iOS,Mobile,Android,Edge,Organic,referral,CAMP-2023-0005,/category,/cart,false,true,2023-06-02 17:24:38,megan.cunningham013@commerce.example.com
,SES-202306-0000000002,CUST-0000912150,2023-06-24 13:50:21,2023-06-24 13:55:12,291,France,FRA,Europe,EUR,iOS,Mobile,ChromeOS,Chrome,Google,cpc,,/sale,/checkout,false,true,2023-06-24 13:50:21,kristen.bailey110@analytics.example.com
,SES-202306-0000000003,CUST-0000909945,2023-06-19 08:10:34,2023-06-19 08:12:16,102,Italy,ITA,Europe,EUR,Web,Laptop,iOS,Safari,Direct,referral,,/product,/checkout,true,true,2023-06-19 08:10:34,crystal.smith022@platform.example.com
,SES-202306-0000000004,CUST-0000925013,2023-06-02 13:10:06,2023-06-02 13:11:48,102,United Kingdom,GBR,Europe,GBP,Web,Desktop,macOS,Safari,Bing,social,,/offers,/checkout,true,true,2023-06-02 13:10:06,joseph.johnson049@dataops.example.com
,SES-202306-0000000005,CUST-0000914389,2023-06-12 16:35:24,2023-06-12 16:36:56,92,Singapore,SGP,Asia,SGD,Web,Mobile,Linux,Chrome,Google,social,,/product,/product,false,true,2023-06-12 16:35:24,john.mullins109@commerce.example.com
,SES-202306-0000000006,CUST-0000927889,2023-06-04 03:56:57,2023-06-04 03:57:20,23,United Arab Emirates,ARE,Asia,AED,iOS,Desktop,Windows,Safari,TikTok,cpc,,/category,/search,false,true,2023-06-04 03:56:57,megan.cunningham013@commerce.example.com
,SES-202306-0000000007,CUST-0000913496,2023-06-15 15:57:26,2023-06-15 15:58:12,46,Brazil,BRA,South America,BRL,iOS,Laptop,Linux,Safari,Email,email,,/home,/search,false,true,2023-06-15 15:57:26,kristen.bailey110@analytics.example.com
,SES-202306-0000000008,CUST-0000925562,2023-06-14 21:22:18,2023-06-14 21:27:05,287,United States,USA,North America,USD,Web,Desktop,ChromeOS,Safari,Email,email,,/sale,/product,false,true,2023-06-14 21:22:18,craig.johnson106@analytics.example.com
,SES-202306-0000000009,CUST-0000922110,2023-06-08 20:12:05,2023-06-08 20:13:34,89,Japan,JPN,Asia,JPY,Mobile Web,Desktop,Linux,Firefox,Direct,affiliate,CAMP-2023-0035,/search,/search,false,true,2023-06-08 20:12:05,lance.williams029@platform.example.com
,SES-202306-0000000010,CUST-0000909405,2023-06-04 14:26:56,2023-06-04 14:33:58,422,United States,USA,North America,USD,Web,Desktop,iOS,Safari,Direct,referral,,/home,/product,false,true,2023-06-04 14:26:56,eric.mullen052@dataops.example.com
,SES-202306-0000000011,CUST-0000925210,2023-06-03 16:28:20,2023-06-03 16:32:36,256,Japan,JPN,Asia,JPY,Android,Mobile,macOS,Samsung Internet,Facebook,direct,CAMP-2023-0005,/offers,/checkout,true,true,2023-06-03 16:28:20,kelsey.taylor010@platform.example.com
,SES-202306-0000000012,CUST-0000918051,2023-06-26 02:41:41,2023-06-26 02:46:52,311,United Arab Emirates,ARE,Asia,AED,Web,Mobile,Android,Samsung Internet,Facebook,organic,,/home,/cart,true,true,2023-06-26 02:41:41,tina.williams074@commerce.example.com
,SES-202306-0000000013,CUST-0000921841,2023-06-26 03:54:21,2023-06-26 03:56:09,108,Australia,AUS,Oceania,AUD,Web,Tablet,iOS,Edge,Facebook,cpc,,/home,/home,false,true,2023-06-26 03:54:21,tiffany.freeman101@analytics.example.com
,SES-202306-0000000014,CUST-0000912795,2023-06-28 10:08:30,2023-06-28 10:09:18,48,United Arab Emirates,ARE,Asia,AED,Web,Mobile,Linux,Samsung Internet,Google,direct,,/product,/search,false,true,2023-06-28 10:08:30,victor.palmer071@platform.example.com
,SES-202306-0000000015,CUST-0000912531,2023-06-02 05:05:47,2023-06-02 05:10:27,280,Netherlands,NLD,Europe,EUR,Web,Desktop,Linux,Safari,Organic,social,CAMP-2023-0025,/category,/cart,false,false,2023-06-02 05:05:47,eric.mullen052@dataops.example.com
,SES-202306-0000000016,CUST-0000915239,2023-06-17 00:49:02,2023-06-17 00:52:33,211,United States,USA,North America,USD,Web,Desktop,Linux,Edge,Email,affiliate,CAMP-2023-0025,/product,/search,true,false,2023-06-17 00:49:02,darren.anderson025@dataops.example.com
,SES-202306-0000000017,CUST-0000920667,2023-06-25 05:49:37,2023-06-25 05:50:44,67,Spain,ESP,Europe,EUR,Mobile Web,Mobile,Android,Firefox,Direct,social,CAMP-2023-0005,/product,/search,false,true,2023-06-25 05:49:37,shawn.baxter004@dataops.example.com
,SES-202306-0000000018,CUST-0000926607,2023-06-11 01:13:05,2023-06-11 01:14:00,55,Australia,AUS,Oceania,AUD,Web,Mobile,iOS,Safari,Direct,direct,CAMP-2023-0035,/offers,/product,false,true,2023-06-11 01:13:05,kevin.mathews014@analytics.example.com
,SES-202306-0000000019,CUST-0000933390,2023-06-07 14:17:03,2023-06-07 14:20:11,188,Mexico,MEX,North America,MXN,Web,Desktop,Android,Samsung Internet,Direct,direct,,/category,/checkout,true,false,2023-06-07 14:17:03,maria.ashley046@analytics.example.com
,SES-202306-0000000020,CUST-0000931694,2023-06-09 12:47:09,2023-06-09 12:50:08,179,Australia,AUS,Oceania,AUD,Web,Mobile,iOS,Samsung Internet,Facebook,direct,,/category,/home,true,true,2023-06-09 12:47:09,katelyn.pitts017@commerce.example.com
,SES-202306-0000000021,CUST-0000922947,2023-06-26 18:31:13,2023-06-26 18:35:00,227,United Arab Emirates,ARE,Asia,AED,iOS,Tablet,ChromeOS,Firefox,Instagram,email,,/sale,/product,false,true,2023-06-26 18:31:13,andrew.ellis102@analytics.example.com
,SES-202306-0000000022,CUST-0000920324,2023-06-15 15:10:12,2023-06-15 15:14:48,276,Italy,ITA,Europe,EUR,Web,Desktop,Windows,Chrome,Organic,direct,CAMP-2023-0018,/search,/checkout,false,true,2023-06-15 15:10:12,eric.horton058@analytics.example.com
,SES-202306-0000000023,CUST-0000907522,2023-06-12 19:27:38,2023-06-12 19:28:44,66,France,FRA,Europe,EUR,Web,Desktop,ChromeOS,Chrome,Direct,organic,CAMP-2023-0023,/home,/checkout,false,false,2023-06-12 19:27:38,victor.palmer071@platform.example.com
,SES-202306-0000000024,CUST-0000929555,2023-06-16 11:22:52,2023-06-16 11:24:29,97,Brazil,BRA,South America,BRL,Web,Laptop,macOS,Firefox,Email,organic,,/product,/home,false,false,2023-06-16 11:22:52,amy.holmes103@dataops.example.com
,SES-202306-0000000025,CUST-0000916867,2023-06-19 05:05:26,2023-06-19 05:09:32,246,Singapore,SGP,Asia,SGD,iOS,Mobile,ChromeOS,Chrome,Google,organic,,/sale,/product,false,true,2023-06-19 05:05:26,katelyn.pitts017@commerce.example.com
,SES-202306-0000000026,CUST-0000929553,2023-06-05 23:12:28,2023-06-05 23:14:14,106,Singapore,SGP,Asia,SGD,Web,Desktop,Windows,Safari,YouTube,direct,,/category,/checkout,false,true,2023-06-05 23:12:28,jennifer.shepherd015@analytics.example.com
,SES-202306-0000000027,CUST-0000911951,2023-06-10 07:26:43,2023-06-10 07:27:41,58,Canada,CAN,North America,CAD,iOS,Mobile,ChromeOS,Firefox,Bing,affiliate,,/offers,/cart,false,true,2023-06-10 07:26:43,amy.holmes103@dataops.example.com
,SES-202306-0000000028,CUST-0000911114,2023-06-29 22:28:56,2023-06-29 22:31:12,136,Japan,JPN,Asia,JPY,iOS,Mobile,Linux,Chrome,Google,cpc,,/product,/home,true,true,2023-06-29 22:28:56,jeffery.miller012@commerce.example.com
,SES-202306-0000000029,CUST-0000931956,2023-06-16 03:21:20,2023-06-16 03:29:28,488,India,IND,Asia,INR,Web,Tablet,iOS,Samsung Internet,Organic,social,,/offers,/product,true,true,2023-06-16 03:21:20,rachel.hall062@platform.example.com
,SES-202306-0000000030,CUST-0000907799,2023-06-23 21:04:03,2023-06-23 21:09:51,348,Germany,DEU,Europe,EUR,Android,Mobile,Windows,Chrome,Google,referral,CAMP-2023-0029,/product,/cart,false,true,2023-06-23 21:04:03,shawn.baxter004@dataops.example.com
,SES-202306-0000000031,CUST-0000912001,2023-06-07 09:14:58,2023-06-07 09:15:41,43,India,IND,Asia,INR,Web,Mobile,Windows,Edge,Instagram,email,CAMP-2023-0021,/sale,/cart,false,true,2023-06-07 09:14:58,micheal.chen050@dataops.example.com
,SES-202306-0000000032,CUST-0000923229,2023-06-22 03:41:34,2023-06-22 03:46:31,297,United States,USA,North America,USD,iOS,Mobile,iOS,Chrome,Direct,organic,CAMP-2023-0006,/home,/search,false,true,2023-06-22 03:41:34,alyssa.richards002@commerce.example.com
,SES-202306-0000000033,CUST-0000925136,2023-06-23 07:56:31,2023-06-23 07:57:34,63,India,IND,Asia,INR,Mobile Web,Tablet,ChromeOS,Edge,Instagram,social,,/category,/product,false,false,2023-06-23 07:56:31,victor.palmer071@platform.example.com
,SES-202306-0000000034,CUST-0000915823,2023-06-02 16:19:50,2023-06-02 16:21:43,113,Germany,DEU,Europe,EUR,Web,Tablet,iOS,Samsung Internet,YouTube,social,CAMP-2023-0018,/sale,/search,true,false,2023-06-02 16:19:50,arthur.ortiz082@platform.example.com
,SES-202306-0000000035,CUST-0000924194,2023-06-25 15:22:38,2023-06-25 15:23:22,44,India,IND,Asia,INR,Web,Desktop,iOS,Edge,Direct,referral,,/product,/home,false,true,2023-06-25 15:22:38,jason.franklin045@dataops.example.com
,SES-202306-0000000036,CUST-0000929690,2023-06-24 21:38:18,2023-06-24 21:40:50,152,Germany,DEU,Europe,EUR,Web,Desktop,Linux,Firefox,TikTok,affiliate,CAMP-2023-0028,/category,/home,false,true,2023-06-24 21:38:18,timothy.cannon081@analytics.example.com
