currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2025-08-25 21:45:07,joseph.johnson049@dataops.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2025-08-30 13:00:52,james.proctor094@dataops.example.com
GBP,Pound Sterling,£,2,FIAT,true,2025-08-29 05:59:51,susan.rice083@commerce.example.com
EUR,Euro,€,2,FIAT,true,2025-08-12 08:09:57,stephen.jordan063@commerce.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2025-08-14 17:50:27,yolanda.vasquez005@platform.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2025-08-15 10:20:09,stephanie.miller092@analytics.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2025-08-17 05:53:32,joseph.johnson049@dataops.example.com
INR,Indian Rupee,₹,2,FIAT,true,2025-08-02 03:31:59,michael.berger060@platform.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2025-08-11 18:09:26,carol.bonilla067@analytics.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2025-08-18 22:47:23,jennifer.yu037@dataops.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2025-08-22 17:03:59,stephanie.miller092@analytics.example.com
