currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2024-12-17 06:44:14,michelle.sims041@analytics.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2024-12-14 03:51:49,mary.jordan048@analytics.example.com
GBP,Pound Sterling,£,2,FIAT,true,2024-12-12 11:49:00,juan.simmons120@platform.example.com
EUR,Euro,€,2,FIAT,true,2024-12-03 05:03:18,david.cabrera119@dataops.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2024-12-02 17:09:17,nicholas.wilson027@analytics.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2024-12-03 00:58:18,jeffery.miller012@commerce.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2024-12-07 13:38:33,michael.johnson061@platform.example.com
INR,Indian Rupee,₹,2,FIAT,true,2024-12-10 10:53:02,sandra.hunter036@platform.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2024-12-13 07:17:41,ryan.steele043@commerce.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2024-12-03 15:58:24,michelle.bender024@analytics.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2024-12-21 23:20:21,megan.cunningham013@commerce.example.com
