currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2022-04-19 19:46:05,jennifer.hudson020@analytics.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2022-04-03 15:09:05,lance.williams029@platform.example.com
GBP,Pound Sterling,£,2,FIAT,true,2022-04-19 20:57:21,micheal.chen050@dataops.example.com
EUR,Euro,€,2,FIAT,true,2022-04-28 01:36:54,brandi.carter038@dataops.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2022-04-06 05:29:05,joann.clark089@commerce.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2022-04-21 23:40:47,andrew.ellis102@analytics.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2022-04-30 21:49:07,ryan.steele043@commerce.example.com
INR,Indian Rupee,₹,2,FIAT,true,2022-04-16 18:33:18,anita.garcia021@dataops.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2022-04-07 07:03:25,andrea.cummings039@platform.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2022-04-13 01:16:22,lisa.kim091@platform.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2022-04-06 23:52:57,kelsey.taylor010@platform.example.com
