currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2021-12-14 04:07:56,michael.berger060@platform.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2021-12-17 15:50:54,ashley.marks069@commerce.example.com
GBP,Pound Sterling,£,2,FIAT,true,2021-12-27 14:31:56,christine.johnson056@commerce.example.com
EUR,Euro,€,2,FIAT,true,2021-12-02 10:19:33,jason.franklin045@dataops.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2021-12-07 21:22:06,micheal.hall064@dataops.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2021-12-23 19:57:37,victoria.medina044@dataops.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2021-12-20 01:56:08,lance.williams029@platform.example.com
INR,Indian Rupee,₹,2,FIAT,true,2021-12-06 22:24:59,eric.mullen052@dataops.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2021-12-31 20:44:52,ryan.steele043@commerce.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2021-12-19 08:29:33,jason.franklin045@dataops.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2021-12-04 05:51:00,micheal.hall064@dataops.example.com
