geography_id,region_name,sub_region_name,country_name,country_code,currency_code,currency_name,currency_symbol,timezone,created_at,created_by
1,North America,Northern America,United States,USA,USD,US Dollar,$,Europe/Minsk,2025-09-21 20:59:36,stephen.daniels076@commerce.example.com
2,North America,Northern America,Canada,CAN,CAD,Canadian Dollar,C$,America/Guatemala,2025-09-20 07:00:00,jennifer.yu037@dataops.example.com
3,Europe,Northern Europe,United Kingdom,GBR,GBP,Pound Sterling,£,Europe/Malta,2025-09-23 09:26:18,brittany.rose019@commerce.example.com
4,Europe,Western Europe,Germany,DEU,EUR,Euro,€,Europe/Vilnius,2025-09-10 04:32:37,lance.williams029@platform.example.com
5,Europe,Western Europe,France,FRA,EUR,Euro,€,Asia/Rangoon,2025-09-04 19:44:02,michael.johnson061@platform.example.com
6,Europe,Southern Europe,Spain,ESP,EUR,Euro,€,Asia/Tbilisi,2025-09-18 02:49:05,katelyn.pitts017@commerce.example.com
7,Europe,Southern Europe,Italy,ITA,EUR,Euro,€,Pacific/Truk,2025-09-23 09:52:11,micheal.chen050@dataops.example.com
8,Europe,Western Europe,Netherlands,NLD,EUR,Euro,€,Europe/Chisinau,2025-09-10 09:38:55,kevin.mathews014@analytics.example.com
9,Oceania,Australia and New Zealand,Australia,AUS,AUD,Australian Dollar,A$,Asia/Riyadh,2025-09-26 00:35:35,eric.mullen052@dataops.example.com
10,Asia,Eastern Asia,Japan,JPN,JPY,Japanese Yen,¥,Atlantic/Cape_Verde,2025-09-14 09:32:04,rachel.hall062@platform.example.com
11,Asia,South-eastern Asia,Singapore,SGP,SGD,Singapore Dollar,S$,Africa/Kigali,2025-09-21 23:39:01,elizabeth.mullins042@platform.example.com
12,Asia,Southern Asia,India,IND,INR,Indian Rupee,₹,Africa/Douala,2025-09-21 21:05:54,patrick.gonzalez035@dataops.example.com
13,Asia,Western Asia,United Arab Emirates,ARE,AED,UAE Dirham,د.إ,Pacific/Apia,2025-09-25 04:41:59,kevin.mathews014@analytics.example.com
14,South America,South America,Brazil,BRA,BRL,Brazilian Real,R$,America/El_Salvador,2025-09-21 16:47:19,patrick.gonzalez035@dataops.example.com
15,North America,Central America,Mexico,MEX,MXN,Mexican Peso,MX$,Africa/Nouakchott,2025-09-07 18:07:38,victor.palmer071@platform.example.com
