shipment_record_id,shipment_id,order_id,warehouse_id,country_code,region_name,carrier,shipping_method,shipment_status,shipped_timestamp,estimated_delivery_date,actual_delivery_timestamp,delivery_attempts,delivery_country,created_at,created_by
,SHP-202011-0000000000,ORD-202011-0000001449,WH-00196,ESP,Europe,DPD,Economy,Delivered,2020-11-22 01:04:13,2020-12-02,2020-11-26 11:04:13,1,Brazil,2020-11-22 01:04:13,timothy.cameron104@commerce.example.com
,SHP-202011-0000000001,ORD-202011-0000002779,WH-00034,MEX,Asia,DHL,Standard,Delivered,2020-11-22 04:51:59,2020-11-27,2020-12-06 14:51:59,2,United States,2020-11-22 04:51:59,michelle.bender024@analytics.example.com
,SHP-202011-0000000002,ORD-202011-0000005039,WH-00092,MEX,Asia,DHL,Standard,Delivered,2020-11-18 22:50:02,2020-11-24,2020-11-27 00:50:02,1,Spain,2020-11-18 22:50:02,jennifer.bauer068@analytics.example.com
,SHP-202011-0000000003,ORD-202011-0000005034,WH-00017,MEX,South America,DHL,Standard,Delivered,2020-11-23 16:21:59,2020-11-26,2020-12-03 01:21:59,1,Australia,2020-11-23 16:21:59,jeffery.miller012@commerce.example.com
,SHP-202011-0000000004,ORD-202011-0000003937,WH-00006,NLD,Asia,USPS,Same Day,Delivered,2020-11-20 19:50:46,2020-11-26,2020-11-30 22:50:46,1,Netherlands,2020-11-20 19:50:46,michelle.bender024@analytics.example.com
,SHP-202011-0000000005,ORD-202011-0000002260,WH-00058,JPN,North America,USPS,Same Day,Delivered,2020-11-14 08:29:34,2020-11-18,2020-11-17 16:29:34,1,Germany,2020-11-14 08:29:34,stephen.clark001@analytics.example.com
,SHP-202011-0000000006,ORD-202011-0000002324,WH-00164,MEX,Europe,DPD,Standard,Delivered,2020-11-30 22:03:09,2020-12-08,2020-12-06 03:03:09,3,Italy,2020-11-30 22:03:09,james.proctor094@dataops.example.com
,SHP-202011-0000000007,ORD-202011-0000004943,WH-00038,ARE,North America,UPS,Economy,Delivered,2020-11-25 02:51:49,2020-12-02,2020-12-01 04:51:49,1,Germany,2020-11-25 02:51:49,michael.johnson061@platform.example.com
,SHP-202011-0000000008,ORD-202011-0000003071,WH-00162,USA,Europe,UPS,Same Day,Delivered,2020-11-12 18:54:11,2020-11-15,2020-11-24 00:54:11,1,Singapore,2020-11-12 18:54:11,susan.rice083@commerce.example.com
,SHP-202011-0000000009,ORD-202011-0000002166,WH-00072,DEU,Asia,UPS,Same Day,Delivered,2020-11-25 20:14:20,2020-11-27,2020-12-06 22:14:20,2,Canada,2020-11-25 20:14:20,stephen.clark001@analytics.example.com
,SHP-202011-0000000010,ORD-202011-0000004570,WH-00109,MEX,North America,DPD,Express,Delivered,2020-11-28 18:20:59,2020-12-02,2020-12-01 20:20:59,1,Netherlands,2020-11-28 18:20:59,patrick.gonzalez035@dataops.example.com
,SHP-202011-0000000011,ORD-202011-0000000580,WH-00007,ESP,North America,DHL,Economy,Delivered,2020-11-29 13:30:14,2020-12-08,2020-12-06 15:30:14,1,Italy,2020-11-29 13:30:14,timothy.cameron104@commerce.example.com
,SHP-202011-0000000012,ORD-202011-0000004226,WH-00211,IND,Europe,Royal Mail,Standard,Delivered,2020-11-25 14:31:36,2020-12-02,2020-12-05 19:31:36,1,France,2020-11-25 14:31:36,taylor.cunningham023@commerce.example.com
,SHP-202011-0000000013,ORD-202011-0000000232,WH-00210,CAN,North America,DHL,Standard,Shipped,2020-11-13 06:16:00,2020-11-15,,2,Italy,2020-11-13 06:16:00,michael.berger060@platform.example.com
,SHP-202011-0000000014,ORD-202011-0000001075,WH-00146,ITA,North America,DHL,Same Day,Delivered,2020-11-18 20:41:53,2020-11-23,2020-11-25 04:41:53,1,India,2020-11-18 20:41:53,peter.martinez098@platform.example.com
