currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2020-03-13 16:31:43,stephen.daniels076@commerce.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2020-03-26 02:27:05,adam.gordon030@commerce.example.com
GBP,Pound Sterling,£,2,FIAT,true,2020-03-02 21:37:54,eric.horton058@analytics.example.com
EUR,Euro,€,2,FIAT,true,2020-03-14 18:19:11,michelle.bender024@analytics.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2020-03-11 00:25:38,stephen.clark001@analytics.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2020-03-22 13:16:37,megan.cunningham013@commerce.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2020-03-20 01:49:13,jennifer.bauer068@analytics.example.com
INR,Indian Rupee,₹,2,FIAT,true,2020-03-29 23:29:59,kelsey.taylor010@platform.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2020-03-03 22:39:33,james.proctor094@dataops.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2020-03-23 00:08:19,james.proctor094@dataops.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2020-03-17 07:15:58,kelsey.taylor010@platform.example.com
