currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2025-09-13 22:33:27,micheal.hall064@dataops.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2025-09-29 18:45:39,michelle.sims041@analytics.example.com
GBP,Pound Sterling,£,2,FIAT,true,2025-09-30 22:23:37,michael.johnson061@platform.example.com
EUR,Euro,€,2,FIAT,true,2025-09-29 08:21:02,curtis.williams033@dataops.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2025-09-26 09:50:11,brian.banks011@platform.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2025-09-05 17:08:32,renee.harvey080@dataops.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2025-09-17 07:48:43,mary.jordan048@analytics.example.com
INR,Indian Rupee,₹,2,FIAT,true,2025-09-01 15:51:28,judy.rogers086@platform.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2025-09-08 23:45:33,james.proctor094@dataops.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2025-09-21 07:40:27,mary.jordan048@analytics.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2025-09-17 09:18:38,andrea.cummings039@platform.example.com
