exchange_rate_id,rate_date,base_currency,target_currency,exchange_rate,rate_source,rate_type,created_at,created_by
,2020-09-26,CAD,AED,2.3717571642,Reuters,Spot,2020-09-26 06:12:42,ryan.steele043@commerce.example.com
,2020-09-14,INR,AUD,0.602143851,Reuters,Closing,2020-09-14 12:33:31,megan.cunningham013@commerce.example.com
,2020-09-08,JPY,BRL,0.699517386,Internal FX,Daily,2020-09-08 15:01:43,stephen.daniels076@commerce.example.com
,2020-09-19,USD,BRL,0.5464963362,ECB,Spot,2020-09-19 06:09:54,james.proctor094@dataops.example.com
,2020-09-10,EUR,MXN,0.7009048273,Reuters,Daily,2020-09-10 18:48:58,timothy.cannon081@analytics.example.com
,2020-09-11,JPY,GBP,0.7435747201,ECB,Spot,2020-09-11 10:25:20,eric.horton058@analytics.example.com
,2020-09-01,JPY,CAD,1.2571832093,Bloomberg,Spot,2020-09-01 00:50:19,peter.martinez098@platform.example.com
,2020-09-01,AED,AUD,1.2049436407,Internal FX,Closing,2020-09-01 18:43:59,michael.johnson061@platform.example.com
,2020-09-22,AED,MXN,0.4214972742,Reuters,Closing,2020-09-22 04:43:08,michael.berger060@platform.example.com
,2020-09-30,GBP,BRL,1.6757998137,ECB,Daily,2020-09-30 16:24:49,brandi.carter038@dataops.example.com
,2020-09-16,USD,EUR,0.9474100902,Bloomberg,Closing,2020-09-16 11:36:02,victor.palmer071@platform.example.com
,2020-09-25,CAD,MXN,0.7070857292,ECB,Spot,2020-09-25 08:46:28,joseph.johnson049@dataops.example.com
,2020-09-13,USD,JPY,2.893819099,ECB,Closing,2020-09-13 02:02:22,jennifer.hudson020@analytics.example.com
,2020-09-19,JPY,GBP,0.4555719691,Bloomberg,Spot,2020-09-19 20:03:49,micheal.hall064@dataops.example.com
,2020-09-29,CAD,AED,1.3865833848,Reuters,Closing,2020-09-29 02:36:47,ashley.marks069@commerce.example.com
,2020-09-09,GBP,USD,0.5837140927,ECB,Daily,2020-09-09 13:32:25,kelsey.taylor010@platform.example.com
,2020-09-02,EUR,USD,0.5746491635,Internal FX,Closing,2020-09-02 11:45:04,micheal.chen050@dataops.example.com
,2020-09-14,SGD,AUD,0.3322152887,Bloomberg,Daily,2020-09-14 00:12:22,joseph.johnson049@dataops.example.com
,2020-09-19,AUD,JPY,0.9758993287,Reuters,Closing,2020-09-19 22:47:31,michelle.sims041@analytics.example.com
,2020-09-11,MXN,JPY,2.985199253,ECB,Spot,2020-09-11 04:00:13,jennifer.bauer068@analytics.example.com
,2020-09-06,SGD,CAD,2.2985191672,Internal FX,Spot,2020-09-06 07:58:57,jeffery.miller012@commerce.example.com
,2020-09-08,AUD,CAD,0.6854403685,Reuters,Daily,2020-09-08 06:01:18,michael.berger060@platform.example.com
,2020-09-20,INR,USD,0.486019335,ECB,Daily,2020-09-20 15:53:15,micheal.hall064@dataops.example.com
,2020-09-08,EUR,CAD,2.3094147592,Reuters,Spot,2020-09-08 08:54:43,stephen.daniels076@commerce.example.com
,2020-09-06,SGD,CAD,1.1805132014,Internal FX,Daily,2020-09-06 10:06:12,eric.mullen052@dataops.example.com
,2020-09-14,BRL,JPY,1.183140036,Bloomberg,Daily,2020-09-14 12:38:32,joseph.johnson049@dataops.example.com
,2020-09-13,AUD,GBP,2.9391349529,Internal FX,Spot,2020-09-13 08:24:56,ryan.steele043@commerce.example.com
,2020-09-21,GBP,SGD,0.1998867561,ECB,Closing,2020-09-21 07:11:54,alyssa.richards002@commerce.example.com
,2020-09-27,CAD,INR,0.3049909731,Internal FX,Closing,2020-09-27 03:23:48,michael.berger060@platform.example.com
,2020-09-15,EUR,GBP,8.3855265735,Internal FX,Spot,2020-09-15 22:55:40,andrea.cummings039@platform.example.com
,2020-09-21,GBP,USD,1.4020753608,ECB,Spot,2020-09-21 08:31:16,jeffery.miller012@commerce.example.com
,2020-09-13,MXN,BRL,0.8172637041,Reuters,Spot,2020-09-13 05:20:46,john.mullins109@commerce.example.com
,2020-09-09,GBP,USD,0.9948645649,ECB,Spot,2020-09-09 08:26:58,megan.cunningham013@commerce.example.com
,2020-09-13,SGD,MXN,0.7210181584,Bloomberg,Spot,2020-09-13 01:15:21,micheal.chen050@dataops.example.com
,2020-09-24,GBP,SGD,0.2293298016,ECB,Closing,2020-09-24 12:03:45,peter.martinez098@platform.example.com
,2020-09-27,JPY,CAD,0.8143256502,Reuters,Closing,2020-09-27 21:35:42,victor.palmer071@platform.example.com
,2020-09-18,GBP,INR,6.1811833218,Bloomberg,Spot,2020-09-18 15:33:07,maria.ashley046@analytics.example.com
,2020-09-06,AUD,BRL,0.5052661342,Internal FX,Daily,2020-09-06 10:48:58,michael.berger060@platform.example.com
,2020-09-28,CAD,AUD,1.6185276848,Bloomberg,Daily,2020-09-28 18:13:25,eric.horton058@analytics.example.com
,2020-09-26,SGD,GBP,4.3044144265,ECB,Closing,2020-09-26 11:11:46,kelsey.taylor010@platform.example.com
,2020-09-29,EUR,GBP,1.0414881149,ECB,Closing,2020-09-29 10:49:51,michelle.sims041@analytics.example.com
,2020-09-23,BRL,GBP,0.7180379867,Internal FX,Daily,2020-09-23 02:10:52,kelsey.taylor010@platform.example.com
,2020-09-14,JPY,BRL,0.6161750062,Internal FX,Spot,2020-09-14 22:34:08,david.cabrera119@dataops.example.com
,2020-09-18,USD,BRL,1.2750665825,Reuters,Spot,2020-09-18 05:22:40,eric.horton058@analytics.example.com
,2020-09-27,CAD,SGD,1.9997854399,Reuters,Spot,2020-09-27 04:59:09,eric.horton058@analytics.example.com
,2020-09-18,GBP,INR,1.7158677985,Bloomberg,Spot,2020-09-18 07:40:29,timothy.cannon081@analytics.example.com
,2020-09-14,AED,CAD,0.5286978578,Reuters,Closing,2020-09-14 06:54:10,victor.palmer071@platform.example.com
,2020-09-08,BRL,JPY,1.6668982812,ECB,Daily,2020-09-08 15:02:57,tina.williams074@commerce.example.com
,2020-09-13,USD,CAD,2.7822404629,ECB,Daily,2020-09-13 03:18:41,michael.berger060@platform.example.com
,2020-09-22,SGD,BRL,0.5281582586,Reuters,Daily,2020-09-22 19:24:56,jennifer.hudson020@analytics.example.com
,2020-09-11,CAD,JPY,1.1313646818,ECB,Daily,2020-09-11 13:41:16,eric.mullen052@dataops.example.com
,2020-09-04,BRL,AED,2.7024188127,ECB,Spot,2020-09-04 00:45:31,michael.johnson061@platform.example.com
,2020-09-22,USD,SGD,0.7555468432,ECB,Daily,2020-09-22 19:24:15,megan.cunningham013@commerce.example.com
,2020-09-26,AED,CAD,0.8673616709,Bloomberg,Daily,2020-09-26 09:07:43,stephen.daniels076@commerce.example.com
,2020-09-15,JPY,MXN,2.7549390186,Internal FX,Closing,2020-09-15 09:17:24,john.mullins109@commerce.example.com
,2020-09-22,MXN,JPY,0.5413510114,ECB,Daily,2020-09-22 00:36:23,lance.williams029@platform.example.com
,2020-09-25,EUR,BRL,1.2937991965,ECB,Daily,2020-09-25 11:48:01,timothy.cameron104@commerce.example.com
,2020-09-22,CAD,EUR,4.0722261716,ECB,Closing,2020-09-22 06:41:51,eric.horton058@analytics.example.com
,2020-09-19,BRL,GBP,0.5168513123,Internal FX,Closing,2020-09-19 09:48:03,david.cabrera119@dataops.example.com
,2020-09-29,INR,SGD,0.7612270833,Bloomberg,Daily,2020-09-29 17:31:12,timothy.cannon081@analytics.example.com
,2020-09-28,EUR,GBP,0.6868683192,ECB,Closing,2020-09-28 10:15:54,lance.williams029@platform.example.com
,2020-09-02,BRL,AED,1.0323751053,Reuters,Daily,2020-09-02 00:12:01,eric.horton058@analytics.example.com
,2020-09-09,EUR,GBP,2.3938176381,ECB,Daily,2020-09-09 08:49:01,jennifer.hudson020@analytics.example.com
,2020-09-24,CAD,EUR,1.6608400338,Reuters,Daily,2020-09-24 21:22:28,eric.horton058@analytics.example.com
,2020-09-14,CAD,SGD,1.2811433714,Bloomberg,Daily,2020-09-14 22:04:37,timothy.cannon081@analytics.example.com
,2020-09-21,USD,AUD,0.605165935,Internal FX,Spot,2020-09-21 15:44:41,andrea.cummings039@platform.example.com
,2020-09-02,AED,BRL,0.4288912597,ECB,Closing,2020-09-02 10:21:21,megan.cunningham013@commerce.example.com
,2020-09-30,GBP,BRL,1.1832552657,Bloomberg,Spot,2020-09-30 14:34:59,stephen.daniels076@commerce.example.com
,2020-09-01,AED,MXN,1.0472094349,ECB,Closing,2020-09-01 06:31:36,andrea.cummings039@platform.example.com
,2020-09-07,INR,EUR,0.3761588528,ECB,Daily,2020-09-07 12:00:22,james.proctor094@dataops.example.com
,2020-09-22,AUD,BRL,1.0028397276,Bloomberg,Spot,2020-09-22 22:13:11,michael.berger060@platform.example.com
,2020-09-24,GBP,BRL,0.1468429592,Bloomberg,Daily,2020-09-24 10:50:12,john.mullins109@commerce.example.com
,2020-09-03,GBP,AUD,0.7639211346,Reuters,Daily,2020-09-03 04:41:18,james.proctor094@dataops.example.com
,2020-09-24,JPY,CAD,0.6751014839,Reuters,Closing,2020-09-24 13:35:35,michael.berger060@platform.example.com
,2020-09-22,INR,USD,0.4133401587,ECB,Daily,2020-09-22 06:41:10,timothy.cannon081@analytics.example.com
,2020-09-08,AUD,MXN,0.3820597544,Bloomberg,Daily,2020-09-08 00:59:10,maria.ashley046@analytics.example.com
,2020-09-13,AED,USD,1.7432420215,Bloomberg,Spot,2020-09-13 04:36:54,andrea.cummings039@platform.example.com
,2020-09-24,BRL,SGD,1.7468565002,Reuters,Closing,2020-09-24 22:36:37,michelle.sims041@analytics.example.com
,2020-09-05,INR,AED,0.17253203,Bloomberg,Closing,2020-09-05 13:19:52,timothy.cameron104@commerce.example.com
,2020-09-22,CAD,JPY,1.7799341354,Bloomberg,Closing,2020-09-22 13:44:00,timothy.cameron104@commerce.example.com
,2020-09-09,MXN,USD,0.5109382457,Bloomberg,Daily,2020-09-09 04:16:04,adam.gordon030@commerce.example.com
,2020-09-29,EUR,CAD,0.3152984566,Bloomberg,Closing,2020-09-29 00:50:39,michelle.bender024@analytics.example.com
,2020-09-12,AUD,GBP,0.6315056757,Bloomberg,Daily,2020-09-12 19:52:05,kelsey.taylor010@platform.example.com
,2020-09-14,MXN,JPY,0.4007420077,Internal FX,Spot,2020-09-14 05:04:34,tina.williams074@commerce.example.com
,2020-09-29,SGD,GBP,1.3002638906,Bloomberg,Closing,2020-09-29 20:59:40,michelle.sims041@analytics.example.com
,2020-09-07,USD,JPY,0.2879017485,Internal FX,Spot,2020-09-07 18:21:37,john.mullins109@commerce.example.com
,2020-09-22,AUD,EUR,1.4979640651,Internal FX,Daily,2020-09-22 22:59:53,susan.rice083@commerce.example.com
,2020-09-21,CAD,AED,0.7055570723,Bloomberg,Spot,2020-09-21 18:54:19,jennifer.bauer068@analytics.example.com
,2020-09-11,MXN,USD,2.6556089638,Reuters,Daily,2020-09-11 19:52:18,patrick.gonzalez035@dataops.example.com
,2020-09-13,INR,GBP,0.9548703792,Internal FX,Closing,2020-09-13 06:30:47,ashley.marks069@commerce.example.com
,2020-09-13,AUD,BRL,0.4447962706,Internal FX,Daily,2020-09-13 05:47:02,megan.cunningham013@commerce.example.com
,2020-09-12,JPY,MXN,0.2809944334,Bloomberg,Daily,2020-09-12 22:06:10,adam.gordon030@commerce.example.com
,2020-09-29,INR,MXN,0.2887659429,Reuters,Spot,2020-09-29 11:31:56,jennifer.bauer068@analytics.example.com
,2020-09-20,BRL,EUR,1.6848124404,ECB,Spot,2020-09-20 00:46:58,peter.martinez098@platform.example.com
,2020-09-11,EUR,GBP,1.8154728022,Reuters,Closing,2020-09-11 07:31:29,alyssa.richards002@commerce.example.com
,2020-09-03,AED,EUR,0.3564221912,Reuters,Spot,2020-09-03 22:39:43,james.proctor094@dataops.example.com
,2020-09-23,CAD,SGD,0.7185219019,ECB,Daily,2020-09-23 00:09:20,michael.johnson061@platform.example.com
,2020-09-26,EUR,GBP,2.561930799,ECB,Closing,2020-09-26 23:42:37,susan.rice083@commerce.example.com
,2020-09-09,INR,MXN,0.5256341145,Bloomberg,Daily,2020-09-09 03:39:13,timothy.cannon081@analytics.example.com
,2020-09-20,MXN,SGD,2.2508160911,Bloomberg,Spot,2020-09-20 06:58:13,jennifer.hudson020@analytics.example.com
,2020-09-24,AUD,CAD,0.550594674,Bloomberg,Daily,2020-09-24 18:11:34,tina.williams074@commerce.example.com
,2020-09-03,USD,SGD,0.7799943541,ECB,Closing,2020-09-03 20:42:17,michelle.sims041@analytics.example.com
,2020-09-12,AED,JPY,0.8092094433,Bloomberg,Spot,2020-09-12 00:52:13,james.proctor094@dataops.example.com
,2020-09-27,USD,BRL,0.6747074542,ECB,Daily,2020-09-27 15:29:47,peter.martinez098@platform.example.com
,2020-09-11,INR,BRL,3.0703366713,Internal FX,Closing,2020-09-11 13:27:57,jeffery.miller012@commerce.example.com
,2020-09-15,USD,INR,0.1738507941,Bloomberg,Closing,2020-09-15 07:48:43,micheal.chen050@dataops.example.com
,2020-09-21,EUR,AUD,1.4865734168,Reuters,Closing,2020-09-21 05:56:02,micheal.hall064@dataops.example.com
,2020-09-24,EUR,GBP,0.598172757,Bloomberg,Daily,2020-09-24 06:45:34,andrea.cummings039@platform.example.com
,2020-09-02,AED,MXN,1.2169736898,Internal FX,Daily,2020-09-02 06:59:57,joseph.johnson049@dataops.example.com
,2020-09-10,GBP,AUD,1.4115015808,Reuters,Spot,2020-09-10 03:43:31,adam.gordon030@commerce.example.com
,2020-09-20,AED,CAD,3.5060117942,Bloomberg,Closing,2020-09-20 10:12:45,tina.williams074@commerce.example.com
,2020-09-18,CAD,JPY,0.5713271452,Reuters,Spot,2020-09-18 03:08:06,megan.cunningham013@commerce.example.com
,2020-09-04,USD,AUD,2.4204822495,Reuters,Spot,2020-09-04 20:08:28,micheal.hall064@dataops.example.com
,2020-09-29,CAD,USD,2.457028536,Internal FX,Daily,2020-09-29 00:34:32,david.cabrera119@dataops.example.com
,2020-09-27,EUR,AUD,0.7874716641,ECB,Closing,2020-09-27 05:43:18,eric.horton058@analytics.example.com
,2020-09-27,AUD,JPY,1.8474159332,Bloomberg,Spot,2020-09-27 15:30:29,brandi.carter038@dataops.example.com
,2020-09-30,AUD,BRL,1.0050925958,Bloomberg,Daily,2020-09-30 13:52:01,taylor.cunningham023@commerce.example.com
,2020-09-26,MXN,INR,1.594132672,ECB,Daily,2020-09-26 09:19:51,john.mullins109@commerce.example.com
,2020-09-19,GBP,AUD,0.6095071753,Internal FX,Closing,2020-09-19 04:55:26,john.mullins109@commerce.example.com
,2020-09-23,USD,AUD,1.4769737329,ECB,Spot,2020-09-23 10:21:49,peter.martinez098@platform.example.com
,2020-09-09,USD,CAD,1.384662847,ECB,Spot,2020-09-09 02:41:29,stephen.clark001@analytics.example.com
,2020-09-03,SGD,CAD,2.687184184,ECB,Closing,2020-09-03 22:57:35,stephen.clark001@analytics.example.com
,2020-09-02,AED,JPY,1.7220971536,ECB,Daily,2020-09-02 21:19:08,tina.williams074@commerce.example.com
,2020-09-15,BRL,MXN,0.7643884729,Reuters,Daily,2020-09-15 16:07:00,peter.martinez098@platform.example.com
,2020-09-06,JPY,EUR,3.5087401896,Bloomberg,Spot,2020-09-06 23:39:24,john.mullins109@commerce.example.com
,2020-09-03,MXN,GBP,0.3259340001,Internal FX,Spot,2020-09-03 05:24:18,brandon.yu006@analytics.example.com
,2020-09-09,EUR,AED,0.6512151247,Internal FX,Closing,2020-09-09 02:08:14,jennifer.hudson020@analytics.example.com
,2020-09-10,AED,MXN,1.0504299729,Reuters,Closing,2020-09-10 03:22:52,maria.ashley046@analytics.example.com
,2020-09-12,SGD,INR,0.5402602137,ECB,Spot,2020-09-12 07:09:06,taylor.cunningham023@commerce.example.com
,2020-09-29,JPY,USD,2.4480159441,ECB,Daily,2020-09-29 15:21:39,alyssa.richards002@commerce.example.com
,2020-09-10,BRL,USD,3.0868552749,Bloomberg,Closing,2020-09-10 23:48:02,james.proctor094@dataops.example.com
,2020-09-12,USD,SGD,1.001438604,ECB,Spot,2020-09-12 00:24:06,stephen.daniels076@commerce.example.com
,2020-09-22,SGD,INR,0.4643393211,Bloomberg,Spot,2020-09-22 02:40:34,kelsey.taylor010@platform.example.com
,2020-09-10,SGD,MXN,1.9181149565,Bloomberg,Closing,2020-09-10 17:43:19,ryan.steele043@commerce.example.com
,2020-09-15,MXN,AED,2.001943903,Internal FX,Closing,2020-09-15 23:32:52,adam.gordon030@commerce.example.com
,2020-09-02,CAD,SGD,0.4812655047,Internal FX,Closing,2020-09-02 05:20:53,alyssa.richards002@commerce.example.com
,2020-09-21,AUD,EUR,0.6364093012,Bloomberg,Spot,2020-09-21 01:18:04,jennifer.hudson020@analytics.example.com
,2020-09-28,JPY,AUD,1.0845167299,Reuters,Closing,2020-09-28 09:47:31,eric.mullen052@dataops.example.com
,2020-09-03,INR,USD,0.7257053528,Reuters,Spot,2020-09-03 11:01:14,timothy.cameron104@commerce.example.com
