campaign_record_id,campaign_id,campaign_name,campaign_type,channel,source,medium,country_code,region_name,start_date,end_date,budget_local,spend_local,local_currency,impressions,clicks,conversions,created_at,created_by
,CAMP-2026-07-000000,Back-to-School Ever Campaign,Performance,Google Ads,Google,direct,ESP,Europe,2026-07-15,2026-08-01,163594.4,57827.66,EUR,207683,8677,457,2026-07-15 11:14:16,yolanda.vasquez005@platform.example.com
,CAMP-2026-07-000001,Back-to-School Realize Campaign,Performance,Organic,TikTok,direct,DEU,Europe,2026-07-06,2026-08-04,307619.7,117593.76,EUR,35397,1757,98,2026-07-06 21:52:32,nicholas.wilson027@analytics.example.com
,CAMP-2026-07-000002,Holiday Project Campaign,Brand,TikTok,Meta,email,JPN,Asia,2026-07-02,2026-08-06,221477.89,206075.68,JPY,74685,5152,880,2026-07-02 17:00:45,kimberly.harmon088@commerce.example.com
,CAMP-2026-07-000003,Summer Throw Campaign,Performance,Meta,Meta,affiliate,GBR,Europe,2026-07-01,2026-07-11,100649.09,65103.46,GBP,995325,75454,7459,2026-07-01 21:46:19,jimmy.washington028@commerce.example.com
,CAMP-2026-07-000004,Holiday Front Campaign,Brand,Affiliate,Meta,email,ARE,Asia,2026-07-17,2026-08-03,179204.52,62984.42,AED,396541,16925,2007,2026-07-17 19:41:45,stephen.jordan063@commerce.example.com
,CAMP-2026-07-000005,Member There Campaign,Seasonal,Organic,Meta,affiliate,IND,Asia,2026-07-02,2026-07-11,282178.29,213286.04,INR,184559,12470,1982,2026-07-02 21:52:51,victor.palmer071@platform.example.com
,CAMP-2026-07-000006,Back-to-School Approach Campaign,Performance,Google Ads,Meta,affiliate,FRA,Europe,2026-07-27,2026-08-31,405408.69,132508.7,EUR,481728,36040,757,2026-07-27 04:15:59,ashley.marks069@commerce.example.com
,CAMP-2026-07-000007,Winter Successful Campaign,Flash Sale,Email,Meta,direct,IND,Asia,2026-07-07,2026-07-15,146248.33,126503.75,INR,135351,4286,450,2026-07-07 08:51:14,rebecca.white032@dataops.example.com
,CAMP-2026-07-000008,Back-to-School Wall Campaign,Seasonal,Email,Partner,social,GBR,Europe,2026-07-30,2026-08-11,51540.37,25501.49,GBP,240335,3575,280,2026-07-30 10:25:08,nicholas.wilson027@analytics.example.com
,CAMP-2026-07-000009,Winter Speech Campaign,Retention,Affiliate,Meta,referral,ESP,Europe,2026-07-19,2026-08-16,234689.07,73295.26,EUR,59521,3674,201,2026-07-19 15:27:26,kenneth.rodgers059@analytics.example.com
,CAMP-2026-07-000010,Growth Couple Campaign,Performance,Display,Meta,referral,AUS,Oceania,2026-07-11,2026-08-06,3240.86,2961.5,AUD,73420,1820,95,2026-07-11 18:52:29,elizabeth.olsen066@platform.example.com
,CAMP-2026-07-000011,Growth Yes Campaign,Performance,Display,CRM,affiliate,GBR,Europe,2026-07-14,2026-07-22,487137.76,272457.62,GBP,123370,5798,312,2026-07-14 23:34:35,darren.anderson025@dataops.example.com
,CAMP-2026-07-000012,Member Music Campaign,Brand,Meta,TikTok,email,IND,Asia,2026-07-31,2026-08-16,425228.28,154678.22,INR,35652,1300,198,2026-07-31 14:17:59,michelle.bender024@analytics.example.com
,CAMP-2026-07-000013,Back-to-School Pass Campaign,Flash Sale,Email,TikTok,cpc,FRA,Europe,2026-07-25,2026-08-17,405886.61,281400.22,EUR,264027,9130,265,2026-07-25 13:53:46,brandi.carter038@dataops.example.com
,CAMP-2026-07-000014,Back-to-School Authority Campaign,Retention,TikTok,CRM,affiliate,BRA,South America,2026-07-21,2026-07-27,68741.5,41703.16,BRL,9805,538,14,2026-07-21 13:44:50,jennifer.atkins003@platform.example.com
,CAMP-2026-07-000015,Holiday Mention Campaign,Launch,TikTok,CRM,email,FRA,Europe,2026-07-10,2026-07-14,169925.71,74840.59,EUR,86449,1342,156,2026-07-10 07:43:02,maria.ashley046@analytics.example.com
,CAMP-2026-07-000016,Holiday Alone Campaign,Flash Sale,Organic,CRM,direct,FRA,Europe,2026-07-30,2026-08-15,124614.88,51147.78,EUR,306613,15240,1891,2026-07-30 11:42:51,tara.hansen055@dataops.example.com
,CAMP-2026-07-000017,Summer Force Campaign,Launch,Affiliate,TikTok,email,MEX,North America,2026-07-18,2026-07-27,43260.98,21864.09,MXN,106397,4570,695,2026-07-18 18:25:44,jennifer.bauer068@analytics.example.com
,CAMP-2026-07-000018,Growth Learn Campaign,Launch,Affiliate,TikTok,affiliate,USA,North America,2026-07-28,2026-08-01,5984.59,5112.58,USD,190782,5817,499,2026-07-28 18:43:50,brian.banks011@platform.example.com
,CAMP-2026-07-000019,Summer Allow Campaign,Flash Sale,Meta,Partner,organic,ITA,Europe,2026-07-10,2026-08-03,30254.37,15306.01,EUR,194626,2518,359,2026-07-10 03:50:56,carol.bonilla067@analytics.example.com
,CAMP-2026-07-000020,Winter Avoid Campaign,Performance,Meta,Partner,social,SGP,Asia,2026-07-19,2026-07-28,471633.54,396687.14,SGD,34198,1716,266,2026-07-19 08:12:49,jason.franklin045@dataops.example.com
,CAMP-2026-07-000021,Growth Those Campaign,Retention,Meta,Partner,cpc,ITA,Europe,2026-07-23,2026-08-05,9959.87,7644.24,EUR,128468,3926,537,2026-07-23 00:16:24,stephen.clark001@analytics.example.com
,CAMP-2026-07-000022,Member Vote Campaign,Seasonal,Meta,Meta,direct,MEX,North America,2026-07-21,2026-08-12,461814.53,390422.81,MXN,54472,4106,229,2026-07-21 06:39:55,brittany.barber031@commerce.example.com
,CAMP-2026-07-000023,Back-to-School Wall Campaign,Brand,Display,TikTok,email,GBR,Europe,2026-07-23,2026-08-06,329933.36,126551.64,GBP,109120,6439,664,2026-07-23 03:00:56,nancy.gross008@dataops.example.com
,CAMP-2026-07-000024,Member Little Campaign,Brand,Email,TikTok,cpc,SGP,Asia,2026-07-27,2026-08-07,382202.81,243596.55,SGD,84024,4835,786,2026-07-27 11:16:48,judy.rogers086@platform.example.com
,CAMP-2026-07-000025,Summer Wall Campaign,Seasonal,Email,TikTok,social,BRA,South America,2026-07-04,2026-07-24,256993.56,148025.43,BRL,59204,3495,467,2026-07-04 17:21:19,timothy.cannon081@analytics.example.com
,CAMP-2026-07-000026,Summer Fire Campaign,Launch,TikTok,Partner,organic,GBR,Europe,2026-07-21,2026-08-03,129859.95,99844.84,GBP,173313,7167,954,2026-07-21 06:32:25,stephen.jordan063@commerce.example.com
,CAMP-2026-07-000027,Summer Religious Campaign,Seasonal,Display,CRM,social,JPN,Asia,2026-07-03,2026-07-07,361879.86,318843.89,JPY,354292,25551,3832,2026-07-03 18:12:13,stephen.jordan063@commerce.example.com
,CAMP-2026-07-000028,Holiday State Campaign,Launch,TikTok,TikTok,social,FRA,Europe,2026-07-02,2026-07-29,418138.06,228243.84,EUR,78435,6053,361,2026-07-02 02:28:21,megan.cunningham013@commerce.example.com
,CAMP-2026-07-000029,Holiday Minute Campaign,Retention,Meta,Meta,referral,SGP,Asia,2026-07-21,2026-07-27,224962.6,163400.99,SGD,207513,10740,257,2026-07-21 14:27:07,allen.foster026@dataops.example.com
,CAMP-2026-07-000030,Summer Practice Campaign,Retention,Google Ads,Google,organic,CAN,North America,2026-07-18,2026-08-02,168992.36,82158.83,CAD,89093,2297,347,2026-07-18 11:52:58,timothy.cannon081@analytics.example.com
,CAMP-2026-07-000031,Member Out Campaign,Performance,Display,Meta,affiliate,ARE,Asia,2026-07-23,2026-08-01,102960.56,68050.96,AED,102804,1731,183,2026-07-23 02:58:55,katelyn.pitts017@commerce.example.com
,CAMP-2026-07-000032,Back-to-School White Campaign,Retention,Meta,CRM,affiliate,ARE,Asia,2026-07-09,2026-08-03,183201.12,74582.08,AED,115046,4399,107,2026-07-09 14:36:59,eric.horton058@analytics.example.com
,CAMP-2026-07-000033,Member Look Campaign,Flash Sale,Display,Google,email,NLD,Europe,2026-07-29,2026-08-12,198193.19,166393.5,EUR,247083,9174,580,2026-07-29 04:24:41,elizabeth.mullins042@platform.example.com
,CAMP-2026-07-000034,Winter Mrs Campaign,Brand,Meta,Meta,affiliate,BRA,South America,2026-07-28,2026-08-03,350239.93,254850.8,BRL,94436,2822,113,2026-07-28 17:04:52,dominic.hodges075@platform.example.com
,CAMP-2026-07-000035,Winter Former Campaign,Brand,Email,Meta,affiliate,CAN,North America,2026-07-20,2026-08-02,417089.24,226668.97,CAD,169416,7665,709,2026-07-20 19:11:52,kelsey.taylor010@platform.example.com
,CAMP-2026-07-000036,Holiday Draw Campaign,Seasonal,Affiliate,Meta,social,ARE,Asia,2026-07-28,2026-08-11,443721.34,301080.11,AED,207125,15183,2195,2026-07-28 09:00:49,jennifer.shepherd015@analytics.example.com
,CAMP-2026-07-000037,Holiday Be Campaign,Seasonal,Affiliate,Partner,direct,SGP,Asia,2026-07-28,2026-08-10,163760.84,143961.42,SGD,180894,8033,875,2026-07-28 20:04:38,chelsea.patel065@commerce.example.com
,CAMP-2026-07-000038,Growth Field Campaign,Seasonal,TikTok,Google,direct,MEX,North America,2026-07-26,2026-08-16,341537.69,318139.38,MXN,317418,24736,503,2026-07-26 03:56:19,megan.cunningham013@commerce.example.com
,CAMP-2026-07-000039,Back-to-School Owner Campaign,Performance,Google Ads,Google,direct,ESP,Europe,2026-07-20,2026-08-13,416640.38,130482.77,EUR,49826,2010,284,2026-07-20 02:19:46,willie.long016@dataops.example.com
,CAMP-2026-07-000040,Holiday Exist Campaign,Seasonal,Display,CRM,direct,JPN,Asia,2026-07-12,2026-07-27,357432.85,238423.68,JPY,57805,4623,97,2026-07-12 03:34:18,kelsey.taylor010@platform.example.com
,CAMP-2026-07-000041,Winter Upon Campaign,Launch,TikTok,Meta,social,GBR,Europe,2026-07-28,2026-08-09,121187.34,79068.36,GBP,96877,4372,703,2026-07-28 16:23:08,michael.brewer084@analytics.example.com
,CAMP-2026-07-000042,Holiday Bill Campaign,Brand,TikTok,Meta,cpc,GBR,Europe,2026-07-12,2026-07-28,24594.37,10058.45,GBP,149291,2120,58,2026-07-12 06:40:10,patrick.gonzalez035@dataops.example.com
,CAMP-2026-07-000043,Holiday Down Campaign,Launch,Email,Partner,social,ARE,Asia,2026-07-04,2026-08-02,42138.33,18889.56,AED,33374,2102,259,2026-07-04 08:42:48,christine.carter078@commerce.example.com
,CAMP-2026-07-000044,Winter Coach Campaign,Performance,Organic,Partner,social,GBR,Europe,2026-07-02,2026-07-11,87158.42,30648.5,GBP,400082,17392,1568,2026-07-02 19:54:19,allen.foster026@dataops.example.com
,CAMP-2026-07-000045,Member Detail Campaign,Launch,Affiliate,Meta,referral,MEX,North America,2026-07-26,2026-08-13,46704.21,29217.59,MXN,458432,21591,2975,2026-07-26 21:15:35,taylor.cunningham023@commerce.example.com
,CAMP-2026-07-000046,Growth Than Campaign,Seasonal,TikTok,Partner,social,ESP,Europe,2026-07-16,2026-08-10,279356.61,189384.68,EUR,37251,540,44,2026-07-16 11:07:50,megan.cunningham013@commerce.example.com
,CAMP-2026-07-000047,Winter Nation Campaign,Retention,Display,Meta,affiliate,ITA,Europe,2026-07-26,2026-08-12,218818.41,164176.28,EUR,50159,3342,587,2026-07-26 22:05:08,allen.foster026@dataops.example.com
,CAMP-2026-07-000048,Summer Son Campaign,Flash Sale,TikTok,Partner,organic,ESP,Europe,2026-07-02,2026-08-02,197733.84,162740.29,EUR,80313,5606,717,2026-07-02 03:00:56,stephen.clark001@analytics.example.com
,CAMP-2026-07-000049,Winter Walk Campaign,Flash Sale,Email,Partner,social,NLD,Europe,2026-07-12,2026-08-05,28627.27,16821.43,EUR,54367,891,132,2026-07-12 13:24:48,curtis.williams033@dataops.example.com
,CAMP-2026-07-000050,Member Site Campaign,Retention,Organic,Google,cpc,MEX,North America,2026-07-07,2026-08-10,41859.25,20007.54,MXN,99080,3627,588,2026-07-07 23:16:59,raymond.pineda079@platform.example.com
,CAMP-2026-07-000051,Holiday Use Campaign,Performance,Display,Meta,affiliate,AUS,Oceania,2026-07-03,2026-07-06,418724.67,137186.81,AUD,55214,4075,104,2026-07-03 20:07:28,samantha.villa073@commerce.example.com
,CAMP-2026-07-000052,Winter Them Campaign,Performance,Meta,TikTok,direct,AUS,Oceania,2026-07-18,2026-08-06,299974.04,148360.53,AUD,42102,481,30,2026-07-18 11:18:40,victoria.medina044@dataops.example.com
,CAMP-2026-07-000053,Growth Catch Campaign,Retention,Organic,CRM,email,ESP,Europe,2026-07-25,2026-08-10,17662.94,15880.04,EUR,103438,3011,184,2026-07-25 07:39:30,jennifer.shepherd015@analytics.example.com
,CAMP-2026-07-000054,Back-to-School Coach Campaign,Brand,Display,Meta,referral,MEX,North America,2026-07-30,2026-08-22,278609.86,171411.65,MXN,89463,4565,507,2026-07-30 13:32:06,michael.johnson061@platform.example.com
,CAMP-2026-07-000055,Winter Story Campaign,Brand,Google Ads,Partner,affiliate,JPN,Asia,2026-07-12,2026-08-10,442548.31,446549.18,JPY,99120,2790,72,2026-07-12 13:32:26,linda.daniels047@dataops.example.com
,CAMP-2026-07-000056,Winter About Campaign,Seasonal,Organic,Partner,cpc,DEU,Europe,2026-07-25,2026-07-29,365508.88,221940.77,EUR,530198,7624,97,2026-07-25 22:32:00,kimberly.harmon088@commerce.example.com
,CAMP-2026-07-000057,Growth Debate Campaign,Flash Sale,Affiliate,Google,cpc,ITA,Europe,2026-07-06,2026-07-12,36766.57,15570.24,EUR,213584,3283,549,2026-07-06 07:00:04,denise.beck077@analytics.example.com
,CAMP-2026-07-000058,Summer While Campaign,Retention,Organic,Partner,cpc,BRA,South America,2026-07-12,2026-07-20,155882.53,85994.76,BRL,12985,642,58,2026-07-12 19:49:14,renee.harvey080@dataops.example.com
,CAMP-2026-07-000059,Back-to-School System Campaign,Performance,Meta,Google,organic,DEU,Europe,2026-07-21,2026-08-16,377638.36,125068.93,EUR,35196,1868,264,2026-07-21 08:04:06,kathleen.white007@analytics.example.com
,CAMP-2026-07-000060,Back-to-School By Campaign,Flash Sale,Email,CRM,email,ARE,Asia,2026-07-19,2026-08-07,355718.9,306603.09,AED,215557,13260,837,2026-07-19 06:41:28,stephen.daniels076@commerce.example.com
,CAMP-2026-07-000061,Winter Front Campaign,Seasonal,Affiliate,TikTok,cpc,FRA,Europe,2026-07-27,2026-08-31,181652.58,139769.1,EUR,72085,4486,65,2026-07-27 05:23:54,brittany.barber031@commerce.example.com
,CAMP-2026-07-000062,Summer Less Campaign,Retention,Email,Meta,direct,FRA,Europe,2026-07-08,2026-08-12,186266.02,81753.68,EUR,15301,1127,62,2026-07-08 00:50:05,eric.mullen052@dataops.example.com
,CAMP-2026-07-000063,Back-to-School Event Campaign,Brand,Email,Partner,direct,GBR,Europe,2026-07-27,2026-08-06,291361.95,220144.4,GBP,234076,15128,2432,2026-07-27 13:00:52,curtis.williams033@dataops.example.com
,CAMP-2026-07-000064,Back-to-School Ahead Campaign,Brand,Email,CRM,social,CAN,North America,2026-07-03,2026-07-30,74107.37,60537.55,CAD,28410,345,58,2026-07-03 12:55:30,samantha.villa073@commerce.example.com
