campaign_record_id,campaign_id,campaign_name,campaign_type,channel,source,medium,country_code,region_name,start_date,end_date,budget_local,spend_local,local_currency,impressions,clicks,conversions,created_at,created_by
,CAMP-2021-12-000000,Member Down Campaign,Brand,Meta,Meta,organic,GBR,Europe,2021-12-30,2022-01-16,485632.53,385019.97,GBP,998674,34960,844,2021-12-30 13:30:27,megan.cunningham013@commerce.example.com
,CAMP-2021-12-000001,Winter Tv Campaign,Seasonal,Email,CRM,social,FRA,Europe,2021-12-11,2021-12-22,307485.77,167924.62,EUR,62317,847,18,2021-12-11 04:48:17,michelle.sims041@analytics.example.com
,CAMP-2021-12-000002,Holiday Seat Campaign,Flash Sale,Affiliate,Partner,direct,USA,North America,2021-12-27,2022-01-07,97153.23,82906.41,USD,57546,3828,389,2021-12-27 22:47:43,jennifer.hudson020@analytics.example.com
,CAMP-2021-12-000003,Back-to-School Throughout Campaign,Brand,Google Ads,TikTok,email,NLD,Europe,2021-12-05,2021-12-08,257228.65,140088.0,EUR,51902,3307,67,2021-12-05 03:00:49,micheal.hall064@dataops.example.com
,CAMP-2021-12-000004,Summer Me Campaign,Flash Sale,Google Ads,Partner,affiliate,BRA,South America,2021-12-26,2022-01-25,24905.87,19673.06,BRL,94131,3213,137,2021-12-26 15:08:04,patrick.gonzalez035@dataops.example.com
,CAMP-2021-12-000005,Winter More Campaign,Seasonal,Email,Partner,affiliate,MEX,North America,2021-12-18,2021-12-31,155783.82,58633.26,MXN,136903,2534,351,2021-12-18 17:12:11,grace.gonzales099@dataops.example.com
,CAMP-2021-12-000006,Holiday Story Campaign,Retention,Display,TikTok,affiliate,JPN,Asia,2021-12-07,2022-01-07,23214.48,11079.14,JPY,61749,1760,125,2021-12-07 10:20:46,michael.johnson061@platform.example.com
,CAMP-2021-12-000007,Summer Recognize Campaign,Brand,TikTok,Google,affiliate,IND,Asia,2021-12-26,2021-12-31,382873.99,265819.75,INR,21416,1034,59,2021-12-26 23:17:45,christine.carter078@commerce.example.com
,CAMP-2021-12-000008,Winter Quality Campaign,Retention,Meta,Partner,cpc,CAN,North America,2021-12-30,2022-01-31,25033.84,20958.9,CAD,89632,3728,550,2021-12-30 09:08:03,joann.clark089@commerce.example.com
,CAMP-2021-12-000009,Member American Campaign,Flash Sale,Meta,TikTok,social,NLD,Europe,2021-12-25,2022-01-12,314373.01,253723.88,EUR,273440,4982,859,2021-12-25 05:04:45,stephen.daniels076@commerce.example.com
,CAMP-2021-12-000010,Member Artist Campaign,Performance,Organic,Partner,social,USA,North America,2021-12-31,2022-01-21,411253.65,387393.07,USD,89004,3054,140,2021-12-31 00:46:04,michelle.sims041@analytics.example.com
,CAMP-2021-12-000011,Back-to-School Physical Campaign,Seasonal,Display,TikTok,direct,NLD,Europe,2021-12-04,2022-01-02,7557.94,5403.52,EUR,118153,4243,729,2021-12-04 18:26:09,joann.clark089@commerce.example.com
,CAMP-2021-12-000012,Growth Else Campaign,Launch,TikTok,TikTok,referral,JPN,Asia,2021-12-05,2022-01-09,134559.34,80478.11,JPY,184799,9659,740,2021-12-05 15:04:01,patrick.gonzalez035@dataops.example.com
,CAMP-2021-12-000013,Growth These Campaign,Flash Sale,Display,Partner,affiliate,NLD,Europe,2021-12-20,2022-01-14,393438.12,146273.42,EUR,110351,2383,185,2021-12-20 19:03:43,andrew.ellis102@analytics.example.com
,CAMP-2021-12-000014,Summer Cause Campaign,Brand,Affiliate,CRM,referral,DEU,Europe,2021-12-12,2021-12-26,274985.91,247882.49,EUR,72288,5660,272,2021-12-12 09:45:59,jennifer.hudson020@analytics.example.com
,CAMP-2021-12-000015,Growth Once Campaign,Brand,Affiliate,Meta,cpc,IND,Asia,2021-12-30,2022-01-02,152676.68,103347.05,INR,121112,4165,306,2021-12-30 01:56:57,maria.ashley046@analytics.example.com
,CAMP-2021-12-000016,Holiday Most Campaign,Launch,Meta,CRM,direct,IND,Asia,2021-12-17,2022-01-10,343593.76,121407.33,INR,396411,9774,430,2021-12-17 02:19:17,tina.williams074@commerce.example.com
,CAMP-2021-12-000017,Summer Unit Campaign,Flash Sale,Organic,Partner,direct,JPN,Asia,2021-12-27,2022-01-10,5661.67,3290.98,JPY,164759,12129,984,2021-12-27 09:25:39,troy.boone097@platform.example.com
,CAMP-2021-12-000018,Summer Then Campaign,Brand,TikTok,Meta,email,SGP,Asia,2021-12-02,2021-12-25,236238.28,105307.73,SGD,100006,1241,122,2021-12-02 14:19:24,patrick.gonzalez035@dataops.example.com
