payment_record_id,payment_id,order_id,customer_id,payment_timestamp,payment_method,payment_status,payment_amount_local,local_currency,country_code,region_name,failure_reason,refund_flag,created_at,created_by
,PAY-202105-00000000000,ORD-202105-0000003326,CUST-0000303143,2021-05-27 02:29:53,Credit Card,Success,2472.74,EUR,NLD,Europe,,false,2021-05-27 02:29:53,lance.williams029@platform.example.com
,PAY-202105-00000000001,ORD-202105-0000001084,CUST-0000301631,2021-05-10 03:51:21,Bank Transfer,Success,2227.23,EUR,DEU,Europe,,false,2021-05-10 03:51:21,anita.garcia021@dataops.example.com
,PAY-202105-00000000002,ORD-202105-0000005485,CUST-0000299872,2021-05-13 14:42:51,PayPal,Success,693.49,USD,USA,North America,,false,2021-05-13 14:42:51,adam.gordon030@commerce.example.com
,PAY-202105-00000000003,ORD-202105-0000004662,CUST-0000301708,2021-05-02 13:30:49,Credit Card,Success,961.33,GBP,GBR,Europe,,false,2021-05-02 13:30:49,tiffany.freeman101@analytics.example.com
,PAY-202105-00000000004,ORD-202105-0000004206,CUST-0000315984,2021-05-02 08:03:43,Apple Pay,Success,320.13,MXN,MEX,North America,,false,2021-05-02 08:03:43,stephen.clark001@analytics.example.com
,PAY-202105-00000000005,ORD-202105-0000004985,CUST-0000302419,2021-05-07 18:28:00,Credit Card,Success,2957.7,GBP,GBR,Europe,,false,2021-05-07 18:28:00,adam.gordon030@commerce.example.com
,PAY-202105-00000000006,ORD-202105-0000000693,CUST-0000310129,2021-05-26 22:47:11,Buy Now Pay Later,Success,2682.62,USD,USA,North America,,false,2021-05-26 22:47:11,patrick.gonzalez035@dataops.example.com
,PAY-202105-00000000007,ORD-202105-0000005215,CUST-0000301482,2021-05-04 09:46:30,Google Pay,Success,1145.29,GBP,GBR,Europe,,false,2021-05-04 09:46:30,michelle.bender024@analytics.example.com
,PAY-202105-00000000008,ORD-202105-0000000826,CUST-0000306504,2021-05-21 21:29:24,Phonepe,Success,430.02,EUR,FRA,Europe,,false,2021-05-21 21:29:24,michelle.bender024@analytics.example.com
,PAY-202105-00000000009,ORD-202105-0000000209,CUST-0000307749,2021-05-27 06:34:01,Gift Card,Success,23.17,EUR,ITA,Europe,,false,2021-05-27 06:34:01,ashley.marks069@commerce.example.com
,PAY-202105-00000000010,ORD-202105-0000005652,CUST-0000306742,2021-05-03 02:27:55,Buy Now Pay Later,Success,2013.81,AUD,AUS,Oceania,,false,2021-05-03 02:27:55,micheal.chen050@dataops.example.com
,PAY-202105-00000000011,ORD-202105-0000004459,CUST-0000299407,2021-05-27 16:40:17,Gift Card,Success,736.36,MXN,MEX,North America,,false,2021-05-27 16:40:17,michelle.bender024@analytics.example.com
,PAY-202105-00000000012,ORD-202105-0000002937,CUST-0000313421,2021-05-21 08:17:32,Apple Pay,Success,2929.73,EUR,DEU,Europe,,false,2021-05-21 08:17:32,jeffery.miller012@commerce.example.com
,PAY-202105-00000000013,ORD-202105-0000005298,CUST-0000300211,2021-05-06 02:46:52,Apple Pay,Success,1209.14,EUR,FRA,Europe,,false,2021-05-06 02:46:52,grace.gonzales099@dataops.example.com
,PAY-202105-00000000014,ORD-202105-0000003308,CUST-0000299922,2021-05-29 06:57:18,PayPal,Success,2116.46,EUR,ESP,Europe,,false,2021-05-29 06:57:18,brandi.carter038@dataops.example.com
,PAY-202105-00000000015,ORD-202105-0000000728,CUST-0000306605,2021-05-15 11:47:57,Paytm,Success,3065.52,EUR,FRA,Europe,,false,2021-05-15 11:47:57,brandi.carter038@dataops.example.com
,PAY-202105-00000000016,ORD-202105-0000003668,CUST-0000308303,2021-05-08 18:06:46,Phonepe,Success,1964.92,EUR,DEU,Europe,,false,2021-05-08 18:06:46,jennifer.hudson020@analytics.example.com
,PAY-202105-00000000017,ORD-202105-0000002643,CUST-0000303498,2021-05-24 20:32:34,Phonepe,Success,16.74,JPY,JPN,Asia,,false,2021-05-24 20:32:34,eric.horton058@analytics.example.com
,PAY-202105-00000000018,ORD-202105-0000000296,CUST-0000309329,2021-05-13 13:24:03,Credit Card,Pending,3390.51,MXN,MEX,North America,,false,2021-05-13 13:24:03,jennifer.bauer068@analytics.example.com
,PAY-202105-00000000019,ORD-202105-0000000230,CUST-0000312138,2021-05-06 20:15:47,Google Pay,Success,2074.73,USD,USA,North America,,false,2021-05-06 20:15:47,stephen.clark001@analytics.example.com
,PAY-202105-00000000020,ORD-202105-0000000538,CUST-0000306531,2021-05-25 11:41:46,Debit Card,Success,848.05,INR,IND,Asia,,false,2021-05-25 11:41:46,patrick.gonzalez035@dataops.example.com
,PAY-202105-00000000021,ORD-202105-0000004367,CUST-0000315569,2021-05-30 07:05:40,Buy Now Pay Later,Success,181.24,EUR,NLD,Europe,,false,2021-05-30 07:05:40,victoria.medina044@dataops.example.com
,PAY-202105-00000000022,ORD-202105-0000001061,CUST-0000307697,2021-05-21 04:18:18,Gift Card,Success,1998.01,AUD,AUS,Oceania,,false,2021-05-21 04:18:18,tina.williams074@commerce.example.com
,PAY-202105-00000000023,ORD-202105-0000002195,CUST-0000304895,2021-05-22 16:51:39,Google Pay,Success,225.23,AUD,AUS,Oceania,,false,2021-05-22 16:51:39,patrick.gonzalez035@dataops.example.com
,PAY-202105-00000000024,ORD-202105-0000002608,CUST-0000314239,2021-05-05 03:21:40,Buy Now Pay Later,Success,3310.91,EUR,DEU,Europe,,false,2021-05-05 03:21:40,brandon.yu006@analytics.example.com
,PAY-202105-00000000025,ORD-202105-0000000723,CUST-0000302717,2021-05-16 13:20:13,Buy Now Pay Later,Success,981.4,GBP,GBR,Europe,,false,2021-05-16 13:20:13,micheal.chen050@dataops.example.com
,PAY-202105-00000000026,ORD-202105-0000002413,CUST-0000307218,2021-05-06 10:00:30,Paytm,Success,1634.28,BRL,BRA,South America,,false,2021-05-06 10:00:30,joseph.johnson049@dataops.example.com
,PAY-202105-00000000027,ORD-202105-0000005105,CUST-0000306136,2021-05-21 22:55:39,Credit Card,Success,562.95,MXN,MEX,North America,,false,2021-05-21 22:55:39,brandon.yu006@analytics.example.com
,PAY-202105-00000000028,ORD-202105-0000004038,CUST-0000301635,2021-05-13 05:27:36,Paytm,Success,2209.78,SGD,SGP,Asia,,false,2021-05-13 05:27:36,maria.ashley046@analytics.example.com
,PAY-202105-00000000029,ORD-202105-0000003809,CUST-0000301550,2021-05-19 20:25:35,Apple Pay,Success,949.93,GBP,GBR,Europe,,false,2021-05-19 20:25:35,patrick.gonzalez035@dataops.example.com
,PAY-202105-00000000030,ORD-202105-0000002315,CUST-0000300580,2021-05-28 13:35:58,Bank Transfer,Success,3208.3,JPY,JPN,Asia,,false,2021-05-28 13:35:58,joseph.johnson049@dataops.example.com
,PAY-202105-00000000031,ORD-202105-0000005709,CUST-0000306383,2021-05-24 01:57:00,Credit Card,Success,814.84,EUR,FRA,Europe,,false,2021-05-24 01:57:00,joseph.johnson049@dataops.example.com
,PAY-202105-00000000032,ORD-202105-0000001895,CUST-0000315692,2021-05-04 04:48:11,Apple Pay,Success,2189.56,USD,USA,North America,,false,2021-05-04 04:48:11,tiffany.freeman101@analytics.example.com
,PAY-202105-00000000033,ORD-202105-0000004907,CUST-0000308077,2021-05-07 13:59:19,Credit Card,Success,37.85,SGD,SGP,Asia,,false,2021-05-07 13:59:19,alyssa.richards002@commerce.example.com
,PAY-202105-00000000034,ORD-202105-0000000151,CUST-0000314643,2021-05-10 21:06:14,Buy Now Pay Later,Success,2121.56,MXN,MEX,North America,,false,2021-05-10 21:06:14,tina.williams074@commerce.example.com
,PAY-202105-00000000035,ORD-202105-0000002760,CUST-0000312437,2021-05-24 08:43:44,Buy Now Pay Later,Success,3341.9,GBP,GBR,Europe,,false,2021-05-24 08:43:44,brandon.yu006@analytics.example.com
,PAY-202105-00000000036,ORD-202105-0000000341,CUST-0000303642,2021-05-27 14:09:33,Bank Transfer,Success,1267.95,EUR,DEU,Europe,,false,2021-05-27 14:09:33,victor.palmer071@platform.example.com
,PAY-202105-00000000037,ORD-202105-0000005363,CUST-0000311291,2021-05-23 13:44:33,Paytm,Success,3163.62,EUR,ESP,Europe,,false,2021-05-23 13:44:33,alyssa.richards002@commerce.example.com
,PAY-202105-00000000038,ORD-202105-0000006054,CUST-0000307385,2021-05-13 06:14:57,Google Pay,Success,2870.08,EUR,ITA,Europe,,false,2021-05-13 06:14:57,maria.ashley046@analytics.example.com
,PAY-202105-00000000039,ORD-202105-0000004148,CUST-0000299177,2021-05-07 03:33:54,Apple Pay,Success,3290.74,CAD,CAN,North America,,false,2021-05-07 03:33:54,timothy.cameron104@commerce.example.com
,PAY-202105-00000000040,ORD-202105-0000000082,CUST-0000298936,2021-05-19 10:30:28,Phonepe,Success,903.65,JPY,JPN,Asia,,false,2021-05-19 10:30:28,christine.carter078@commerce.example.com
,PAY-202105-00000000041,ORD-202105-0000004532,CUST-0000308451,2021-05-18 09:49:07,Phonepe,Pending,3450.74,EUR,ESP,Europe,,false,2021-05-18 09:49:07,brandon.yu006@analytics.example.com
,PAY-202105-00000000042,ORD-202105-0000000650,CUST-0000313460,2021-05-14 13:09:01,Credit Card,Success,823.98,JPY,JPN,Asia,,false,2021-05-14 13:09:01,peter.martinez098@platform.example.com
,PAY-202105-00000000043,ORD-202105-0000001082,CUST-0000306793,2021-05-18 13:10:52,PayPal,Success,2792.56,EUR,DEU,Europe,,false,2021-05-18 13:10:52,jason.franklin045@dataops.example.com
,PAY-202105-00000000044,ORD-202105-0000000779,CUST-0000308745,2021-05-27 14:20:37,Bank Transfer,Failed,81.88,USD,USA,North America,Insufficient funds,false,2021-05-27 14:20:37,victoria.medina044@dataops.example.com
,PAY-202105-00000000045,ORD-202105-0000002045,CUST-0000299650,2021-05-14 23:25:40,Debit Card,Success,1819.71,EUR,ITA,Europe,,false,2021-05-14 23:25:40,tina.williams074@commerce.example.com
,PAY-202105-00000000046,ORD-202105-0000000656,CUST-0000307522,2021-05-24 11:41:59,Debit Card,Success,3013.53,INR,IND,Asia,,false,2021-05-24 11:41:59,eric.mullen052@dataops.example.com
,PAY-202105-00000000047,ORD-202105-0000004691,CUST-0000307853,2021-05-05 17:41:25,Credit Card,Success,2342.58,GBP,GBR,Europe,,false,2021-05-05 17:41:25,kelsey.taylor010@platform.example.com
,PAY-202105-00000000048,ORD-202105-0000003725,CUST-0000311651,2021-05-05 03:31:41,Debit Card,Success,760.61,EUR,ITA,Europe,,false,2021-05-05 03:31:41,lance.williams029@platform.example.com
,PAY-202105-00000000049,ORD-202105-0000005680,CUST-0000300453,2021-05-08 16:28:24,Gift Card,Refunded,2963.18,INR,IND,Asia,,true,2021-05-08 16:28:24,timothy.cameron104@commerce.example.com
,PAY-202105-00000000050,ORD-202105-0000004131,CUST-0000309052,2021-05-08 05:31:22,Paytm,Success,2876.54,EUR,DEU,Europe,,false,2021-05-08 05:31:22,micheal.chen050@dataops.example.com
,PAY-202105-00000000051,ORD-202105-0000002038,CUST-0000299563,2021-05-14 09:21:17,Credit Card,Success,1639.13,GBP,GBR,Europe,,false,2021-05-14 09:21:17,megan.cunningham013@commerce.example.com
,PAY-202105-00000000052,ORD-202105-0000004297,CUST-0000307611,2021-05-11 18:20:29,Credit Card,Success,778.35,EUR,DEU,Europe,,false,2021-05-11 18:20:29,sylvia.diaz107@dataops.example.com
,PAY-202105-00000000053,ORD-202105-0000000004,CUST-0000307360,2021-05-15 06:25:23,Buy Now Pay Later,Success,3458.45,EUR,DEU,Europe,,false,2021-05-15 06:25:23,ashley.marks069@commerce.example.com
,PAY-202105-00000000054,ORD-202105-0000005915,CUST-0000308631,2021-05-22 09:06:06,Google Pay,Success,3473.05,AED,ARE,Asia,,false,2021-05-22 09:06:06,joseph.johnson049@dataops.example.com
,PAY-202105-00000000055,ORD-202105-0000005109,CUST-0000302136,2021-05-30 20:05:23,Apple Pay,Success,2471.11,GBP,GBR,Europe,,false,2021-05-30 20:05:23,lance.williams029@platform.example.com
,PAY-202105-00000000056,ORD-202105-0000001617,CUST-0000303905,2021-05-20 17:34:35,Buy Now Pay Later,Success,784.69,EUR,DEU,Europe,,false,2021-05-20 17:34:35,michelle.bender024@analytics.example.com
,PAY-202105-00000000057,ORD-202105-0000000302,CUST-0000307187,2021-05-14 23:52:34,Credit Card,Success,2333.52,INR,IND,Asia,,false,2021-05-14 23:52:34,megan.cunningham013@commerce.example.com
,PAY-202105-00000000058,ORD-202105-0000003686,CUST-0000310548,2021-05-18 15:19:05,Bank Transfer,Success,2852.12,INR,IND,Asia,,false,2021-05-18 15:19:05,stephen.clark001@analytics.example.com
,PAY-202105-00000000059,ORD-202105-0000004121,CUST-0000304406,2021-05-11 09:27:07,Paytm,Success,2177.14,INR,IND,Asia,,false,2021-05-11 09:27:07,tina.williams074@commerce.example.com
,PAY-202105-00000000060,ORD-202105-0000005973,CUST-0000300227,2021-05-07 04:21:43,Google Pay,Success,2987.59,EUR,FRA,Europe,,false,2021-05-07 04:21:43,tina.williams074@commerce.example.com
,PAY-202105-00000000061,ORD-202105-0000005462,CUST-0000316370,2021-05-13 17:39:22,PayPal,Success,2640.83,MXN,MEX,North America,,false,2021-05-13 17:39:22,ashley.marks069@commerce.example.com
,PAY-202105-00000000062,ORD-202105-0000001061,CUST-0000315394,2021-05-12 04:12:53,Apple Pay,Success,1896.12,JPY,JPN,Asia,,false,2021-05-12 04:12:53,victor.palmer071@platform.example.com
,PAY-202105-00000000063,ORD-202105-0000005035,CUST-0000303507,2021-05-01 07:44:20,Apple Pay,Success,2696.86,GBP,GBR,Europe,,false,2021-05-01 07:44:20,micheal.hall064@dataops.example.com
,PAY-202105-00000000064,ORD-202105-0000005711,CUST-0000304024,2021-05-02 00:29:33,Apple Pay,Success,3350.72,MXN,MEX,North America,,false,2021-05-02 00:29:33,jennifer.bauer068@analytics.example.com
,PAY-202105-00000000065,ORD-202105-0000000813,CUST-0000310934,2021-05-14 22:19:42,Bank Transfer,Success,417.47,CAD,CAN,North America,,false,2021-05-14 22:19:42,james.proctor094@dataops.example.com
,PAY-202105-00000000066,ORD-202105-0000004679,CUST-0000315742,2021-05-05 12:25:08,Apple Pay,Success,609.84,SGD,SGP,Asia,,false,2021-05-05 12:25:08,micheal.hall064@dataops.example.com
