exchange_rate_id,rate_date,base_currency,target_currency,exchange_rate,rate_source,rate_type,created_at,created_by
,2025-06-06,BRL,AED,2.1295036477,ECB,Spot,2025-06-06 15:05:17,jennifer.yu037@dataops.example.com
,2025-06-20,INR,USD,0.5762022721,Reuters,Daily,2025-06-20 01:32:01,kristin.krueger034@analytics.example.com
,2025-06-15,BRL,USD,5.6319623422,Reuters,Spot,2025-06-15 14:18:34,megan.cunningham013@commerce.example.com
,2025-06-18,AUD,CAD,0.8689282327,Reuters,Closing,2025-06-18 05:47:28,juan.simmons120@platform.example.com
,2025-06-23,USD,CAD,0.7682192479,Reuters,Closing,2025-06-23 12:01:12,jennifer.atkins003@platform.example.com
,2025-06-04,SGD,USD,1.5678277183,Bloomberg,Closing,2025-06-04 18:20:13,jennifer.shepherd015@analytics.example.com
,2025-06-13,MXN,CAD,0.7387284193,ECB,Daily,2025-06-13 06:48:27,jennifer.bauer068@analytics.example.com
,2025-06-30,AED,JPY,0.7565765779,Internal FX,Daily,2025-06-30 12:57:21,patrick.gonzalez035@dataops.example.com
,2025-06-12,AED,AUD,3.0126125719,Internal FX,Daily,2025-06-12 19:16:52,richard.bradshaw051@platform.example.com
,2025-06-06,CAD,JPY,2.2384975528,Bloomberg,Daily,2025-06-06 12:57:20,shawn.baxter004@dataops.example.com
,2025-06-18,MXN,EUR,0.8078215635,Bloomberg,Closing,2025-06-18 09:09:16,samantha.villa073@commerce.example.com
,2025-06-13,AUD,JPY,2.0841785401,Internal FX,Daily,2025-06-13 02:47:59,ryan.steele043@commerce.example.com
,2025-06-16,EUR,AED,2.040920795,ECB,Spot,2025-06-16 15:46:04,chelsea.patel065@commerce.example.com
,2025-06-30,USD,BRL,2.2552935004,Internal FX,Daily,2025-06-30 19:51:01,brandon.yu006@analytics.example.com
,2025-06-01,AED,AUD,2.284645899,Internal FX,Spot,2025-06-01 23:32:20,nicholas.wilson027@analytics.example.com
,2025-06-17,EUR,SGD,0.7991951228,ECB,Spot,2025-06-17 20:53:57,tina.williams074@commerce.example.com
,2025-06-05,BRL,EUR,0.6850654734,Bloomberg,Spot,2025-06-05 08:46:53,mary.jordan048@analytics.example.com
,2025-06-01,BRL,CAD,1.330398675,Reuters,Spot,2025-06-01 08:41:22,nicholas.wilson027@analytics.example.com
,2025-06-10,EUR,CAD,3.1584970872,Bloomberg,Spot,2025-06-10 21:59:21,oscar.owens072@analytics.example.com
,2025-06-01,AUD,USD,1.48185347,Internal FX,Closing,2025-06-01 00:43:31,samantha.villa073@commerce.example.com
,2025-06-19,AED,BRL,1.1813306774,ECB,Closing,2025-06-19 03:11:11,michael.berger060@platform.example.com
,2025-06-05,CAD,INR,0.4710427925,Internal FX,Daily,2025-06-05 21:13:04,brandon.yu006@analytics.example.com
,2025-06-06,AED,AUD,1.5800783363,Reuters,Daily,2025-06-06 03:01:25,brian.banks011@platform.example.com
,2025-06-12,CAD,EUR,0.8584658762,Internal FX,Daily,2025-06-12 15:39:57,rachel.hall062@platform.example.com
