currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2021-04-06 23:47:00,taylor.cunningham023@commerce.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2021-04-02 17:57:25,grace.gonzales099@dataops.example.com
GBP,Pound Sterling,£,2,FIAT,true,2021-04-15 18:17:19,stephen.clark001@analytics.example.com
EUR,Euro,€,2,FIAT,true,2021-04-28 20:15:55,tiffany.freeman101@analytics.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2021-04-27 18:39:22,kelsey.taylor010@platform.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2021-04-22 20:50:04,susan.rice083@commerce.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2021-04-26 17:56:27,kelsey.taylor010@platform.example.com
INR,Indian Rupee,₹,2,FIAT,true,2021-04-24 07:55:39,victoria.medina044@dataops.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2021-04-29 10:50:15,david.cabrera119@dataops.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2021-04-04 12:57:21,joseph.johnson049@dataops.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2021-04-12 03:00:26,kelsey.taylor010@platform.example.com
