event_record_id,event_id,event_timestamp,session_id,customer_id,product_id,order_id,event_name,event_category,page_name,page_url,referrer_url,search_query,product_position,quantity,unit_price_local,event_value_local,local_currency,country_name,country_code,region_name,device_type,platform,operating_system,browser,traffic_source,traffic_medium,campaign_id,created_at,created_by
,EVT-202007-000000000000,2020-07-20 07:44:41,SES-202007-0000003511,CUST-0000108127,PROD-0000057177,ORD-202007-0000015655,payment_attempt,commerce,Product,https://shop.example.com/cart,https://google.com,,23,4,174.35,697.4,GBP,United Kingdom,GBR,Europe,Tablet,Android,Windows,Samsung Internet,TikTok,affiliate,,2020-07-20 07:44:41,james.proctor094@dataops.example.com
,EVT-202007-000000000001,2020-07-06 05:41:56,SES-202007-0000015650,CUST-0000107241,PROD-0000055063,,review_view,engagement,Search,https://shop.example.com/product,https://facebook.com,,13,3,1100.84,3302.52,USD,United States,USA,North America,Desktop,Mobile Web,Android,Firefox,YouTube,social,,2020-07-06 05:41:56,tina.williams074@commerce.example.com
,EVT-202007-000000000002,2020-07-10 15:59:16,SES-202007-0000005028,CUST-0000098847,PROD-0000061091,ORD-202007-0000005291,purchase,conversion,Search,https://shop.example.com/checkout,https://facebook.com,,1,2,870.91,1741.82,EUR,Germany,DEU,Europe,Mobile,Android,iOS,Firefox,Email,referral,,2020-07-10 15:59:16,stephen.daniels076@commerce.example.com
,EVT-202007-000000000003,2020-07-14 12:04:40,SES-202007-0000018966,CUST-0000103595,,,page_view,engagement,Home,https://shop.example.com/search,https://bing.com,,,0,0,0,EUR,Germany,DEU,Europe,Tablet,Android,iOS,Samsung Internet,Facebook,direct,CAMP-2020-0021,2020-07-14 12:04:40,megan.cunningham013@commerce.example.com
,EVT-202007-000000000004,2020-07-17 16:21:28,SES-202007-0000018984,CUST-0000109217,PROD-0000055499,,checkout_start,commerce,Home,https://shop.example.com/search,https://bing.com,,12,5,319.49,1597.45,GBP,United Kingdom,GBR,Europe,Laptop,iOS,iOS,Chrome,Affiliate,email,,2020-07-17 16:21:28,patrick.gonzalez035@dataops.example.com
,EVT-202007-000000000005,2020-07-09 23:12:28,SES-202007-0000023082,CUST-0000097640,,,page_view,engagement,Product,https://shop.example.com/search,https://instagram.com,,,0,0,0,AED,United Arab Emirates,ARE,Asia,Tablet,Android,Linux,Chrome,Email,direct,CAMP-2020-0009,2020-07-09 23:12:28,ryan.steele043@commerce.example.com
,EVT-202007-000000000006,2020-07-29 09:43:35,SES-202007-0000005612,CUST-0000098402,PROD-0000054958,,remove_from_cart,commerce,Cart,https://shop.example.com/product,https://bing.com,,39,3,546.68,1640.04,GBP,United Kingdom,GBR,Europe,Laptop,Web,Linux,Safari,Direct,cpc,CAMP-2020-0024,2020-07-29 09:43:35,susan.rice083@commerce.example.com
,EVT-202007-000000000007,2020-07-15 12:59:23,SES-202007-0000014129,CUST-0000108677,PROD-0000060884,,product_view,commerce,Checkout,https://shop.example.com/checkout,https://bing.com,,29,5,861.66,4308.3,AUD,Australia,AUS,Oceania,Tablet,Web,Linux,Samsung Internet,Organic,referral,CAMP-2020-0022,2020-07-15 12:59:23,patrick.gonzalez035@dataops.example.com
,EVT-202007-000000000008,2020-07-12 10:09:17,SES-202007-0000017863,CUST-0000107417,,,page_view,engagement,Checkout,https://shop.example.com/cart,https://google.com,,,0,0,0,BRL,Brazil,BRA,South America,Mobile,iOS,iOS,Firefox,Bing,email,,2020-07-12 10:09:17,michelle.bender024@analytics.example.com
,EVT-202007-000000000009,2020-07-23 18:59:23,SES-202007-0000022654,CUST-0000114103,,,search,engagement,Account,https://shop.example.com/product,https://instagram.com,Newspaper behavior moment.,,0,0,0,EUR,Germany,DEU,Europe,Laptop,Mobile Web,ChromeOS,Safari,Affiliate,affiliate,,2020-07-23 18:59:23,adam.gordon030@commerce.example.com
,EVT-202007-000000000010,2020-07-13 10:25:36,SES-202007-0000003594,CUST-0000104589,PROD-0000053826,,add_to_cart,commerce,Product,https://shop.example.com/search,https://bing.com,,31,1,830.92,830.92,INR,India,IND,Asia,Laptop,Web,ChromeOS,Edge,Bing,social,,2020-07-13 10:25:36,david.cabrera119@dataops.example.com
,EVT-202007-000000000011,2020-07-11 23:16:52,SES-202007-0000012016,CUST-0000100955,PROD-0000059336,,wishlist_add,engagement,Product,https://shop.example.com/product,https://facebook.com,,43,5,506.93,2534.65,EUR,Italy,ITA,Europe,Laptop,Web,Android,Edge,Affiliate,affiliate,CAMP-2020-0002,2020-07-11 23:16:52,jennifer.hudson020@analytics.example.com
,EVT-202007-000000000012,2020-07-30 04:30:43,SES-202007-0000014812,CUST-0000107588,,,page_view,engagement,Product,https://shop.example.com/checkout,https://facebook.com,,,0,0,0,MXN,Mexico,MEX,North America,Laptop,Android,iOS,Edge,Facebook,social,,2020-07-30 04:30:43,susan.rice083@commerce.example.com
,EVT-202007-000000000013,2020-07-23 06:02:12,SES-202007-0000005235,CUST-0000100774,PROD-0000055823,,product_view,commerce,Cart,https://shop.example.com/cart,https://google.com,,48,5,280.07,1400.35,EUR,Germany,DEU,Europe,Mobile,iOS,Android,Chrome,YouTube,email,CAMP-2020-0003,2020-07-23 06:02:12,timothy.cannon081@analytics.example.com
,EVT-202007-000000000014,2020-07-08 16:30:12,SES-202007-0000013563,CUST-0000098073,PROD-0000059082,,product_view,commerce,Cart,https://shop.example.com/home,https://instagram.com,,6,3,633.47,1900.41,BRL,Brazil,BRA,South America,Mobile,Web,Android,Edge,YouTube,cpc,,2020-07-08 16:30:12,peter.martinez098@platform.example.com
,EVT-202007-000000000015,2020-07-07 19:41:42,SES-202007-0000012911,CUST-0000114096,,,search,engagement,Account,https://shop.example.com/home,https://facebook.com,Style like.,,0,0,0,EUR,Germany,DEU,Europe,Mobile,iOS,iOS,Chrome,TikTok,affiliate,,2020-07-07 19:41:42,brandon.yu006@analytics.example.com
,EVT-202007-000000000016,2020-07-10 21:23:33,SES-202007-0000022137,CUST-0000108758,PROD-0000055080,,product_view,commerce,Account,https://shop.example.com/cart,https://google.com,,47,3,1173.6,3520.8,GBP,United Kingdom,GBR,Europe,Mobile,Web,Windows,Samsung Internet,TikTok,email,CAMP-2020-0008,2020-07-10 21:23:33,stephen.clark001@analytics.example.com
,EVT-202007-000000000017,2020-07-11 23:13:12,SES-202007-0000005030,CUST-0000105759,PROD-0000053626,ORD-202007-0000008213,purchase,conversion,Home,https://shop.example.com/cart,https://instagram.com,,27,1,1187.43,1187.43,EUR,Spain,ESP,Europe,Mobile,Android,macOS,Samsung Internet,Email,affiliate,CAMP-2020-0040,2020-07-11 23:13:12,victor.palmer071@platform.example.com
,EVT-202007-000000000018,2020-07-27 17:43:18,SES-202007-0000006156,CUST-0000114141,,,page_view,engagement,Home,https://shop.example.com/cart,https://google.com,,,0,0,0,MXN,Mexico,MEX,North America,Tablet,iOS,Linux,Safari,Google,direct,CAMP-2020-0033,2020-07-27 17:43:18,lance.williams029@platform.example.com
,EVT-202007-000000000019,2020-07-20 20:04:39,SES-202007-0000021323,CUST-0000106064,PROD-0000055558,,product_view,commerce,Checkout,https://shop.example.com/cart,https://facebook.com,,16,1,1185.83,1185.83,GBP,United Kingdom,GBR,Europe,Desktop,Mobile Web,Windows,Chrome,YouTube,cpc,CAMP-2020-0032,2020-07-20 20:04:39,megan.cunningham013@commerce.example.com
,EVT-202007-000000000020,2020-07-17 19:17:28,SES-202007-0000020346,CUST-0000104671,,,page_view,engagement,Cart,https://shop.example.com/checkout,https://instagram.com,,,0,0,0,JPY,Japan,JPN,Asia,Desktop,Mobile Web,ChromeOS,Edge,Organic,referral,,2020-07-17 19:17:28,jennifer.hudson020@analytics.example.com
