geography_id,region_name,sub_region_name,country_name,country_code,currency_code,currency_name,currency_symbol,timezone,created_at,created_by
1,North America,Northern America,United States,USA,USD,US Dollar,$,Europe/Minsk,2022-05-31 04:35:25,stephen.daniels076@commerce.example.com
2,North America,Northern America,Canada,CAN,CAD,Canadian Dollar,C$,America/Guatemala,2022-05-02 12:42:15,james.proctor094@dataops.example.com
3,Europe,Northern Europe,United Kingdom,GBR,GBP,Pound Sterling,£,Europe/Malta,2022-05-12 05:33:25,lisa.kim091@platform.example.com
4,Europe,Western Europe,Germany,DEU,EUR,Euro,€,Europe/Vilnius,2022-05-17 20:30:45,jeffery.miller012@commerce.example.com
5,Europe,Western Europe,France,FRA,EUR,Euro,€,Asia/Rangoon,2022-05-11 21:58:44,victoria.medina044@dataops.example.com
6,Europe,Southern Europe,Spain,ESP,EUR,Euro,€,Asia/Tbilisi,2022-05-03 18:25:21,micheal.chen050@dataops.example.com
7,Europe,Southern Europe,Italy,ITA,EUR,Euro,€,Pacific/Truk,2022-05-04 13:07:16,shawn.baxter004@dataops.example.com
8,Europe,Western Europe,Netherlands,NLD,EUR,Euro,€,Europe/Chisinau,2022-05-14 03:01:30,renee.harvey080@dataops.example.com
9,Oceania,Australia and New Zealand,Australia,AUS,AUD,Australian Dollar,A$,Asia/Riyadh,2022-05-05 15:54:59,tina.williams074@commerce.example.com
10,Asia,Eastern Asia,Japan,JPN,JPY,Japanese Yen,¥,Atlantic/Cape_Verde,2022-05-01 19:10:08,jennifer.hudson020@analytics.example.com
11,Asia,South-eastern Asia,Singapore,SGP,SGD,Singapore Dollar,S$,Africa/Kigali,2022-05-23 07:40:04,michael.johnson061@platform.example.com
12,Asia,Southern Asia,India,IND,INR,Indian Rupee,₹,Africa/Douala,2022-05-20 14:56:33,anita.garcia021@dataops.example.com
13,Asia,Western Asia,United Arab Emirates,ARE,AED,UAE Dirham,د.إ,Pacific/Apia,2022-05-11 23:34:40,shawn.baxter004@dataops.example.com
14,South America,South America,Brazil,BRA,BRL,Brazilian Real,R$,America/El_Salvador,2022-05-18 23:33:43,joann.clark089@commerce.example.com
15,North America,Central America,Mexico,MEX,MXN,Mexican Peso,MX$,Africa/Nouakchott,2022-05-15 21:53:45,patrick.gonzalez035@dataops.example.com
