currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2022-12-03 07:18:50,james.proctor094@dataops.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2022-12-04 17:17:31,anita.garcia021@dataops.example.com
GBP,Pound Sterling,£,2,FIAT,true,2022-12-06 12:57:34,jimmy.washington028@commerce.example.com
EUR,Euro,€,2,FIAT,true,2022-12-20 18:40:24,maria.ashley046@analytics.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2022-12-28 00:16:11,patrick.gonzalez035@dataops.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2022-12-03 02:15:15,tina.williams074@commerce.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2022-12-03 09:24:18,taylor.cunningham023@commerce.example.com
INR,Indian Rupee,₹,2,FIAT,true,2022-12-13 01:43:52,victoria.medina044@dataops.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2022-12-16 00:28:29,andrew.ellis102@analytics.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2022-12-28 15:03:30,megan.cunningham013@commerce.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2022-12-09 18:05:49,troy.boone097@platform.example.com
