shipment_record_id,shipment_id,order_id,warehouse_id,country_code,region_name,carrier,shipping_method,shipment_status,shipped_timestamp,estimated_delivery_date,actual_delivery_timestamp,delivery_attempts,delivery_country,created_at,created_by
,SHP-202403-0000000000,ORD-202403-0000000097,WH-00139,FRA,North America,Royal Mail,Same Day,Delivered,2024-03-02 19:22:49,2024-03-08,2024-03-14 06:22:49,1,Netherlands,2024-03-02 19:22:49,arthur.ortiz082@platform.example.com
,SHP-202403-0000000001,ORD-202403-0000001516,WH-00120,AUS,Europe,Royal Mail,Economy,Delivered,2024-03-31 14:26:10,2024-04-10,2024-04-11 17:26:10,1,Brazil,2024-03-31 14:26:10,brandon.yu006@analytics.example.com
,SHP-202403-0000000002,ORD-202403-0000000912,WH-00098,NLD,North America,DPD,Same Day,Delivered,2024-03-12 23:48:54,2024-03-15,2024-03-27 00:48:54,1,Italy,2024-03-12 23:48:54,christine.carter112@commerce.example.com
,SHP-202403-0000000003,ORD-202403-0000003467,WH-00064,ITA,Europe,FedEx,Same Day,Delivered,2024-03-05 23:01:46,2024-03-10,2024-03-18 08:01:46,1,Japan,2024-03-05 23:01:46,stephanie.miller092@analytics.example.com
,SHP-202403-0000000004,ORD-202403-0000003962,WH-00049,GBR,Europe,USPS,Economy,Delivered,2024-03-26 02:07:36,2024-03-30,2024-04-02 03:07:36,1,United Kingdom,2024-03-26 02:07:36,darren.anderson025@dataops.example.com
,SHP-202403-0000000005,ORD-202403-0000003901,WH-00048,ESP,South America,FedEx,Economy,Delivered,2024-03-04 05:45:08,2024-03-10,2024-03-14 14:45:08,1,United Kingdom,2024-03-04 05:45:08,micheal.hall064@dataops.example.com
,SHP-202403-0000000006,ORD-202403-0000005442,WH-00169,CAN,Asia,UPS,Economy,Delivered,2024-03-16 00:39:42,2024-03-20,2024-03-27 08:39:42,1,Singapore,2024-03-16 00:39:42,jack.smith053@analytics.example.com
,SHP-202403-0000000007,ORD-202403-0000005158,WH-00136,CAN,South America,FedEx,Pickup,Returned,2024-03-22 18:02:17,2024-04-01,,1,Australia,2024-03-22 18:02:17,taylor.cunningham023@commerce.example.com
,SHP-202403-0000000008,ORD-202403-0000000118,WH-00174,GBR,Europe,FedEx,Economy,In Transit,2024-03-28 21:15:41,2024-03-30,,1,United Arab Emirates,2024-03-28 21:15:41,jonathan.jimenez057@platform.example.com
,SHP-202403-0000000009,ORD-202403-0000004877,WH-00155,CAN,North America,FedEx,Pickup,Delivered,2024-03-12 17:27:14,2024-03-15,2024-03-25 17:27:14,1,Netherlands,2024-03-12 17:27:14,brittany.rose019@commerce.example.com
,SHP-202403-0000000010,ORD-202403-0000004879,WH-00008,GBR,Oceania,DPD,Standard,Delivered,2024-03-13 00:39:31,2024-03-21,2024-03-25 10:39:31,1,United Arab Emirates,2024-03-13 00:39:31,eric.mullen052@dataops.example.com
,SHP-202403-0000000011,ORD-202403-0000000038,WH-00035,NLD,Asia,DHL,Same Day,Delayed,2024-03-12 13:59:16,2024-03-17,,1,Mexico,2024-03-12 13:59:16,jennifer.atkins003@platform.example.com
