currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2023-07-28 01:04:05,micheal.hall064@dataops.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2023-07-22 12:12:05,tina.williams074@commerce.example.com
GBP,Pound Sterling,£,2,FIAT,true,2023-07-10 16:05:29,jennifer.bauer068@analytics.example.com
EUR,Euro,€,2,FIAT,true,2023-07-10 18:05:28,tina.williams074@commerce.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2023-07-08 20:29:55,jillian.russo115@commerce.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2023-07-18 00:12:29,amy.holmes103@dataops.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2023-07-26 17:18:43,scott.duran111@dataops.example.com
INR,Indian Rupee,₹,2,FIAT,true,2023-07-03 17:14:16,michael.berger060@platform.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2023-07-05 22:13:04,jonathan.estrada093@commerce.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2023-07-01 07:08:27,adam.gordon030@commerce.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2023-07-14 14:52:21,sandra.hunter036@platform.example.com
