currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2025-12-27 19:00:52,kristin.krueger034@analytics.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2025-12-15 04:34:15,kelsey.taylor010@platform.example.com
GBP,Pound Sterling,£,2,FIAT,true,2025-12-29 10:04:07,eric.mullen052@dataops.example.com
EUR,Euro,€,2,FIAT,true,2025-12-28 06:25:40,elizabeth.olsen066@platform.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2025-12-27 20:11:14,megan.cunningham013@commerce.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2025-12-17 01:29:44,joseph.johnson049@dataops.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2025-12-07 06:43:22,tammy.smith009@platform.example.com
INR,Indian Rupee,₹,2,FIAT,true,2025-12-10 06:43:49,jonathan.jimenez057@platform.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2025-12-02 03:09:48,timothy.cannon081@analytics.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2025-12-24 04:17:24,raymond.davis085@analytics.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2025-12-12 03:20:40,anita.garcia021@dataops.example.com
