geography_id,region_name,sub_region_name,country_name,country_code,currency_code,currency_name,currency_symbol,timezone,created_at,created_by
1,North America,Northern America,United States,USA,USD,US Dollar,$,Europe/Minsk,2025-12-25 17:56:38,richard.bradshaw051@platform.example.com
2,North America,Northern America,Canada,CAN,CAD,Canadian Dollar,C$,America/Guatemala,2025-12-01 05:39:16,crystal.smith022@platform.example.com
3,Europe,Northern Europe,United Kingdom,GBR,GBP,Pound Sterling,£,Europe/Malta,2025-12-27 16:13:21,brian.banks011@platform.example.com
4,Europe,Western Europe,Germany,DEU,EUR,Euro,€,Europe/Vilnius,2025-12-31 11:19:33,michael.berger060@platform.example.com
5,Europe,Western Europe,France,FRA,EUR,Euro,€,Asia/Rangoon,2025-12-11 23:02:12,tara.hansen055@dataops.example.com
6,Europe,Southern Europe,Spain,ESP,EUR,Euro,€,Asia/Tbilisi,2025-12-14 23:14:54,allen.foster026@dataops.example.com
7,Europe,Southern Europe,Italy,ITA,EUR,Euro,€,Pacific/Truk,2025-12-15 02:46:54,kevin.mathews014@analytics.example.com
8,Europe,Western Europe,Netherlands,NLD,EUR,Euro,€,Europe/Chisinau,2025-12-18 23:54:19,raymond.pineda079@platform.example.com
9,Oceania,Australia and New Zealand,Australia,AUS,AUD,Australian Dollar,A$,Asia/Riyadh,2025-12-05 01:03:46,linda.daniels047@dataops.example.com
10,Asia,Eastern Asia,Japan,JPN,JPY,Japanese Yen,¥,Atlantic/Cape_Verde,2025-12-05 16:19:45,stephen.daniels076@commerce.example.com
11,Asia,South-eastern Asia,Singapore,SGP,SGD,Singapore Dollar,S$,Africa/Kigali,2025-12-23 19:35:20,renee.harvey080@dataops.example.com
12,Asia,Southern Asia,India,IND,INR,Indian Rupee,₹,Africa/Douala,2025-12-19 17:08:04,willie.long016@dataops.example.com
13,Asia,Western Asia,United Arab Emirates,ARE,AED,UAE Dirham,د.إ,Pacific/Apia,2025-12-15 08:09:20,troy.boone097@platform.example.com
14,South America,South America,Brazil,BRA,BRL,Brazilian Real,R$,America/El_Salvador,2025-12-21 18:07:15,arthur.ortiz082@platform.example.com
15,North America,Central America,Mexico,MEX,MXN,Mexican Peso,MX$,Africa/Nouakchott,2025-12-18 13:43:45,renee.harvey080@dataops.example.com
