seller_record_id,seller_id,seller_name,seller_type,country_name,country_code,region_name,seller_rating,seller_status,fulfillment_type,seller_join_date,effective_from,effective_to,is_current,created_at,created_by
177842,SELL-00177842,White-Mora,Brand,Spain,ESP,Europe,4.24,Active,Platform Fulfilled,2023-01-06,2023-01-06 00:00:00,,true,2023-01-06 07:08:03,brandon.yu006@analytics.example.com
177843,SELL-00177843,"Mack, Floyd and Guzman",Brand,Mexico,MEX,North America,4.65,Inactive,Seller Fulfilled,2023-01-25,2023-01-25 00:00:00,,true,2023-01-25 03:08:47,alyssa.richards002@commerce.example.com
177844,SELL-00177844,Carrillo-Quinn,Marketplace,Italy,ITA,Europe,3.47,Active,Seller Fulfilled,2023-01-28,2023-01-28 00:00:00,,true,2023-01-28 15:12:06,victoria.medina044@dataops.example.com
177845,SELL-00177845,"Roberts, Richard and Morrison",Small Business,Germany,DEU,Europe,3.39,Active,Dropship,2023-01-31,2023-01-31 00:00:00,,true,2023-01-31 09:07:37,kristen.bailey110@analytics.example.com
177846,SELL-00177846,Davies-Bruce,Retailer,Canada,CAN,North America,3.93,Active,Seller Fulfilled,2023-01-26,2023-01-26 00:00:00,,true,2023-01-26 08:38:09,brandi.carter038@dataops.example.com
177847,SELL-00177847,Larson PLC,Small Business,United Arab Emirates,ARE,Asia,3.64,Active,Dropship,2023-01-01,2023-01-01 00:00:00,,true,2023-01-01 21:56:11,adam.gordon030@commerce.example.com
177848,SELL-00177848,"Joseph, Maldonado and Romero",Distributor,France,FRA,Europe,4.28,Active,Dropship,2023-01-24,2023-01-24 00:00:00,,true,2023-01-24 20:02:52,katelyn.pitts017@commerce.example.com
177849,SELL-00177849,Glass-Simon,Small Business,Italy,ITA,Europe,4.98,Active,Seller Fulfilled,2023-01-24,2023-01-24 00:00:00,,true,2023-01-24 16:08:22,michelle.bender024@analytics.example.com
177850,SELL-00177850,"Rubio, Soto and Hill",Small Business,Brazil,BRA,South America,4.77,Active,Platform Fulfilled,2023-01-22,2023-01-22 00:00:00,,true,2023-01-22 02:55:37,christine.johnson056@commerce.example.com
177851,SELL-00177851,Brown-Brown,Brand,United Arab Emirates,ARE,Asia,4.24,Active,Seller Fulfilled,2023-01-29,2023-01-29 00:00:00,,true,2023-01-29 21:24:47,christine.johnson056@commerce.example.com
177852,SELL-00177852,"Taylor, Soto and Williams",Distributor,India,IND,Asia,3.3,Active,Platform Fulfilled,2023-01-14,2023-01-14 00:00:00,,true,2023-01-14 23:27:44,christine.carter078@commerce.example.com
177853,SELL-00177853,Nelson Ltd,Retailer,Netherlands,NLD,Europe,4.08,Active,Seller Fulfilled,2023-01-21,2023-01-21 00:00:00,,true,2023-01-21 12:25:01,jennifer.bauer068@analytics.example.com
177854,SELL-00177854,Castro Ltd,Small Business,Australia,AUS,Oceania,4.68,Active,Platform Fulfilled,2023-01-31,2023-01-31 00:00:00,,true,2023-01-31 02:27:30,lisa.kim091@platform.example.com
