order_record_id,order_id,customer_id,session_id,order_timestamp,order_status,country_name,country_code,region_name,local_currency,subtotal_local,discount_local,shipping_local,tax_local,total_amount_local,payment_method,shipping_method,warehouse_id,estimated_delivery_date,actual_delivery_date,cancellation_date,return_flag,refund_amount_local,source_system,created_at,updated_at,created_by
,ORD-202201-0000000000,CUST-0000508128,SES-202201-0000004493,2022-01-22 01:36:12,Completed,Netherlands,NLD,Europe,EUR,826.23,109.61,28.2,27.83,772.65,Debit Card,Economy,WH-00038,2022-01-31,2022-01-31,,false,0,POS,2022-01-22 01:36:12,2022-01-22 03:14:12,stephen.daniels076@commerce.example.com
,ORD-202201-0000000001,CUST-0000503548,SES-202201-0000012904,2022-01-18 15:25:51,Completed,United States,USA,North America,USD,396.93,8.99,25.33,73.02,486.29,Google Pay,Pickup,WH-00187,2022-01-28,2022-01-28,,false,0,POS,2022-01-18 15:25:51,2022-01-18 17:00:51,stephen.daniels076@commerce.example.com
,ORD-202201-0000000002,CUST-0000497747,SES-202201-0000005750,2022-01-28 21:03:06,Completed,Italy,ITA,Europe,EUR,2919.71,257.8,28.28,325.71,3015.9,Debit Card,Economy,WH-00147,2022-02-08,2022-02-08,,false,0,Marketplace,2022-01-28 21:03:06,2022-01-28 22:43:06,michael.berger060@platform.example.com
,ORD-202201-0000000003,CUST-0000498313,SES-202201-0000002044,2022-01-11 15:56:42,Returned,Canada,CAN,North America,CAD,1763.59,226.6,2.53,89.91,1629.43,Paytm,Standard,WH-00174,2022-01-18,,,true,1629.43,Web,2022-01-11 15:56:42,2022-01-11 17:08:42,peter.martinez098@platform.example.com
,ORD-202201-0000000004,CUST-0000511997,SES-202201-0000004463,2022-01-27 20:29:51,Completed,Italy,ITA,Europe,EUR,999.77,202.97,36.13,83.02,915.95,PayPal,Economy,WH-00152,2022-02-04,2022-02-04,,false,0,POS,2022-01-27 20:29:51,2022-01-27 20:34:51,ryan.steele043@commerce.example.com
,ORD-202201-0000000005,CUST-0000500354,SES-202201-0000003562,2022-01-18 12:49:48,Completed,Spain,ESP,Europe,EUR,642.59,135.73,43.76,103.51,654.13,Buy Now Pay Later,Express,WH-00125,2022-01-26,2022-01-26,,false,0,Web,2022-01-18 12:49:48,2022-01-18 14:17:48,adam.gordon030@commerce.example.com
,ORD-202201-0000000006,CUST-0000498081,SES-202201-0000011240,2022-01-11 13:00:23,Completed,United States,USA,North America,USD,2148.35,9.36,4.7,348.92,2492.61,Bank Transfer,Pickup,WH-00148,2022-01-17,2022-01-17,,false,0,Mobile,2022-01-11 13:00:23,2022-01-11 14:08:23,kelsey.taylor010@platform.example.com
,ORD-202201-0000000007,CUST-0000513425,SES-202201-0000000168,2022-01-26 22:15:01,Cancelled,Japan,JPN,Asia,JPY,1882.27,449.07,3.29,186.39,1622.88,Debit Card,Pickup,WH-00173,2022-02-07,,2022-01-28 18:15:01,false,0,Marketplace,2022-01-26 22:15:01,2022-01-27 00:49:01,susan.rice083@commerce.example.com
,ORD-202201-0000000008,CUST-0000506061,SES-202201-0000003068,2022-01-26 23:50:17,Completed,Mexico,MEX,North America,MXN,1390.87,199.41,30.71,281.55,1503.72,Paytm,Pickup,WH-00154,2022-02-02,2022-02-02,,false,0,POS,2022-01-26 23:50:17,2022-01-27 02:13:17,christine.carter078@commerce.example.com
,ORD-202201-0000000009,CUST-0000513072,SES-202201-0000010167,2022-01-18 15:23:48,Returned,United Arab Emirates,ARE,Asia,AED,108.5,24.78,28.78,2.52,115.02,Phonepe,Economy,WH-00136,2022-01-20,,,true,115.02,Marketplace,2022-01-18 15:23:48,2022-01-18 16:18:48,victoria.medina044@dataops.example.com
,ORD-202201-0000000010,CUST-0000500291,SES-202201-0000001217,2022-01-21 04:49:15,Processing,France,FRA,Europe,EUR,1397.03,134.61,14.53,91.61,1368.56,Gift Card,Express,WH-00179,2022-01-28,,,false,0,Mobile,2022-01-21 04:49:15,2022-01-21 06:35:15,tiffany.freeman101@analytics.example.com
,ORD-202201-0000000011,CUST-0000503316,SES-202201-0000006752,2022-01-05 17:43:39,Completed,United Kingdom,GBR,Europe,GBP,219.98,46.72,22.15,21.58,216.99,Credit Card,Same Day,WH-00100,2022-01-08,2022-01-08,,false,0,POS,2022-01-05 17:43:39,2022-01-05 19:11:39,andrea.cummings039@platform.example.com
,ORD-202201-0000000012,CUST-0000507818,SES-202201-0000000737,2022-01-31 00:02:44,Completed,Mexico,MEX,North America,MXN,277.15,12.16,9.28,34.64,308.91,Google Pay,Same Day,WH-00149,2022-02-06,2022-02-06,,false,0,Marketplace,2022-01-31 00:02:44,2022-01-31 02:14:44,susan.rice083@commerce.example.com
,ORD-202201-0000000013,CUST-0000508236,SES-202201-0000003940,2022-01-19 16:03:14,Failed,United Arab Emirates,ARE,Asia,AED,2298.26,11.51,3.11,343.33,2633.19,Debit Card,Standard,WH-00060,2022-01-28,,,false,0,Mobile,2022-01-19 16:03:14,2022-01-19 16:27:14,megan.cunningham013@commerce.example.com
,ORD-202201-0000000014,CUST-0000507500,SES-202201-0000010444,2022-01-18 13:35:50,Completed,Italy,ITA,Europe,EUR,1571.63,150.91,2.28,196.79,1619.79,Phonepe,Standard,WH-00020,2022-01-24,2022-01-24,,false,0,Marketplace,2022-01-18 13:35:50,2022-01-18 14:33:50,alyssa.richards002@commerce.example.com
,ORD-202201-0000000015,CUST-0000499913,SES-202201-0000014924,2022-01-16 07:49:59,Completed,Canada,CAN,North America,CAD,1516.22,198.77,35.56,261.97,1614.98,Apple Pay,Standard,WH-00169,2022-01-23,2022-01-23,,false,0,POS,2022-01-16 07:49:59,2022-01-16 08:31:59,katelyn.pitts017@commerce.example.com
,ORD-202201-0000000016,CUST-0000512831,SES-202201-0000011321,2022-01-04 14:40:24,Completed,United Arab Emirates,ARE,Asia,AED,401.11,59.13,11.35,13.49,366.82,Apple Pay,Standard,WH-00031,2022-01-07,2022-01-07,,false,0,Web,2022-01-04 14:40:24,2022-01-04 14:49:24,jennifer.hudson020@analytics.example.com
,ORD-202201-0000000017,CUST-0000510266,SES-202201-0000013562,2022-01-05 14:06:51,Completed,Singapore,SGP,Asia,SGD,1977.2,22.57,42.61,332.11,2329.35,Paytm,Standard,WH-00105,2022-01-12,2022-01-12,,false,0,Marketplace,2022-01-05 14:06:51,2022-01-05 16:12:51,shawn.baxter004@dataops.example.com
