session_record_id,session_id,customer_id,session_start,session_end,session_duration_seconds,country_name,country_code,region_name,currency_code,platform,device_type,operating_system,browser,traffic_source,traffic_medium,campaign_id,landing_page,exit_page,is_new_customer,is_new_session,created_at,created_by
,SES-202011-0000000000,CUST-0000192678,2020-11-13 21:21:03,2020-11-13 21:24:28,205,Australia,AUS,Oceania,AUD,Mobile Web,Laptop,Android,Edge,Direct,referral,CAMP-2020-0036,/sale,/search,false,false,2020-11-13 21:21:03,kelsey.taylor010@platform.example.com
,SES-202011-0000000001,CUST-0000187686,2020-11-28 05:12:30,2020-11-28 05:14:49,139,Spain,ESP,Europe,EUR,Mobile Web,Mobile,iOS,Chrome,Bing,email,,/offers,/search,false,true,2020-11-28 05:12:30,stephen.daniels076@commerce.example.com
,SES-202011-0000000002,CUST-0000179274,2020-11-27 20:25:45,2020-11-27 20:28:06,141,Singapore,SGP,Asia,SGD,Android,Laptop,Windows,Edge,Instagram,direct,CAMP-2020-0014,/home,/checkout,true,false,2020-11-27 20:25:45,michelle.sims041@analytics.example.com
,SES-202011-0000000003,CUST-0000184438,2020-11-24 06:39:49,2020-11-24 06:41:56,127,Germany,DEU,Europe,EUR,Android,Desktop,ChromeOS,Samsung Internet,YouTube,social,,/sale,/home,false,false,2020-11-24 06:39:49,stephen.daniels076@commerce.example.com
,SES-202011-0000000004,CUST-0000186549,2020-11-21 12:29:39,2020-11-21 12:30:50,71,Netherlands,NLD,Europe,EUR,Web,Mobile,ChromeOS,Safari,Direct,organic,,/category,/home,false,true,2020-11-21 12:29:39,lance.williams029@platform.example.com
,SES-202011-0000000005,CUST-0000196264,2020-11-30 19:56:22,2020-11-30 20:00:15,233,Australia,AUS,Oceania,AUD,iOS,Laptop,Windows,Chrome,Facebook,organic,,/home,/checkout,false,true,2020-11-30 19:56:22,micheal.hall064@dataops.example.com
,SES-202011-0000000006,CUST-0000192845,2020-11-24 20:26:30,2020-11-24 20:27:20,50,India,IND,Asia,INR,Android,Tablet,iOS,Edge,Google,referral,CAMP-2020-0007,/offers,/product,true,true,2020-11-24 20:26:30,brandi.carter038@dataops.example.com
,SES-202011-0000000007,CUST-0000182479,2020-11-03 17:54:21,2020-11-03 17:57:56,215,Italy,ITA,Europe,EUR,Web,Desktop,ChromeOS,Firefox,Email,affiliate,CAMP-2020-0010,/category,/product,true,true,2020-11-03 17:54:21,brandon.yu006@analytics.example.com
,SES-202011-0000000008,CUST-0000191091,2020-11-02 22:16:49,2020-11-02 22:17:22,33,Italy,ITA,Europe,EUR,Web,Tablet,Android,Safari,Instagram,affiliate,CAMP-2020-0015,/search,/search,true,true,2020-11-02 22:16:49,david.cabrera119@dataops.example.com
,SES-202011-0000000009,CUST-0000178994,2020-11-03 17:35:15,2020-11-03 17:36:28,73,Singapore,SGP,Asia,SGD,iOS,Mobile,ChromeOS,Samsung Internet,Bing,direct,CAMP-2020-0010,/home,/search,true,true,2020-11-03 17:35:15,brandon.yu006@analytics.example.com
,SES-202011-0000000010,CUST-0000175847,2020-11-29 08:53:49,2020-11-29 08:54:33,44,United Arab Emirates,ARE,Asia,AED,Web,Mobile,Linux,Chrome,Email,organic,CAMP-2020-0007,/product,/cart,false,false,2020-11-29 08:53:49,michelle.sims041@analytics.example.com
,SES-202011-0000000011,CUST-0000195378,2020-11-30 19:15:43,2020-11-30 19:16:31,48,Italy,ITA,Europe,EUR,Web,Desktop,macOS,Edge,Organic,affiliate,,/product,/cart,false,true,2020-11-30 19:15:43,micheal.chen050@dataops.example.com
,SES-202011-0000000012,CUST-0000197775,2020-11-29 10:05:33,2020-11-29 10:08:25,172,Singapore,SGP,Asia,SGD,iOS,Tablet,Android,Samsung Internet,Email,direct,,/product,/product,true,true,2020-11-29 10:05:33,timothy.cameron104@commerce.example.com
,SES-202011-0000000013,CUST-0000194523,2020-11-09 07:33:53,2020-11-09 07:35:33,100,United Arab Emirates,ARE,Asia,AED,iOS,Desktop,macOS,Samsung Internet,Instagram,referral,CAMP-2020-0035,/sale,/home,false,true,2020-11-09 07:33:53,adam.gordon030@commerce.example.com
,SES-202011-0000000014,CUST-0000174236,2020-11-09 17:54:39,2020-11-09 17:56:22,103,United States,USA,North America,USD,Web,Mobile,Windows,Chrome,TikTok,organic,,/search,/home,true,false,2020-11-09 17:54:39,ashley.marks069@commerce.example.com
,SES-202011-0000000015,CUST-0000180975,2020-11-23 00:59:10,2020-11-23 01:01:16,126,Australia,AUS,Oceania,AUD,Web,Mobile,Android,Samsung Internet,Bing,cpc,,/home,/home,true,false,2020-11-23 00:59:10,jennifer.bauer068@analytics.example.com
,SES-202011-0000000016,CUST-0000179050,2020-11-14 17:42:16,2020-11-14 17:43:48,92,Brazil,BRA,South America,BRL,Web,Laptop,iOS,Edge,Google,organic,,/category,/home,false,true,2020-11-14 17:42:16,michelle.sims041@analytics.example.com
,SES-202011-0000000017,CUST-0000197325,2020-11-15 16:57:15,2020-11-15 16:58:21,66,India,IND,Asia,INR,iOS,Desktop,Android,Safari,Bing,social,,/category,/product,false,false,2020-11-15 16:57:15,stephen.daniels076@commerce.example.com
,SES-202011-0000000018,CUST-0000192983,2020-11-14 00:36:09,2020-11-14 00:39:55,226,Germany,DEU,Europe,EUR,Android,Desktop,iOS,Safari,Facebook,referral,,/search,/search,true,true,2020-11-14 00:36:09,kelsey.taylor010@platform.example.com
,SES-202011-0000000019,CUST-0000179455,2020-11-25 09:22:35,2020-11-25 09:24:00,85,Italy,ITA,Europe,EUR,Android,Laptop,macOS,Chrome,Direct,direct,,/offers,/cart,false,false,2020-11-25 09:22:35,anita.garcia021@dataops.example.com
,SES-202011-0000000020,CUST-0000189083,2020-11-29 21:07:26,2020-11-29 21:08:06,40,Canada,CAN,North America,CAD,iOS,Laptop,iOS,Edge,Google,email,CAMP-2020-0030,/home,/product,false,true,2020-11-29 21:07:26,michelle.sims041@analytics.example.com
,SES-202011-0000000021,CUST-0000193039,2020-11-05 09:26:15,2020-11-05 09:29:23,188,Germany,DEU,Europe,EUR,Android,Laptop,Linux,Firefox,Facebook,referral,CAMP-2020-0024,/search,/product,false,true,2020-11-05 09:26:15,john.mullins109@commerce.example.com
,SES-202011-0000000022,CUST-0000174363,2020-11-24 22:25:50,2020-11-24 22:34:01,491,Mexico,MEX,North America,MXN,Mobile Web,Desktop,Windows,Chrome,Affiliate,affiliate,CAMP-2020-0028,/sale,/checkout,true,false,2020-11-24 22:25:50,stephen.clark001@analytics.example.com
,SES-202011-0000000023,CUST-0000178910,2020-11-25 17:15:49,2020-11-25 17:20:13,264,Australia,AUS,Oceania,AUD,Web,Desktop,iOS,Edge,Google,email,,/category,/cart,false,true,2020-11-25 17:15:49,stephen.clark001@analytics.example.com
,SES-202011-0000000024,CUST-0000194414,2020-11-13 13:15:38,2020-11-13 13:21:55,377,Brazil,BRA,South America,BRL,Web,Mobile,ChromeOS,Safari,Facebook,cpc,CAMP-2020-0003,/category,/cart,false,true,2020-11-13 13:15:38,micheal.chen050@dataops.example.com
,SES-202011-0000000025,CUST-0000192079,2020-11-10 20:31:20,2020-11-10 20:33:27,127,Singapore,SGP,Asia,SGD,Web,Desktop,iOS,Firefox,Google,social,,/offers,/search,false,true,2020-11-10 20:31:20,john.mullins109@commerce.example.com
,SES-202011-0000000026,CUST-0000184790,2020-11-29 19:25:07,2020-11-29 19:28:17,190,India,IND,Asia,INR,Web,Tablet,ChromeOS,Samsung Internet,Google,cpc,,/offers,/product,true,false,2020-11-29 19:25:07,david.cabrera119@dataops.example.com
,SES-202011-0000000027,CUST-0000181072,2020-11-26 23:29:50,2020-11-26 23:39:22,572,Italy,ITA,Europe,EUR,iOS,Mobile,ChromeOS,Chrome,Email,social,CAMP-2020-0010,/sale,/cart,false,true,2020-11-26 23:29:50,maria.ashley046@analytics.example.com
,SES-202011-0000000028,CUST-0000198211,2020-11-15 18:08:24,2020-11-15 18:16:36,492,Germany,DEU,Europe,EUR,Web,Desktop,Android,Safari,YouTube,affiliate,,/offers,/cart,true,true,2020-11-15 18:08:24,anita.garcia021@dataops.example.com
