shipment_record_id,shipment_id,order_id,warehouse_id,country_code,region_name,carrier,shipping_method,shipment_status,shipped_timestamp,estimated_delivery_date,actual_delivery_timestamp,delivery_attempts,delivery_country,created_at,created_by
,SHP-202204-0000000000,ORD-202204-0000004040,WH-00158,IND,Asia,USPS,Express,Delivered,2022-04-06 07:54:54,2022-04-11,2022-04-17 14:54:54,1,Brazil,2022-04-06 07:54:54,megan.cunningham013@commerce.example.com
,SHP-202204-0000000001,ORD-202204-0000000427,WH-00062,SGP,Europe,DPD,Express,Delayed,2022-04-29 15:49:32,2022-05-07,,1,Japan,2022-04-29 15:49:32,eric.horton058@analytics.example.com
,SHP-202204-0000000002,ORD-202204-0000000214,WH-00181,JPN,Europe,Royal Mail,Economy,Delivered,2022-04-11 12:34:55,2022-04-21,2022-04-21 22:34:55,1,Australia,2022-04-11 12:34:55,shawn.baxter004@dataops.example.com
,SHP-202204-0000000003,ORD-202204-0000000178,WH-00030,DEU,Asia,FedEx,Pickup,Delivered,2022-04-09 06:23:43,2022-04-15,2022-04-14 09:23:43,1,India,2022-04-09 06:23:43,jennifer.atkins003@platform.example.com
,SHP-202204-0000000004,ORD-202204-0000004269,WH-00110,NLD,North America,UPS,Pickup,Delivered,2022-04-03 00:03:05,2022-04-06,2022-04-16 08:03:05,1,United States,2022-04-03 00:03:05,christine.johnson056@commerce.example.com
,SHP-202204-0000000005,ORD-202204-0000001437,WH-00176,USA,Europe,UPS,Economy,Delivered,2022-04-21 07:02:18,2022-04-25,2022-05-01 17:02:18,2,Canada,2022-04-21 07:02:18,alyssa.richards002@commerce.example.com
,SHP-202204-0000000006,ORD-202204-0000002877,WH-00209,USA,Europe,DPD,Pickup,Delivered,2022-04-04 13:02:36,2022-04-06,2022-04-11 00:02:36,1,France,2022-04-04 13:02:36,chelsea.patel065@commerce.example.com
,SHP-202204-0000000007,ORD-202204-0000004603,WH-00193,BRA,Europe,Australia Post,Same Day,Delivered,2022-04-30 14:35:05,2022-05-07,2022-05-08 01:35:05,1,Singapore,2022-04-30 14:35:05,micheal.hall064@dataops.example.com
,SHP-202204-0000000008,ORD-202204-0000004476,WH-00090,DEU,Asia,UPS,Express,Delivered,2022-04-19 22:18:27,2022-04-27,2022-04-27 04:18:27,1,Australia,2022-04-19 22:18:27,jimmy.washington028@commerce.example.com
,SHP-202204-0000000009,ORD-202204-0000001220,WH-00048,BRA,North America,DHL,Pickup,Delivered,2022-04-12 12:24:19,2022-04-15,2022-04-22 23:24:19,2,United Arab Emirates,2022-04-12 12:24:19,lisa.kim091@platform.example.com
,SHP-202204-0000000010,ORD-202204-0000000026,WH-00007,ARE,North America,Royal Mail,Same Day,Delayed,2022-04-24 07:01:19,2022-05-01,,1,United Kingdom,2022-04-24 07:01:19,christine.carter078@commerce.example.com
,SHP-202204-0000000011,ORD-202204-0000004719,WH-00118,ARE,Asia,USPS,Economy,Returned,2022-04-02 03:47:35,2022-04-05,,1,United States,2022-04-02 03:47:35,jennifer.bauer068@analytics.example.com
,SHP-202204-0000000012,ORD-202204-0000000906,WH-00242,USA,Asia,DHL,Express,Delivered,2022-04-09 01:02:05,2022-04-14,2022-04-22 09:02:05,1,Mexico,2022-04-09 01:02:05,jimmy.washington028@commerce.example.com
,SHP-202204-0000000013,ORD-202204-0000005212,WH-00069,MEX,Europe,Australia Post,Express,Delivered,2022-04-19 23:01:50,2022-04-29,2022-04-26 03:01:50,1,Australia,2022-04-19 23:01:50,darren.anderson025@dataops.example.com
,SHP-202204-0000000014,ORD-202204-0000002468,WH-00133,MEX,North America,DHL,Express,Delivered,2022-04-28 04:10:03,2022-05-03,2022-05-06 07:10:03,1,India,2022-04-28 04:10:03,troy.boone097@platform.example.com
,SHP-202204-0000000015,ORD-202204-0000002843,WH-00011,BRA,Asia,USPS,Express,Shipped,2022-04-07 09:40:54,2022-04-13,,1,United States,2022-04-07 09:40:54,andrew.ellis102@analytics.example.com
,SHP-202204-0000000016,ORD-202204-0000002211,WH-00171,CAN,South America,Australia Post,Pickup,Delayed,2022-04-03 01:25:11,2022-04-11,,1,United Arab Emirates,2022-04-03 01:25:11,michelle.sims041@analytics.example.com
,SHP-202204-0000000017,ORD-202204-0000001763,WH-00044,ESP,North America,USPS,Same Day,Delivered,2022-04-09 22:11:20,2022-04-13,2022-04-13 03:11:20,1,Australia,2022-04-09 22:11:20,shawn.baxter004@dataops.example.com
,SHP-202204-0000000018,ORD-202204-0000001185,WH-00066,ESP,North America,FedEx,Same Day,Delivered,2022-04-20 16:40:38,2022-04-30,2022-04-29 23:40:38,1,United Arab Emirates,2022-04-20 16:40:38,brandon.yu006@analytics.example.com
,SHP-202204-0000000019,ORD-202204-0000003946,WH-00097,DEU,North America,Royal Mail,Express,Delivered,2022-04-07 00:26:14,2022-04-12,2022-04-16 01:26:14,1,United Arab Emirates,2022-04-07 00:26:14,brandon.yu006@analytics.example.com
,SHP-202204-0000000020,ORD-202204-0000003065,WH-00125,GBR,Oceania,DPD,Express,In Transit,2022-04-20 22:10:59,2022-04-29,,1,Germany,2022-04-20 22:10:59,jennifer.atkins003@platform.example.com
,SHP-202204-0000000021,ORD-202204-0000004186,WH-00128,ITA,Europe,UPS,Pickup,Delivered,2022-04-17 15:55:32,2022-04-19,2022-04-24 20:55:32,4,Canada,2022-04-17 15:55:32,michelle.sims041@analytics.example.com
,SHP-202204-0000000022,ORD-202204-0000002835,WH-00079,ESP,Europe,Australia Post,Express,Delivered,2022-04-08 04:39:22,2022-04-11,2022-04-10 08:39:22,1,Canada,2022-04-08 04:39:22,darren.anderson025@dataops.example.com
,SHP-202204-0000000023,ORD-202204-0000003463,WH-00121,ARE,Europe,DPD,Express,Delivered,2022-04-27 21:54:04,2022-05-04,2022-05-09 22:54:04,1,United States,2022-04-27 21:54:04,jason.franklin045@dataops.example.com
,SHP-202204-0000000024,ORD-202204-0000001699,WH-00242,ITA,South America,Royal Mail,Same Day,Shipped,2022-04-16 21:11:56,2022-04-23,,1,Japan,2022-04-16 21:11:56,megan.cunningham013@commerce.example.com
,SHP-202204-0000000025,ORD-202204-0000002418,WH-00090,NLD,Asia,UPS,Same Day,Delivered,2022-04-18 19:01:19,2022-04-21,2022-04-30 22:01:19,1,Australia,2022-04-18 19:01:19,eric.mullen052@dataops.example.com
,SHP-202204-0000000026,ORD-202204-0000002954,WH-00059,DEU,Europe,USPS,Same Day,Delivered,2022-04-10 12:16:46,2022-04-20,2022-04-13 12:16:46,3,Brazil,2022-04-10 12:16:46,michael.johnson061@platform.example.com
,SHP-202204-0000000027,ORD-202204-0000002360,WH-00026,SGP,Oceania,Australia Post,Economy,In Transit,2022-04-16 04:02:28,2022-04-20,,1,Germany,2022-04-16 04:02:28,peter.martinez098@platform.example.com
,SHP-202204-0000000028,ORD-202204-0000003676,WH-00185,AUS,Asia,Australia Post,Standard,Delivered,2022-04-02 05:43:55,2022-04-12,2022-04-10 14:43:55,1,United Kingdom,2022-04-02 05:43:55,jeffery.miller012@commerce.example.com
,SHP-202204-0000000029,ORD-202204-0000002840,WH-00248,IND,Europe,UPS,Pickup,Delivered,2022-04-07 10:40:05,2022-04-12,2022-04-10 18:40:05,1,Singapore,2022-04-07 10:40:05,darren.anderson025@dataops.example.com
,SHP-202204-0000000030,ORD-202204-0000000524,WH-00192,DEU,Asia,USPS,Pickup,Delivered,2022-04-11 20:14:52,2022-04-19,2022-04-16 22:14:52,1,France,2022-04-11 20:14:52,stephen.clark001@analytics.example.com
