currency_code,currency_name,currency_symbol,decimal_places,currency_type,active_flag,created_at,created_by
USD,US Dollar,$,2,FIAT,true,2023-11-16 14:18:17,jennifer.erickson018@platform.example.com
CAD,Canadian Dollar,C$,2,FIAT,true,2023-11-06 05:53:56,jillian.russo115@commerce.example.com
GBP,Pound Sterling,£,2,FIAT,true,2023-11-29 22:18:02,jennifer.bauer068@analytics.example.com
EUR,Euro,€,2,FIAT,true,2023-11-17 11:15:59,brandi.carter038@dataops.example.com
AUD,Australian Dollar,A$,2,FIAT,true,2023-11-23 09:10:26,tiffany.freeman101@analytics.example.com
JPY,Japanese Yen,¥,0,FIAT,true,2023-11-24 10:54:02,timothy.cameron104@commerce.example.com
SGD,Singapore Dollar,S$,2,FIAT,true,2023-11-27 01:48:10,adam.gordon030@commerce.example.com
INR,Indian Rupee,₹,2,FIAT,true,2023-11-11 12:41:55,brittany.rose019@commerce.example.com
AED,UAE Dirham,د.إ,2,FIAT,true,2023-11-25 19:52:09,tammy.smith009@platform.example.com
BRL,Brazilian Real,R$,2,FIAT,true,2023-11-06 17:08:57,jeffery.miller012@commerce.example.com
MXN,Mexican Peso,MX$,2,FIAT,true,2023-11-23 20:51:18,david.cabrera119@dataops.example.com
