seller_record_id,seller_id,seller_name,seller_type,country_name,country_code,region_name,seller_rating,seller_status,fulfillment_type,seller_join_date,effective_from,effective_to,is_current,created_at,created_by
455588,SELL-00455588,Bauer LLC,Marketplace,United Kingdom,GBR,Europe,3.89,Active,Seller Fulfilled,2026-04-24,2026-04-24 00:00:00,,true,2026-04-24 12:34:08,linda.daniels047@dataops.example.com
455589,SELL-00455589,"Bell, Long and Robertson",Distributor,Brazil,BRA,South America,3.82,Active,Dropship,2026-04-30,2026-04-30 00:00:00,,true,2026-04-30 17:17:05,brittany.barber031@commerce.example.com
455590,SELL-00455590,Ward-Gonzalez,Retailer,Netherlands,NLD,Europe,5,Active,Seller Fulfilled,2026-04-21,2026-04-21 00:00:00,,true,2026-04-21 10:39:27,kevin.mathews014@analytics.example.com
455591,SELL-00455591,Mason-Brown,Distributor,France,FRA,Europe,4.04,Active,Platform Fulfilled,2026-04-28,2026-04-28 00:00:00,,true,2026-04-28 17:49:24,megan.cunningham013@commerce.example.com
455592,SELL-00455592,"Cruz, Kelley and Kennedy",Distributor,Canada,CAN,North America,3.56,Inactive,Dropship,2026-04-30,2026-04-30 00:00:00,,true,2026-04-30 22:11:41,brandon.yu006@analytics.example.com
455593,SELL-00455593,Rogers-Brown,Marketplace,Netherlands,NLD,Europe,4.24,Active,Seller Fulfilled,2026-04-05,2026-04-05 00:00:00,,true,2026-04-05 19:46:42,elizabeth.mullins042@platform.example.com
455594,SELL-00455594,"Perry, Garcia and Alvarado",Retailer,Brazil,BRA,South America,4.18,Suspended,Seller Fulfilled,2026-04-25,2026-04-25 00:00:00,,true,2026-04-25 17:21:44,yesenia.arnold040@platform.example.com
455595,SELL-00455595,Sweeney-Williams,Distributor,United Kingdom,GBR,Europe,3.82,Active,Platform Fulfilled,2026-04-19,2026-04-19 00:00:00,,true,2026-04-19 07:34:02,timothy.cannon081@analytics.example.com
455596,SELL-00455596,Sullivan-Brown,Retailer,United Kingdom,GBR,Europe,3.89,Inactive,Platform Fulfilled,2026-04-09,2026-04-09 00:00:00,,true,2026-04-09 23:08:53,micheal.hall064@dataops.example.com
455597,SELL-00455597,Ross-Trevino,Marketplace,Brazil,BRA,South America,4.56,Active,Platform Fulfilled,2026-04-27,2026-04-27 00:00:00,,true,2026-04-27 02:39:35,kathleen.white007@analytics.example.com
455598,SELL-00455598,"Beck, Singh and Marquez",Small Business,Italy,ITA,Europe,4.2,Active,Seller Fulfilled,2026-04-09,2026-04-09 00:00:00,,true,2026-04-09 15:00:09,eric.horton058@analytics.example.com
455599,SELL-00455599,Rice-Williams,Brand,Australia,AUS,Oceania,4.26,Active,Platform Fulfilled,2026-04-19,2026-04-19 00:00:00,,true,2026-04-19 12:39:04,ashley.marks069@commerce.example.com
455600,SELL-00455600,"Lee, Sanders and Cooper",Small Business,United States,USA,North America,4.12,Active,Seller Fulfilled,2026-04-13,2026-04-13 00:00:00,,true,2026-04-13 07:15:29,lance.williams029@platform.example.com
455601,SELL-00455601,Christian Inc,Retailer,Singapore,SGP,Asia,3.69,Active,Seller Fulfilled,2026-04-03,2026-04-03 00:00:00,,true,2026-04-03 00:40:01,lance.williams029@platform.example.com
455602,SELL-00455602,Marshall Ltd,Distributor,India,IND,Asia,4.51,Active,Seller Fulfilled,2026-04-26,2026-04-26 00:00:00,,true,2026-04-26 09:56:18,stephanie.miller092@analytics.example.com
455603,SELL-00455603,Smith Inc,Distributor,Spain,ESP,Europe,4.65,Active,Dropship,2026-04-26,2026-04-26 00:00:00,,true,2026-04-26 01:50:41,crystal.smith022@platform.example.com
455604,SELL-00455604,Morris-Gordon,Retailer,France,FRA,Europe,4.79,Active,Seller Fulfilled,2026-04-26,2026-04-26 00:00:00,,true,2026-04-26 23:20:04,tina.williams074@commerce.example.com
455605,SELL-00455605,Medina Inc,Brand,India,IND,Asia,4.22,Active,Platform Fulfilled,2026-04-07,2026-04-07 00:00:00,,true,2026-04-07 03:21:33,ryan.steele043@commerce.example.com
455606,SELL-00455606,Jones-Ho,Brand,Mexico,MEX,North America,4.4,Active,Seller Fulfilled,2026-04-12,2026-04-12 00:00:00,,true,2026-04-12 18:47:31,kathleen.white007@analytics.example.com
455607,SELL-00455607,Jordan LLC,Marketplace,United States,USA,North America,4.14,Active,Platform Fulfilled,2026-04-26,2026-04-26 00:00:00,,true,2026-04-26 19:09:40,megan.cunningham013@commerce.example.com
455608,SELL-00455608,Ramirez LLC,Retailer,France,FRA,Europe,3.25,Active,Platform Fulfilled,2026-04-07,2026-04-07 00:00:00,,true,2026-04-07 13:43:22,victoria.medina044@dataops.example.com
455609,SELL-00455609,Harrison-Atkinson,Small Business,United Arab Emirates,ARE,Asia,4.16,Active,Seller Fulfilled,2026-04-04,2026-04-04 00:00:00,,true,2026-04-04 19:57:32,nicholas.wilson027@analytics.example.com
455610,SELL-00455610,Jones Group,Brand,Italy,ITA,Europe,3.92,Active,Dropship,2026-04-01,2026-04-01 00:00:00,,true,2026-04-01 02:16:45,stephen.daniels076@commerce.example.com
455611,SELL-00455611,Long-Ross,Brand,Canada,CAN,North America,4.88,Active,Platform Fulfilled,2026-04-09,2026-04-09 00:00:00,,true,2026-04-09 07:57:56,micheal.chen050@dataops.example.com
455612,SELL-00455612,Rivera Ltd,Distributor,Mexico,MEX,North America,4.45,Active,Seller Fulfilled,2026-04-10,2026-04-10 00:00:00,,true,2026-04-10 02:59:57,timothy.cannon081@analytics.example.com
455613,SELL-00455613,Massey Group,Brand,Japan,JPN,Asia,4.43,Active,Platform Fulfilled,2026-04-29,2026-04-29 00:00:00,,true,2026-04-29 22:34:38,jennifer.shepherd015@analytics.example.com
455614,SELL-00455614,Castillo-Neal,Small Business,Brazil,BRA,South America,5,Active,Seller Fulfilled,2026-04-16,2026-04-16 00:00:00,,true,2026-04-16 12:50:18,eric.horton058@analytics.example.com
455615,SELL-00455615,Galvan-Pierce,Distributor,France,FRA,Europe,4.54,Active,Platform Fulfilled,2026-04-05,2026-04-05 00:00:00,,true,2026-04-05 01:02:17,maria.ashley046@analytics.example.com
455616,SELL-00455616,"Morales, Vargas and Peterson",Brand,Italy,ITA,Europe,4.91,Suspended,Platform Fulfilled,2026-04-19,2026-04-19 00:00:00,,true,2026-04-19 09:22:57,kristin.krueger034@analytics.example.com
455617,SELL-00455617,Obrien-Green,Brand,Netherlands,NLD,Europe,3.36,Suspended,Platform Fulfilled,2026-04-26,2026-04-26 00:00:00,,true,2026-04-26 05:13:02,crystal.smith022@platform.example.com
455618,SELL-00455618,Spencer Inc,Small Business,Japan,JPN,Asia,4.75,Active,Platform Fulfilled,2026-04-11,2026-04-11 00:00:00,,true,2026-04-11 23:06:17,michael.berger060@platform.example.com
455619,SELL-00455619,"Gallegos, Michael and Davis",Retailer,Germany,DEU,Europe,3.2,Active,Seller Fulfilled,2026-04-30,2026-04-30 00:00:00,,true,2026-04-30 03:30:21,richard.bradshaw051@platform.example.com
455620,SELL-00455620,Garcia-Myers,Retailer,Netherlands,NLD,Europe,3.13,Active,Seller Fulfilled,2026-04-16,2026-04-16 00:00:00,,true,2026-04-16 01:17:04,jeffery.miller012@commerce.example.com
455621,SELL-00455621,Jones PLC,Retailer,Brazil,BRA,South America,3.7,Active,Platform Fulfilled,2026-04-02,2026-04-02 00:00:00,,true,2026-04-02 09:27:40,michael.brewer084@analytics.example.com
455622,SELL-00455622,Hicks Ltd,Retailer,Italy,ITA,Europe,4.46,Active,Seller Fulfilled,2026-04-05,2026-04-05 00:00:00,,true,2026-04-05 14:41:18,allen.foster026@dataops.example.com
455623,SELL-00455623,Thomas-Walter,Small Business,India,IND,Asia,3.75,Active,Seller Fulfilled,2026-04-03,2026-04-03 00:00:00,,true,2026-04-03 14:55:23,curtis.williams033@dataops.example.com
455624,SELL-00455624,"Bell, Crosby and Mcdaniel",Brand,United Arab Emirates,ARE,Asia,4.2,Active,Platform Fulfilled,2026-04-13,2026-04-13 00:00:00,,true,2026-04-13 15:09:18,stephen.jordan063@commerce.example.com
455625,SELL-00455625,"Guzman, Baker and Davis",Marketplace,Italy,ITA,Europe,3.83,Active,Dropship,2026-04-26,2026-04-26 00:00:00,,true,2026-04-26 15:42:37,elizabeth.mullins042@platform.example.com
455626,SELL-00455626,"Malone, Dillon and Johnson",Brand,Australia,AUS,Oceania,4.24,Active,Dropship,2026-04-20,2026-04-20 00:00:00,,true,2026-04-20 19:48:55,oscar.owens072@analytics.example.com
455627,SELL-00455627,Martin PLC,Small Business,Netherlands,NLD,Europe,3.96,Active,Seller Fulfilled,2026-04-16,2026-04-16 00:00:00,,true,2026-04-16 01:48:14,russell.miller054@platform.example.com
455628,SELL-00455628,Clarke-Cuevas,Retailer,Japan,JPN,Asia,3.36,Active,Platform Fulfilled,2026-04-08,2026-04-08 00:00:00,,true,2026-04-08 17:22:25,dominic.hodges075@platform.example.com
455629,SELL-00455629,Smith-Hall,Brand,Netherlands,NLD,Europe,2.66,Active,Platform Fulfilled,2026-04-13,2026-04-13 00:00:00,,true,2026-04-13 11:29:29,adam.gordon030@commerce.example.com
