seller_record_id,seller_id,seller_name,seller_type,country_name,country_code,region_name,seller_rating,seller_status,fulfillment_type,seller_join_date,effective_from,effective_to,is_current,created_at,created_by
113531,SELL-00113531,Fisher-Jones,Distributor,India,IND,Asia,3.54,Active,Dropship,2022-02-27,2022-02-27 00:00:00,,true,2022-02-27 01:03:59,michelle.bender024@analytics.example.com
113532,SELL-00113532,"Foster, Tyler and Anderson",Marketplace,Brazil,BRA,South America,3.59,Active,Dropship,2022-02-05,2022-02-05 00:00:00,,true,2022-02-05 06:58:51,brandon.yu006@analytics.example.com
113533,SELL-00113533,Estrada-Joseph,Marketplace,Germany,DEU,Europe,4.76,Active,Dropship,2022-02-08,2022-02-08 00:00:00,,true,2022-02-08 04:53:25,andrew.ellis102@analytics.example.com
113534,SELL-00113534,Vang-Schultz,Distributor,Netherlands,NLD,Europe,3.89,Active,Seller Fulfilled,2022-02-06,2022-02-06 00:00:00,,true,2022-02-06 19:04:54,chelsea.patel065@commerce.example.com
113535,SELL-00113535,Wood-Cruz,Brand,Singapore,SGP,Asia,4.21,Active,Platform Fulfilled,2022-02-04,2022-02-04 00:00:00,,true,2022-02-04 17:48:16,shawn.baxter004@dataops.example.com
113536,SELL-00113536,Diaz Inc,Marketplace,Singapore,SGP,Asia,3.55,Active,Dropship,2022-02-18,2022-02-18 00:00:00,,true,2022-02-18 15:30:51,michelle.bender024@analytics.example.com
113537,SELL-00113537,Gill and Sons,Retailer,United Arab Emirates,ARE,Asia,4.83,Suspended,Dropship,2022-02-20,2022-02-20 00:00:00,,true,2022-02-20 05:44:43,jimmy.washington028@commerce.example.com
113538,SELL-00113538,Davis and Sons,Marketplace,Italy,ITA,Europe,4.12,Active,Dropship,2022-02-28,2022-02-28 00:00:00,,true,2022-02-28 03:49:32,michelle.sims041@analytics.example.com
113539,SELL-00113539,Sanders-King,Brand,United Kingdom,GBR,Europe,3.75,Active,Seller Fulfilled,2022-02-11,2022-02-11 00:00:00,,true,2022-02-11 04:05:37,james.proctor094@dataops.example.com
113540,SELL-00113540,Davis-Garcia,Marketplace,Spain,ESP,Europe,2.56,Active,Dropship,2022-02-26,2022-02-26 00:00:00,,true,2022-02-26 08:47:28,sylvia.diaz107@dataops.example.com
113541,SELL-00113541,Ross-Robinson,Marketplace,Japan,JPN,Asia,4.2,Active,Seller Fulfilled,2022-02-14,2022-02-14 00:00:00,,true,2022-02-14 18:34:58,timothy.cannon081@analytics.example.com
113542,SELL-00113542,"Cook, Valdez and Hernandez",Distributor,Mexico,MEX,North America,4.79,Active,Platform Fulfilled,2022-02-04,2022-02-04 00:00:00,,true,2022-02-04 16:56:50,micheal.chen050@dataops.example.com
113543,SELL-00113543,"Stewart, Collins and Baker",Marketplace,Brazil,BRA,South America,3.99,Active,Dropship,2022-02-02,2022-02-02 00:00:00,,true,2022-02-02 03:16:54,taylor.cunningham023@commerce.example.com
113544,SELL-00113544,"Brown, Williams and Guerrero",Retailer,Mexico,MEX,North America,3.49,Active,Platform Fulfilled,2022-02-13,2022-02-13 00:00:00,,true,2022-02-13 10:26:49,alyssa.richards002@commerce.example.com
113545,SELL-00113545,"Quinn, Lee and Griffin",Marketplace,Mexico,MEX,North America,3.6,Active,Dropship,2022-02-04,2022-02-04 00:00:00,,true,2022-02-04 10:31:37,michael.johnson061@platform.example.com
113546,SELL-00113546,Acevedo-Marshall,Retailer,Spain,ESP,Europe,4.31,Active,Platform Fulfilled,2022-02-27,2022-02-27 00:00:00,,true,2022-02-27 03:34:06,susan.rice083@commerce.example.com
113547,SELL-00113547,"Wilcox, Scott and Shelton",Small Business,India,IND,Asia,3.49,Active,Platform Fulfilled,2022-02-10,2022-02-10 00:00:00,,true,2022-02-10 23:24:56,michelle.bender024@analytics.example.com
113548,SELL-00113548,Jensen Ltd,Marketplace,Spain,ESP,Europe,3.97,Suspended,Seller Fulfilled,2022-02-26,2022-02-26 00:00:00,,true,2022-02-26 20:15:04,tiffany.freeman101@analytics.example.com
113549,SELL-00113549,"Cabrera, Woods and Martin",Brand,Brazil,BRA,South America,3.94,Active,Dropship,2022-02-09,2022-02-09 00:00:00,,true,2022-02-09 19:13:30,stephen.clark001@analytics.example.com
113550,SELL-00113550,Simpson Inc,Small Business,Brazil,BRA,South America,3.98,Active,Seller Fulfilled,2022-02-16,2022-02-16 00:00:00,,true,2022-02-16 14:43:04,anita.garcia021@dataops.example.com
113551,SELL-00113551,Smith PLC,Retailer,United States,USA,North America,3.5,Active,Seller Fulfilled,2022-02-21,2022-02-21 00:00:00,,true,2022-02-21 09:38:12,sylvia.diaz107@dataops.example.com
113552,SELL-00113552,Carter-King,Retailer,Netherlands,NLD,Europe,4.34,Active,Dropship,2022-02-06,2022-02-06 00:00:00,,true,2022-02-06 16:41:46,stephen.clark001@analytics.example.com
