customer_record_id,customer_id,first_name,last_name,gender,date_of_birth,age,age_group,email,country_name,country_code,region_name,sub_region_name,city,state_province,postal_code,currency_code,customer_segment,acquisition_channel,registration_date,customer_status,marketing_opt_in,effective_from,effective_to,is_current,source_system,created_at,updated_at,created_by
198263,CUST-0000198263,Amanda,Allen,Non-binary,1964-06-23,56,55-64,amanda.allen.198263@hotmail.com,Mexico,MEX,North America,Central America,North Ellenton,Louisiana,37458,MXN,New,Organic,2020-12-17,Active,true,2020-12-17 00:00:00,,true,Marketplace,2020-12-17 03:55:25,2020-12-17 03:35:18,andrea.cummings039@platform.example.com
198264,CUST-0000198264,Megan,Elliott,Prefer not to say,1983-01-26,37,35-44,megan.elliott.198264@hotmail.com,Spain,ESP,Europe,Southern Europe,Richardmouth,Kansas,97806,EUR,Premium,Affiliate,2020-12-11,Active,true,2020-12-11 00:00:00,,true,CRM,2020-12-11 14:22:57,2020-12-11 01:59:55,michael.johnson061@platform.example.com
198265,CUST-0000198265,Eric,Boyd,Male,1941-03-31,79,65+,eric.boyd.198265@gmail.com,Japan,JPN,Asia,Eastern Asia,Ericberg,Kansas,93506,JPY,New,Social,2020-12-23,Active,true,2020-12-23 00:00:00,,true,Marketplace,2020-12-23 07:27:40,2020-12-23 18:14:00,stephen.daniels076@commerce.example.com
198266,CUST-0000198266,Beverly,Gonzalez,Male,2006-09-09,14,18-24,beverly.gonzalez.198266@hotmail.com,Germany,DEU,Europe,Western Europe,Howardtown,Virginia,93064,EUR,Occasional,Organic,2020-12-12,Inactive,false,2020-12-12 00:00:00,,true,Marketplace,2020-12-12 19:56:13,2020-12-12 17:28:49,michelle.sims041@analytics.example.com
198267,CUST-0000198267,Lori,Curry,Prefer not to say,1941-05-13,79,65+,lori.curry.198267@gmail.com,Australia,AUS,Oceania,Australia and New Zealand,Brianfort,Connecticut,10185,AUD,Occasional,Referral,2020-12-30,Active,true,2020-12-30 00:00:00,,true,Web,2020-12-30 12:43:19,2020-12-30 15:43:23,patrick.gonzalez035@dataops.example.com
198268,CUST-0000198268,Christine,Wagner,Non-binary,1981-12-29,38,35-44,christine.wagner.198268@yahoo.com,France,FRA,Europe,Western Europe,Jacksonview,Kentucky,16479,EUR,At Risk,Organic,2020-12-10,Active,true,2020-12-10 00:00:00,,true,Marketplace,2020-12-10 18:37:16,2020-12-10 18:18:10,jennifer.bauer068@analytics.example.com
198269,CUST-0000198269,Brenda,Gaines,Male,1967-07-16,53,45-54,brenda.gaines.198269@gmail.com,United Kingdom,GBR,Europe,Northern Europe,Lake Scott,South Dakota,03627,GBP,Regular,Direct,2020-12-19,Active,true,2020-12-19 00:00:00,,true,Marketplace,2020-12-19 00:44:53,2020-12-19 15:44:06,susan.rice083@commerce.example.com
198270,CUST-0000198270,Nicholas,Carter,Prefer not to say,1996-10-17,24,18-24,nicholas.carter.198270@yahoo.com,United Kingdom,GBR,Europe,Northern Europe,Port Jamesshire,Georgia,42469,GBP,Occasional,Social,2020-12-08,Active,false,2020-12-08 00:00:00,,true,Web,2020-12-08 06:53:07,2020-12-08 09:46:20,joseph.johnson049@dataops.example.com
198271,CUST-0000198271,Morgan,Gutierrez,Male,1958-08-28,62,55-64,morgan.gutierrez.198271@yahoo.com,Mexico,MEX,North America,Central America,South Yvettemouth,Kentucky,70355,MXN,Regular,Paid Search,2020-12-29,Active,true,2020-12-29 00:00:00,,true,CRM,2020-12-29 23:06:27,2020-12-29 14:43:24,taylor.cunningham023@commerce.example.com
198272,CUST-0000198272,Natalie,Blackburn,Female,1941-10-21,79,65+,natalie.blackburn.198272@gmail.com,India,IND,Asia,Southern Asia,Joyceshire,Alabama,36525,INR,Regular,Social,2020-12-09,Active,true,2020-12-09 00:00:00,,true,Web,2020-12-09 16:20:27,2020-12-09 03:02:11,david.cabrera119@dataops.example.com
198273,CUST-0000198273,Sherri,Rodriguez,Non-binary,2000-04-14,20,18-24,sherri.rodriguez.198273@gmail.com,Japan,JPN,Asia,Eastern Asia,West Stephentown,Ohio,94719,JPY,Regular,Referral,2020-12-21,Active,true,2020-12-21 00:00:00,,true,Marketplace,2020-12-21 16:26:04,2020-12-21 23:56:45,john.mullins109@commerce.example.com
198274,CUST-0000198274,Christina,Bauer,Female,1985-01-29,35,35-44,christina.bauer.198274@hotmail.com,Spain,ESP,Europe,Southern Europe,New Kristinetown,New Jersey,15519,EUR,Occasional,Social,2020-12-25,Active,true,2020-12-25 00:00:00,,true,Marketplace,2020-12-25 02:36:39,2020-12-25 17:43:44,peter.martinez098@platform.example.com
198275,CUST-0000198275,Jennifer,Brown,Female,1971-02-09,49,45-54,jennifer.brown.198275@gmail.com,Japan,JPN,Asia,Eastern Asia,Robertborough,Utah,10101,JPY,Regular,Paid Search,2020-12-13,Active,false,2020-12-13 00:00:00,,true,CRM,2020-12-13 16:05:38,2020-12-13 15:07:37,timothy.cameron104@commerce.example.com
198276,CUST-0000198276,Tyler,Allison,Prefer not to say,1988-11-18,32,25-34,tyler.allison.198276@yahoo.com,India,IND,Asia,Southern Asia,Richardstad,Alaska,31120,INR,Occasional,Affiliate,2020-12-27,Active,true,2020-12-27 00:00:00,,true,Mobile,2020-12-27 07:44:13,2020-12-27 17:17:56,james.proctor094@dataops.example.com
198277,CUST-0000198277,David,Martinez,Non-binary,1972-12-25,48,45-54,david.martinez.198277@hotmail.com,Mexico,MEX,North America,Central America,Kelseyview,Massachusetts,96925,MXN,Occasional,Paid Search,2020-12-29,Active,true,2020-12-29 00:00:00,,true,Web,2020-12-29 10:33:10,2020-12-29 00:24:07,jeffery.miller012@commerce.example.com
198278,CUST-0000198278,Tonya,Cole,Non-binary,1960-11-14,60,55-64,tonya.cole.198278@yahoo.com,Netherlands,NLD,Europe,Western Europe,Westbury,New Hampshire,04690,EUR,Premium,Organic,2020-12-17,Active,true,2020-12-17 00:00:00,,true,CRM,2020-12-17 03:22:33,2020-12-17 19:04:31,victor.palmer071@platform.example.com
198279,CUST-0000198279,Megan,Walters,Non-binary,1978-11-14,42,35-44,megan.walters.198279@gmail.com,France,FRA,Europe,Western Europe,South Brian,Colorado,37073,EUR,Regular,Direct,2020-12-19,Active,false,2020-12-19 00:00:00,,true,CRM,2020-12-19 09:53:36,2020-12-19 17:17:52,jennifer.bauer068@analytics.example.com
198280,CUST-0000198280,Rodney,Moran,Non-binary,1958-06-13,62,55-64,rodney.moran.198280@hotmail.com,Japan,JPN,Asia,Eastern Asia,Johnshire,Delaware,33793,JPY,Regular,Social,2020-12-08,Active,false,2020-12-08 00:00:00,,true,CRM,2020-12-08 10:31:21,2020-12-08 20:40:24,maria.ashley046@analytics.example.com
198281,CUST-0000198281,Cynthia,Wheeler,Non-binary,1972-01-20,48,45-54,cynthia.wheeler.198281@hotmail.com,Australia,AUS,Oceania,Australia and New Zealand,Bartlettport,Colorado,19655,AUD,Regular,Paid Search,2020-12-19,Active,false,2020-12-19 00:00:00,,true,Marketplace,2020-12-19 23:08:29,2020-12-19 21:02:05,stephen.clark001@analytics.example.com
198282,CUST-0000198282,Jennifer,Wallace,Male,1947-08-27,73,65+,jennifer.wallace.198282@yahoo.com,Mexico,MEX,North America,Central America,West Karl,Minnesota,82638,MXN,Regular,Direct,2020-12-02,Active,true,2020-12-02 00:00:00,,true,CRM,2020-12-02 04:12:36,2020-12-02 13:15:57,patrick.gonzalez035@dataops.example.com
198283,CUST-0000198283,Anthony,Gonzalez,Non-binary,1955-01-29,65,65+,anthony.gonzalez.198283@hotmail.com,United States,USA,North America,Northern America,Huntport,Delaware,84509,USD,Regular,Paid Search,2020-12-07,Active,false,2020-12-07 00:00:00,,true,Mobile,2020-12-07 11:57:31,2020-12-07 04:16:12,eric.horton058@analytics.example.com
198284,CUST-0000198284,David,Mendez,Male,1944-08-03,76,65+,david.mendez.198284@gmail.com,Australia,AUS,Oceania,Australia and New Zealand,South Joseph,Montana,32238,AUD,Occasional,Social,2020-12-08,Active,false,2020-12-08 00:00:00,,true,Web,2020-12-08 16:53:32,2020-12-08 07:26:52,peter.martinez098@platform.example.com
198285,CUST-0000198285,Billy,Yang,Prefer not to say,1998-12-14,21,18-24,billy.yang.198285@gmail.com,India,IND,Asia,Southern Asia,Kirbyton,Iowa,64670,INR,Occasional,Referral,2020-12-10,Active,false,2020-12-10 00:00:00,,true,CRM,2020-12-10 02:53:26,2020-12-10 04:30:02,michael.berger060@platform.example.com
198286,CUST-0000198286,Tabitha,Jacobs,Female,1983-09-17,37,35-44,tabitha.jacobs.198286@gmail.com,Japan,JPN,Asia,Eastern Asia,Evansburgh,Hawaii,98286,JPY,Regular,Direct,2020-12-31,Active,true,2020-12-31 00:00:00,,true,Marketplace,2020-12-31 20:44:23,2020-12-31 00:18:33,stephen.daniels076@commerce.example.com
198287,CUST-0000198287,Brian,Contreras,Prefer not to say,1949-03-08,71,65+,brian.contreras.198287@hotmail.com,Singapore,SGP,Asia,South-eastern Asia,North Jasonview,Minnesota,92238,SGD,Premium,Referral,2020-12-07,Active,true,2020-12-07 00:00:00,,true,Mobile,2020-12-07 04:12:15,2020-12-07 11:34:19,michael.johnson061@platform.example.com
198288,CUST-0000198288,Anna,Newton,Non-binary,2005-04-05,15,18-24,anna.newton.198288@gmail.com,Italy,ITA,Europe,Southern Europe,East Melissaton,Mississippi,28406,EUR,New,Organic,2020-12-19,Active,true,2020-12-19 00:00:00,,true,Mobile,2020-12-19 13:39:16,2020-12-19 12:48:26,stephen.daniels076@commerce.example.com
198289,CUST-0000198289,Curtis,Chung,Female,2003-11-25,17,18-24,curtis.chung.198289@yahoo.com,Canada,CAN,North America,Northern America,Kennethmouth,Washington,47175,CAD,Regular,Referral,2020-12-23,Active,true,2020-12-23 00:00:00,,true,Marketplace,2020-12-23 12:11:35,2020-12-23 05:53:53,alyssa.richards002@commerce.example.com
198290,CUST-0000198290,Erin,Davis,Female,1985-06-19,35,35-44,erin.davis.198290@gmail.com,Italy,ITA,Europe,Southern Europe,Johnsonview,South Carolina,62862,EUR,Regular,Social,2020-12-30,Active,false,2020-12-30 00:00:00,,true,Marketplace,2020-12-30 22:54:30,2020-12-30 12:05:46,taylor.cunningham023@commerce.example.com
198291,CUST-0000198291,Amanda,Hoffman,Non-binary,1973-02-16,47,45-54,amanda.hoffman.198291@gmail.com,Germany,DEU,Europe,Western Europe,Port Anthonyville,Oklahoma,50472,EUR,Regular,Paid Search,2020-12-12,Active,true,2020-12-12 00:00:00,,true,Mobile,2020-12-12 14:29:15,2020-12-12 04:26:14,stephen.daniels076@commerce.example.com
198292,CUST-0000198292,Alex,Barry,Non-binary,1984-06-28,36,35-44,alex.barry.198292@yahoo.com,Mexico,MEX,North America,Central America,South Evelyn,Hawaii,73821,MXN,Regular,Email,2020-12-26,Active,true,2020-12-26 00:00:00,,true,Marketplace,2020-12-26 11:05:24,2020-12-26 12:08:37,lance.williams029@platform.example.com
198293,CUST-0000198293,Joseph,Rogers,Female,2005-10-13,15,18-24,joseph.rogers.198293@hotmail.com,India,IND,Asia,Southern Asia,Jenkinsberg,North Carolina,82217,INR,New,Organic,2020-12-29,Active,true,2020-12-29 00:00:00,,true,Marketplace,2020-12-29 20:57:13,2020-12-29 02:39:16,jeffery.miller012@commerce.example.com
198294,CUST-0000198294,Jamie,Martin,Female,1985-04-10,35,35-44,jamie.martin.198294@yahoo.com,India,IND,Asia,Southern Asia,Lozanofort,Idaho,08355,INR,Occasional,Paid Search,2020-12-21,Inactive,true,2020-12-21 00:00:00,,true,Web,2020-12-21 06:52:40,2020-12-21 20:35:11,lance.williams029@platform.example.com
198295,CUST-0000198295,Thomas,Turner,Female,1964-11-02,56,55-64,thomas.turner.198295@hotmail.com,Canada,CAN,North America,Northern America,West Kelli,New Mexico,81806,CAD,Occasional,Affiliate,2020-12-13,Active,true,2020-12-13 00:00:00,,true,Web,2020-12-13 07:32:08,2020-12-13 09:55:29,eric.mullen052@dataops.example.com
198296,CUST-0000198296,Gregory,Jackson,Non-binary,1948-11-14,72,65+,gregory.jackson.198296@hotmail.com,Germany,DEU,Europe,Western Europe,Lake Johnmouth,Indiana,20122,EUR,Regular,Social,2020-12-01,Active,true,2020-12-01 00:00:00,,true,Marketplace,2020-12-01 09:43:17,2020-12-01 02:22:52,kelsey.taylor010@platform.example.com
198297,CUST-0000198297,Lindsay,Rubio,Female,1951-08-24,69,65+,lindsay.rubio.198297@gmail.com,United States,USA,North America,Northern America,New Nancyview,New Hampshire,76478,USD,New,Organic,2020-12-13,Active,false,2020-12-13 00:00:00,,true,Web,2020-12-13 05:49:05,2020-12-13 16:31:01,megan.cunningham013@commerce.example.com
198298,CUST-0000198298,Teresa,Thompson,Prefer not to say,1998-09-27,22,18-24,teresa.thompson.198298@hotmail.com,United States,USA,North America,Northern America,Lake Susan,Kansas,56575,USD,Regular,Organic,2020-12-30,Active,true,2020-12-30 00:00:00,,true,CRM,2020-12-30 21:58:35,2020-12-30 16:18:34,jeffery.miller012@commerce.example.com
198299,CUST-0000198299,Christine,Luna,Male,1975-10-19,45,45-54,christine.luna.198299@gmail.com,United States,USA,North America,Northern America,West Danielle,Iowa,72657,USD,New,Email,2020-12-06,Active,false,2020-12-06 00:00:00,,true,Mobile,2020-12-06 05:21:43,2020-12-06 15:00:17,michael.berger060@platform.example.com
198300,CUST-0000198300,Destiny,Fields,Female,1988-07-06,32,25-34,destiny.fields.198300@hotmail.com,Japan,JPN,Asia,Eastern Asia,East Dennisfurt,Texas,03692,JPY,Occasional,Social,2020-12-05,Active,true,2020-12-05 00:00:00,,true,CRM,2020-12-05 23:03:56,2020-12-05 14:24:30,john.mullins109@commerce.example.com
198301,CUST-0000198301,Jacqueline,Hunt,Female,1967-07-05,53,45-54,jacqueline.hunt.198301@gmail.com,Germany,DEU,Europe,Western Europe,Williammouth,Missouri,22739,EUR,Regular,Email,2020-12-09,Active,false,2020-12-09 00:00:00,,true,Web,2020-12-09 02:48:33,2020-12-09 09:02:11,andrea.cummings039@platform.example.com
198302,CUST-0000198302,Justin,Watts,Prefer not to say,2004-08-01,16,18-24,justin.watts.198302@hotmail.com,Australia,AUS,Oceania,Australia and New Zealand,North Lindsey,Washington,92189,AUD,Occasional,Social,2020-12-03,Active,false,2020-12-03 00:00:00,,true,Web,2020-12-03 02:46:37,2020-12-03 12:20:41,eric.mullen052@dataops.example.com
198303,CUST-0000198303,Francisco,Contreras,Prefer not to say,1995-03-25,25,25-34,francisco.contreras.198303@hotmail.com,Mexico,MEX,North America,Central America,Norrisstad,Oklahoma,20438,MXN,Regular,Email,2020-12-18,Suspended,false,2020-12-18 00:00:00,,true,Mobile,2020-12-18 17:14:40,2020-12-18 16:52:06,anita.garcia021@dataops.example.com
198304,CUST-0000198304,Brad,Harper,Male,1966-07-09,54,45-54,brad.harper.198304@hotmail.com,Australia,AUS,Oceania,Australia and New Zealand,Lisaport,Missouri,17203,AUD,Occasional,Affiliate,2020-12-01,Active,true,2020-12-01 00:00:00,,true,Marketplace,2020-12-01 18:20:25,2020-12-01 08:55:11,ryan.steele043@commerce.example.com
198305,CUST-0000198305,Amber,Jones,Male,1976-04-19,44,35-44,amber.jones.198305@hotmail.com,Spain,ESP,Europe,Southern Europe,Shortfurt,Louisiana,55900,EUR,Occasional,Organic,2020-12-11,Active,false,2020-12-11 00:00:00,,true,Web,2020-12-11 22:49:06,2020-12-11 08:58:00,alyssa.richards002@commerce.example.com
198306,CUST-0000198306,Zachary,Murphy,Female,1987-09-18,33,25-34,zachary.murphy.198306@yahoo.com,Spain,ESP,Europe,Southern Europe,North Makaylachester,Massachusetts,37910,EUR,Occasional,Social,2020-12-05,Active,true,2020-12-05 00:00:00,,true,Mobile,2020-12-05 00:40:15,2020-12-05 00:09:28,micheal.chen050@dataops.example.com
198307,CUST-0000198307,Molly,Freeman,Non-binary,1999-09-20,21,18-24,molly.freeman.198307@hotmail.com,United States,USA,North America,Northern America,East Donna,Vermont,31763,USD,Occasional,Affiliate,2020-12-13,Active,true,2020-12-13 00:00:00,,true,Web,2020-12-13 06:57:45,2020-12-13 07:30:52,michael.johnson061@platform.example.com
198308,CUST-0000198308,Zachary,Moran,Non-binary,1943-05-28,77,65+,zachary.moran.198308@hotmail.com,Italy,ITA,Europe,Southern Europe,Thompsonmouth,Wisconsin,25979,EUR,Occasional,Affiliate,2020-12-23,Inactive,false,2020-12-23 00:00:00,,true,CRM,2020-12-23 12:24:38,2020-12-23 07:58:23,kelsey.taylor010@platform.example.com
198309,CUST-0000198309,Kevin,Anthony,Prefer not to say,1988-09-10,32,25-34,kevin.anthony.198309@gmail.com,Singapore,SGP,Asia,South-eastern Asia,Hayesport,Louisiana,76036,SGD,Regular,Organic,2020-12-20,Active,true,2020-12-20 00:00:00,,true,Marketplace,2020-12-20 19:02:15,2020-12-20 05:24:43,alyssa.richards002@commerce.example.com
