shipment_record_id,shipment_id,order_id,warehouse_id,country_code,region_name,carrier,shipping_method,shipment_status,shipped_timestamp,estimated_delivery_date,actual_delivery_timestamp,delivery_attempts,delivery_country,created_at,created_by
,SHP-202112-0000000000,ORD-202112-0000006813,WH-00058,SGP,Asia,DHL,Pickup,Delivered,2021-12-22 04:42:22,2021-12-27,2021-12-26 16:42:22,1,India,2021-12-22 04:42:22,stephen.clark001@analytics.example.com
,SHP-202112-0000000001,ORD-202112-0000001782,WH-00022,AUS,Europe,FedEx,Express,Delivered,2021-12-12 23:09:36,2021-12-18,2021-12-19 10:09:36,1,Japan,2021-12-12 23:09:36,joann.clark089@commerce.example.com
,SHP-202112-0000000002,ORD-202112-0000006039,WH-00023,ESP,South America,Royal Mail,Economy,Delivered,2021-12-19 10:30:45,2021-12-27,2021-12-31 10:30:45,1,Spain,2021-12-19 10:30:45,victoria.medina044@dataops.example.com
,SHP-202112-0000000003,ORD-202112-0000006525,WH-00012,DEU,South America,DHL,Standard,Delivered,2021-12-04 01:39:18,2021-12-09,2021-12-18 09:39:18,1,Canada,2021-12-04 01:39:18,tiffany.freeman101@analytics.example.com
,SHP-202112-0000000004,ORD-202112-0000001887,WH-00249,ARE,Europe,DPD,Same Day,In Transit,2021-12-07 13:33:45,2021-12-17,,1,United Kingdom,2021-12-07 13:33:45,grace.gonzales099@dataops.example.com
,SHP-202112-0000000005,ORD-202112-0000001306,WH-00079,CAN,Oceania,Royal Mail,Pickup,Delivered,2021-12-21 19:56:21,2021-12-28,2021-12-30 23:56:21,1,Singapore,2021-12-21 19:56:21,joann.clark089@commerce.example.com
,SHP-202112-0000000006,ORD-202112-0000000649,WH-00209,ESP,Europe,USPS,Pickup,Shipped,2021-12-26 18:16:18,2021-12-31,,1,Italy,2021-12-26 18:16:18,jimmy.washington028@commerce.example.com
,SHP-202112-0000000007,ORD-202112-0000006777,WH-00216,ITA,Europe,UPS,Economy,Delivered,2021-12-19 10:15:05,2021-12-23,2021-12-31 10:15:05,1,Singapore,2021-12-19 10:15:05,michelle.bender024@analytics.example.com
,SHP-202112-0000000008,ORD-202112-0000006256,WH-00101,GBR,South America,DHL,Express,Shipped,2021-12-07 08:29:46,2021-12-10,,1,United Kingdom,2021-12-07 08:29:46,jason.franklin045@dataops.example.com
,SHP-202112-0000000009,ORD-202112-0000005639,WH-00154,JPN,Europe,Royal Mail,Economy,Delivered,2021-12-11 15:09:46,2021-12-18,2021-12-13 22:09:46,1,India,2021-12-11 15:09:46,john.mullins109@commerce.example.com
,SHP-202112-0000000010,ORD-202112-0000006740,WH-00052,NLD,Asia,DHL,Pickup,Delivered,2021-12-06 18:17:39,2021-12-13,2021-12-20 06:17:39,2,United Arab Emirates,2021-12-06 18:17:39,patrick.gonzalez035@dataops.example.com
,SHP-202112-0000000011,ORD-202112-0000005574,WH-00054,ITA,Oceania,DHL,Same Day,Delivered,2021-12-04 16:07:07,2021-12-11,2021-12-08 21:07:07,1,Japan,2021-12-04 16:07:07,maria.ashley046@analytics.example.com
,SHP-202112-0000000012,ORD-202112-0000006779,WH-00197,MEX,North America,Royal Mail,Standard,Delivered,2021-12-04 23:27:32,2021-12-14,2021-12-10 07:27:32,1,Italy,2021-12-04 23:27:32,david.cabrera119@dataops.example.com
,SHP-202112-0000000013,ORD-202112-0000005969,WH-00208,BRA,Europe,DHL,Same Day,Delivered,2021-12-07 23:41:13,2021-12-10,2021-12-18 04:41:13,1,Singapore,2021-12-07 23:41:13,troy.boone097@platform.example.com
,SHP-202112-0000000014,ORD-202112-0000005971,WH-00159,BRA,Oceania,DPD,Economy,Delivered,2021-12-11 05:20:17,2021-12-16,2021-12-20 06:20:17,1,Italy,2021-12-11 05:20:17,stephen.daniels076@commerce.example.com
,SHP-202112-0000000015,ORD-202112-0000000064,WH-00125,MEX,Europe,USPS,Same Day,Shipped,2021-12-30 19:00:06,2022-01-04,,1,Canada,2021-12-30 19:00:06,lance.williams029@platform.example.com
,SHP-202112-0000000016,ORD-202112-0000003196,WH-00225,MEX,Asia,Australia Post,Economy,Delivered,2021-12-17 03:20:07,2021-12-27,2021-12-27 13:20:07,1,Brazil,2021-12-17 03:20:07,john.mullins109@commerce.example.com
,SHP-202112-0000000017,ORD-202112-0000005819,WH-00018,DEU,Asia,DPD,Standard,Delivered,2021-12-20 00:27:16,2021-12-22,2021-12-28 07:27:16,1,India,2021-12-20 00:27:16,tina.williams074@commerce.example.com
,SHP-202112-0000000018,ORD-202112-0000002194,WH-00165,USA,South America,DPD,Same Day,Delivered,2021-12-31 23:04:29,2022-01-06,2022-01-11 07:04:29,1,Spain,2021-12-31 23:04:29,micheal.chen050@dataops.example.com
,SHP-202112-0000000019,ORD-202112-0000002373,WH-00030,USA,Europe,USPS,Standard,Delivered,2021-12-27 04:58:00,2021-12-29,2022-01-07 15:58:00,1,Spain,2021-12-27 04:58:00,katelyn.pitts017@commerce.example.com
,SHP-202112-0000000020,ORD-202112-0000006456,WH-00158,CAN,Asia,UPS,Express,Delivered,2021-12-03 08:03:24,2021-12-09,2021-12-06 08:03:24,1,Australia,2021-12-03 08:03:24,tina.williams074@commerce.example.com
