review_record_id,review_id,customer_id,product_id,order_id,rating,review_title,review_text,verified_purchase,helpful_votes,review_timestamp,country_code,region_name,sentiment,created_at,created_by
,REV-202412-0000000000,CUST-0001503374,PROD-0000818835,ORD-202412-0000009819,4,Could be better,Perhaps early manage occur lot indeed true.,true,15,2024-12-31 12:09:48,NLD,North America,Positive,2024-12-31 12:09:48,benjamin.brooks117@dataops.example.com
,REV-202412-0000000001,CUST-0001514645,PROD-0000828279,ORD-202412-0000003306,5,Not as expected,Glass speech result middle.,true,22,2024-12-13 00:01:02,JPN,South America,Positive,2024-12-13 00:01:02,ryan.steele043@commerce.example.com
,REV-202412-0000000002,CUST-0001523651,PROD-0000829439,ORD-202412-0000007115,5,Fast delivery,Stop raise former popular during.,true,17,2024-12-06 05:57:55,DEU,Asia,Positive,2024-12-06 05:57:55,brian.taylor114@analytics.example.com
,REV-202412-0000000003,CUST-0001494879,PROD-0000839035,ORD-202412-0000008367,4,Excellent quality,Wind type executive nothing. Who seat enjoy upon east trade. Third site plant according certain.,true,7,2024-12-14 10:30:16,DEU,South America,Positive,2024-12-14 10:30:16,brian.taylor114@analytics.example.com
,REV-202412-0000000004,CUST-0001515737,PROD-0000828462,ORD-202412-0000015906,5,Could be better,Ask six list standard cause part catch lead. Like face everyone score.,true,6,2024-12-21 16:41:51,FRA,North America,Positive,2024-12-21 16:41:51,brian.banks011@platform.example.com
,REV-202412-0000000005,CUST-0001492777,PROD-0000840408,ORD-202412-0000002943,5,Not as expected,Possible account sit final.,true,0,2024-12-30 02:42:39,NLD,Europe,Positive,2024-12-30 02:42:39,renee.harvey080@dataops.example.com
,REV-202412-0000000006,CUST-0001486330,PROD-0000821134,ORD-202412-0000011613,5,Highly recommended,Seat key wish smile me.,true,3,2024-12-25 06:18:56,JPN,North America,Positive,2024-12-25 06:18:56,david.cabrera119@dataops.example.com
,REV-202412-0000000007,CUST-0001479899,PROD-0000840334,ORD-202412-0000014592,4,Highly recommended,Professor during college. President name by avoid. Report central turn him treat at. Assume particularly he boy bank wear. Serious source be we say.,true,1,2024-12-21 22:45:28,CAN,Oceania,Positive,2024-12-21 22:45:28,andrew.ellis102@analytics.example.com
,REV-202412-0000000008,CUST-0001487367,PROD-0000842259,ORD-202412-0000004727,5,Not as expected,Agreement dark form only.,false,11,2024-12-09 02:43:09,AUS,Europe,Positive,2024-12-09 02:43:09,samantha.villa073@commerce.example.com
,REV-202412-0000000009,CUST-0001520127,PROD-0000839797,ORD-202412-0000009578,5,Excellent quality,Consider early attorney laugh.,true,1,2024-12-14 22:35:57,ESP,North America,Positive,2024-12-14 22:35:57,jennifer.yu037@dataops.example.com
