seller_record_id,seller_id,seller_name,seller_type,country_name,country_code,region_name,seller_rating,seller_status,fulfillment_type,seller_join_date,effective_from,effective_to,is_current,created_at,created_by
33637,SELL-00033637,Montoya-Villarreal,Marketplace,Mexico,MEX,North America,5,Active,Platform Fulfilled,2020-10-10,2020-10-10 00:00:00,,true,2020-10-10 08:42:43,michael.johnson061@platform.example.com
33638,SELL-00033638,Howard-Torres,Small Business,Canada,CAN,North America,4.93,Active,Dropship,2020-10-14,2020-10-14 00:00:00,,true,2020-10-14 01:33:27,megan.cunningham013@commerce.example.com
33639,SELL-00033639,"Johnson, Johnson and Bradley",Small Business,Japan,JPN,Asia,3.77,Active,Dropship,2020-10-25,2020-10-25 00:00:00,,true,2020-10-25 21:34:14,brandon.yu006@analytics.example.com
33640,SELL-00033640,Norman Inc,Retailer,Japan,JPN,Asia,4.16,Active,Platform Fulfilled,2020-10-11,2020-10-11 00:00:00,,true,2020-10-11 10:04:44,ryan.steele043@commerce.example.com
33641,SELL-00033641,Gonzales Ltd,Marketplace,Japan,JPN,Asia,3.61,Active,Dropship,2020-10-06,2020-10-06 00:00:00,,true,2020-10-06 18:57:00,micheal.hall064@dataops.example.com
33642,SELL-00033642,Gonzalez-Terrell,Small Business,United States,USA,North America,4.31,Active,Dropship,2020-10-19,2020-10-19 00:00:00,,true,2020-10-19 16:21:43,eric.horton058@analytics.example.com
33643,SELL-00033643,Drake-Smith,Brand,Brazil,BRA,South America,4.2,Active,Dropship,2020-10-21,2020-10-21 00:00:00,,true,2020-10-21 17:30:19,michael.johnson061@platform.example.com
33644,SELL-00033644,Thompson-Zimmerman,Brand,India,IND,Asia,4.03,Active,Dropship,2020-10-31,2020-10-31 00:00:00,,true,2020-10-31 10:21:58,eric.mullen052@dataops.example.com
33645,SELL-00033645,Baker-Barnes,Brand,France,FRA,Europe,2.86,Active,Dropship,2020-10-01,2020-10-01 00:00:00,,true,2020-10-01 12:07:18,peter.martinez098@platform.example.com
33646,SELL-00033646,"Fox, Martinez and Carter",Brand,Japan,JPN,Asia,4.0,Active,Dropship,2020-10-31,2020-10-31 00:00:00,,true,2020-10-31 09:49:52,andrea.cummings039@platform.example.com
33647,SELL-00033647,Brewer-Bailey,Retailer,United States,USA,North America,3.63,Active,Platform Fulfilled,2020-10-10,2020-10-10 00:00:00,,true,2020-10-10 15:35:10,michael.johnson061@platform.example.com
33648,SELL-00033648,Hill and Sons,Brand,United Kingdom,GBR,Europe,4.78,Active,Dropship,2020-10-08,2020-10-08 00:00:00,,true,2020-10-08 22:37:09,jennifer.hudson020@analytics.example.com
33649,SELL-00033649,"Brewer, Reed and Black",Distributor,Netherlands,NLD,Europe,4.57,Active,Dropship,2020-10-22,2020-10-22 00:00:00,,true,2020-10-22 00:38:46,micheal.hall064@dataops.example.com
33650,SELL-00033650,Jenkins Group,Distributor,Netherlands,NLD,Europe,4.37,Active,Dropship,2020-10-01,2020-10-01 00:00:00,,true,2020-10-01 07:10:19,ryan.steele043@commerce.example.com
33651,SELL-00033651,Chambers-Francis,Marketplace,United States,USA,North America,4.6,Active,Platform Fulfilled,2020-10-11,2020-10-11 00:00:00,,true,2020-10-11 12:41:34,brandon.yu006@analytics.example.com
33652,SELL-00033652,"Kelly, Miles and Nichols",Small Business,Japan,JPN,Asia,4.0,Active,Platform Fulfilled,2020-10-05,2020-10-05 00:00:00,,true,2020-10-05 01:58:13,timothy.cameron104@commerce.example.com
33653,SELL-00033653,Mason Ltd,Distributor,United States,USA,North America,4.61,Active,Platform Fulfilled,2020-10-13,2020-10-13 00:00:00,,true,2020-10-13 16:30:56,brandi.carter038@dataops.example.com
33654,SELL-00033654,Shaw and Sons,Distributor,United States,USA,North America,4.37,Active,Platform Fulfilled,2020-10-11,2020-10-11 00:00:00,,true,2020-10-11 17:33:17,timothy.cannon081@analytics.example.com
33655,SELL-00033655,Cisneros Inc,Small Business,France,FRA,Europe,3.79,Active,Dropship,2020-10-16,2020-10-16 00:00:00,,true,2020-10-16 04:15:40,peter.martinez098@platform.example.com
33656,SELL-00033656,Norman and Sons,Distributor,Japan,JPN,Asia,4.11,Active,Seller Fulfilled,2020-10-01,2020-10-01 00:00:00,,true,2020-10-01 00:38:58,susan.rice083@commerce.example.com
33657,SELL-00033657,Manning Group,Small Business,Germany,DEU,Europe,3.97,Active,Dropship,2020-10-16,2020-10-16 00:00:00,,true,2020-10-16 20:00:01,joseph.johnson049@dataops.example.com
33658,SELL-00033658,"Russell, Smith and Gonzalez",Marketplace,France,FRA,Europe,4.52,Inactive,Platform Fulfilled,2020-10-09,2020-10-09 00:00:00,,true,2020-10-09 15:45:59,tina.williams074@commerce.example.com
33659,SELL-00033659,Brown Group,Brand,Germany,DEU,Europe,4.02,Inactive,Platform Fulfilled,2020-10-08,2020-10-08 00:00:00,,true,2020-10-08 22:49:03,adam.gordon030@commerce.example.com
33660,SELL-00033660,"Moore, Jones and Morgan",Distributor,Netherlands,NLD,Europe,4.5,Active,Platform Fulfilled,2020-10-30,2020-10-30 00:00:00,,true,2020-10-30 09:28:29,stephen.daniels076@commerce.example.com
33661,SELL-00033661,Jackson-Soto,Distributor,Brazil,BRA,South America,3.62,Active,Platform Fulfilled,2020-10-22,2020-10-22 00:00:00,,true,2020-10-22 10:39:46,joseph.johnson049@dataops.example.com
33662,SELL-00033662,"Figueroa, Jones and Hughes",Retailer,United Kingdom,GBR,Europe,4.31,Active,Platform Fulfilled,2020-10-08,2020-10-08 00:00:00,,true,2020-10-08 02:37:42,susan.rice083@commerce.example.com
