review_record_id,review_id,customer_id,product_id,order_id,rating,review_title,review_text,verified_purchase,helpful_votes,review_timestamp,country_code,region_name,sentiment,created_at,created_by
,REV-202502-0000000000,CUST-0001561793,PROD-0000860498,ORD-202502-0000009014,3,Worth the money,Though clear structure defense. Time actually color full report yet.,true,5,2025-02-24 21:22:32,NLD,Europe,Neutral,2025-02-24 21:22:32,nicholas.wilson027@analytics.example.com
,REV-202502-0000000001,CUST-0001567044,PROD-0000864005,ORD-202502-0000001965,5,Highly recommended,Series ground represent stay worker glass account. Role trip cause learn. Meeting marriage scientist treatment social.,true,1,2025-02-21 16:12:43,MEX,North America,Positive,2025-02-21 16:12:43,alyssa.richards002@commerce.example.com
,REV-202502-0000000002,CUST-0001572560,PROD-0000862358,ORD-202502-0000004538,4,Highly recommended,Past including physical in bank. Control language court serious cultural bar clear question. Guy teacher man direction staff late from.,true,23,2025-02-18 20:16:28,DEU,Europe,Positive,2025-02-18 20:16:28,david.cabrera119@dataops.example.com
,REV-202502-0000000003,CUST-0001579833,PROD-0000866856,ORD-202502-0000003008,5,Average experience,Organization message within discover. Low level conference question summer southern beautiful. Off message social suggest space firm color. Try animal parent apply popular hit.,true,0,2025-02-07 11:37:21,BRA,Europe,Positive,2025-02-07 11:37:21,victor.palmer071@platform.example.com
,REV-202502-0000000004,CUST-0001575791,PROD-0000862959,ORD-202502-0000000192,5,Excellent quality,Set while building east.,true,18,2025-02-01 22:05:33,GBR,Europe,Positive,2025-02-01 22:05:33,tiffany.freeman101@analytics.example.com
,REV-202502-0000000005,CUST-0001576825,PROD-0000868162,ORD-202502-0000001762,5,Could be better,Try little political. Mind source somebody relationship newspaper every watch our.,true,7,2025-02-19 02:09:21,NLD,Europe,Positive,2025-02-19 02:09:21,michelle.sims041@analytics.example.com
,REV-202502-0000000006,CUST-0001556777,PROD-0000860983,ORD-202502-0000005070,5,Could be better,Throw early debate professional. Stand could serious read what minute general.,true,6,2025-02-12 00:08:52,GBR,Europe,Positive,2025-02-12 00:08:52,adam.gordon030@commerce.example.com
,REV-202502-0000000007,CUST-0001573077,PROD-0000864581,ORD-202502-0000007059,4,Excellent quality,Level record project get other. Contain ok beat guess pay. Effect trade indicate look crime.,true,12,2025-02-11 07:56:05,DEU,Europe,Positive,2025-02-11 07:56:05,taylor.cunningham023@commerce.example.com
,REV-202502-0000000008,CUST-0001580598,PROD-0000869495,ORD-202502-0000008492,5,Great product,Side ok alone subject. Everyone area if research mother. Peace election art. Hit cultural alone shoulder rather authority. Strategy camera buy consumer us summer example.,false,0,2025-02-17 14:16:13,MEX,Europe,Positive,2025-02-17 14:16:13,jason.franklin045@dataops.example.com
,REV-202502-0000000009,CUST-0001565950,PROD-0000871659,ORD-202502-0000001157,4,Fast delivery,Perhaps policy ok so food who.,false,1,2025-02-17 01:44:01,AUS,North America,Positive,2025-02-17 01:44:01,rachel.hall062@platform.example.com
,REV-202502-0000000010,CUST-0001566970,PROD-0000857967,ORD-202502-0000003635,5,Excellent quality,Cut Mrs black move only finish. Politics kid in firm short.,false,1,2025-02-22 03:11:56,FRA,Europe,Positive,2025-02-22 03:11:56,michael.brewer084@analytics.example.com
